,age,job,marital,education,age_scaled,cluster,deposit,loan,housing,total_products_bought
60,51,blue-collar,married,secondary,0.8155416962951249,1,1,0,1,2
61,41,blue-collar,divorced,secondary,-0.02171831278677903,1,1,0,1,2
62,41,blue-collar,married,secondary,-0.02171831278677903,1,1,0,1,2
63,52,blue-collar,divorced,primary,0.8992676972033152,1,1,0,1,2
64,59,blue-collar,married,primary,1.485349703560648,0,1,0,1,2
65,44,blue-collar,married,unknown,0.22945968993779214,1,1,0,1,2
66,49,unknown,married,primary,0.6480896944787441,1,1,1,1,3
67,40,services,married,primary,-0.10544431369496943,1,1,0,1,2
68,41,admin.,married,primary,-0.02171831278677903,1,1,0,1,2
69,44,technician,married,tertiary,0.22945968993779214,2,1,0,1,2
70,60,services,single,primary,1.5690757044688384,0,1,0,1,2
71,29,management,married,tertiary,-1.0264303236850638,2,1,0,0,1
72,41,retired,divorced,primary,-0.02171831278677903,1,1,0,1,2
73,41,blue-collar,married,primary,-0.02171831278677903,1,1,0,1,2
74,42,technician,single,secondary,0.062007688121411365,1,1,0,1,2
75,36,services,single,unknown,-0.440348317327731,3,1,0,1,2
76,39,technician,married,tertiary,-0.1891703146031598,2,1,1,1,3
77,31,self-employed,single,tertiary,-0.858978321868683,3,1,0,1,2
78,26,blue-collar,married,secondary,-1.277608326409635,3,1,0,1,2
79,31,blue-collar,married,secondary,-0.858978321868683,1,1,0,1,2
80,29,admin.,single,secondary,-1.0264303236850638,3,1,1,1,3
81,37,services,divorced,secondary,-0.3566223164195406,1,1,0,1,2
82,33,blue-collar,single,secondary,-0.6915263200523022,3,1,0,1,2
83,24,technician,single,secondary,-1.4450603282260157,3,1,0,1,2
84,50,admin.,divorced,secondary,0.7318156953869345,1,1,0,1,2
85,27,technician,single,tertiary,-1.1938823255014446,3,1,0,1,2
86,54,management,single,tertiary,1.066719699019696,0,1,0,1,2
87,30,technician,single,secondary,-0.9427043227768733,3,1,0,1,2
88,34,blue-collar,married,primary,-0.6078003191441118,1,1,1,1,3
89,37,management,single,secondary,-0.3566223164195406,3,1,0,1,2
90,41,admin.,single,secondary,-0.02171831278677903,1,1,0,1,2
91,47,blue-collar,married,secondary,0.48063769266236334,1,1,0,1,2
92,31,admin.,married,secondary,-0.858978321868683,3,1,0,1,2
93,31,blue-collar,married,secondary,-0.858978321868683,1,1,0,1,2
94,43,services,divorced,secondary,0.14573368902960177,1,1,0,1,2
95,37,management,divorced,tertiary,-0.3566223164195406,2,1,0,1,2
96,30,technician,single,tertiary,-0.9427043227768733,3,1,1,1,3
97,41,technician,married,secondary,-0.02171831278677903,1,1,0,1,2
98,36,blue-collar,married,secondary,-0.440348317327731,1,1,0,1,2
99,35,blue-collar,divorced,secondary,-0.5240743182359214,1,1,0,1,2
100,29,services,single,secondary,-1.0264303236850638,3,1,0,1,2
101,35,blue-collar,married,primary,-0.5240743182359214,1,1,0,1,2
102,31,blue-collar,married,secondary,-0.858978321868683,1,1,0,1,2
103,35,services,married,secondary,-0.5240743182359214,1,1,0,1,2
104,34,technician,single,secondary,-0.6078003191441118,3,1,0,1,2
105,31,admin.,single,secondary,-0.858978321868683,3,1,1,1,3
106,44,technician,divorced,secondary,0.22945968993779214,1,1,0,1,2
107,36,blue-collar,married,primary,-0.440348317327731,1,1,1,1,3
108,35,blue-collar,married,unknown,-0.5240743182359214,1,1,0,1,2
109,41,blue-collar,married,primary,-0.02171831278677903,1,1,0,1,2
110,31,blue-collar,single,primary,-0.858978321868683,3,1,0,1,2
111,34,blue-collar,married,secondary,-0.6078003191441118,1,1,0,1,2
112,32,technician,married,secondary,-0.7752523209604926,3,1,0,1,2
113,36,management,married,tertiary,-0.440348317327731,2,1,1,1,3
114,30,blue-collar,single,secondary,-0.9427043227768733,3,1,0,1,2
115,37,technician,single,secondary,-0.3566223164195406,3,1,0,1,2
116,36,blue-collar,married,primary,-0.440348317327731,1,1,0,1,2
117,31,management,single,tertiary,-0.858978321868683,2,1,0,1,2
118,27,technician,married,secondary,-1.1938823255014446,3,1,1,1,3
119,34,retired,married,primary,-0.6078003191441118,2,1,0,0,1
120,30,technician,single,tertiary,-0.9427043227768733,3,1,0,1,2
121,32,technician,single,tertiary,-0.7752523209604926,3,1,0,1,2
122,37,technician,single,secondary,-0.3566223164195406,3,1,0,1,2
123,32,blue-collar,married,secondary,-0.7752523209604926,1,1,0,1,2
124,33,blue-collar,married,secondary,-0.6915263200523022,1,1,0,1,2
125,35,blue-collar,married,primary,-0.5240743182359214,1,1,0,1,2
126,35,self-employed,divorced,tertiary,-0.5240743182359214,2,1,0,1,2
127,30,blue-collar,single,secondary,-0.9427043227768733,3,1,0,1,2
128,45,blue-collar,divorced,primary,0.3131856908459825,1,1,0,1,2
129,45,admin.,married,secondary,0.3131856908459825,1,1,0,1,2
130,33,blue-collar,married,secondary,-0.6915263200523022,1,1,0,1,2
131,44,management,divorced,tertiary,0.22945968993779214,2,1,0,0,1
132,40,blue-collar,married,primary,-0.10544431369496943,1,1,0,1,2
133,31,blue-collar,married,secondary,-0.858978321868683,1,1,0,1,2
134,30,technician,married,tertiary,-0.9427043227768733,2,1,0,1,2
135,44,technician,divorced,secondary,0.22945968993779214,1,1,0,1,2
136,34,services,married,secondary,-0.6078003191441118,1,1,0,1,2
137,37,blue-collar,married,secondary,-0.3566223164195406,1,1,0,0,1
138,28,self-employed,single,tertiary,-1.1101563245932542,3,1,0,1,2
139,32,admin.,single,secondary,-0.7752523209604926,3,1,0,1,2
140,37,blue-collar,divorced,secondary,-0.3566223164195406,1,1,0,1,2
141,34,management,married,tertiary,-0.6078003191441118,2,1,0,1,2
142,38,admin.,divorced,secondary,-0.2728963155113502,1,1,0,1,2
143,28,admin.,single,secondary,-1.1101563245932542,3,1,0,1,2
144,31,management,divorced,tertiary,-0.858978321868683,2,1,0,1,2
145,59,services,married,secondary,1.485349703560648,0,1,0,1,2
146,24,blue-collar,married,secondary,-1.4450603282260157,3,1,0,1,2
147,26,services,single,secondary,-1.277608326409635,3,1,0,1,2
148,59,retired,single,secondary,1.485349703560648,0,1,0,1,2
149,30,entrepreneur,single,primary,-0.9427043227768733,3,1,1,1,3
150,37,admin.,married,secondary,-0.3566223164195406,1,1,0,1,2
151,30,admin.,single,secondary,-0.9427043227768733,3,1,1,1,3
152,25,blue-collar,married,secondary,-1.3613343273178253,3,1,0,1,2
153,44,services,divorced,secondary,0.22945968993779214,1,1,1,1,3
154,29,management,married,tertiary,-1.0264303236850638,2,1,0,0,1
155,26,management,single,tertiary,-1.277608326409635,3,1,0,1,2
156,26,technician,single,secondary,-1.277608326409635,3,1,0,1,2
157,27,services,single,secondary,-1.1938823255014446,3,1,0,1,2
158,25,self-employed,single,secondary,-1.3613343273178253,3,1,0,1,2
159,28,management,married,secondary,-1.1101563245932542,3,1,0,1,2
160,23,services,single,secondary,-1.528786329134206,3,1,0,1,2
161,34,management,single,tertiary,-0.6078003191441118,2,1,0,1,2
162,28,student,single,secondary,-1.1101563245932542,3,1,0,1,2
163,51,entrepreneur,married,unknown,0.8155416962951249,0,1,0,1,2
164,35,blue-collar,married,secondary,-0.5240743182359214,1,1,1,1,3
165,35,admin.,married,secondary,-0.5240743182359214,1,1,0,1,2
166,56,blue-collar,married,secondary,1.2341717008360769,0,1,0,1,2
167,45,unemployed,divorced,secondary,0.3131856908459825,1,1,0,1,2
168,60,blue-collar,divorced,secondary,1.5690757044688384,0,1,0,1,2
169,56,technician,married,secondary,1.2341717008360769,0,1,0,1,2
170,27,management,single,tertiary,-1.1938823255014446,3,1,0,1,2
171,30,admin.,married,secondary,-0.9427043227768733,3,1,0,1,2
172,45,blue-collar,divorced,primary,0.3131856908459825,1,1,0,1,2
173,29,blue-collar,single,secondary,-1.0264303236850638,3,1,0,1,2
174,38,management,divorced,tertiary,-0.2728963155113502,2,1,0,1,2
175,30,blue-collar,married,secondary,-0.9427043227768733,1,1,0,1,2
176,44,blue-collar,single,primary,0.22945968993779214,1,1,0,1,2
177,36,management,single,tertiary,-0.440348317327731,2,1,0,1,2
178,38,technician,married,secondary,-0.2728963155113502,1,1,0,1,2
179,36,blue-collar,single,secondary,-0.440348317327731,1,1,1,1,3
180,37,management,divorced,secondary,-0.3566223164195406,2,1,0,1,2
181,35,management,single,tertiary,-0.5240743182359214,2,1,0,1,2
182,38,admin.,divorced,secondary,-0.2728963155113502,1,1,0,1,2
183,40,services,married,primary,-0.10544431369496943,1,1,0,1,2
184,42,unemployed,divorced,secondary,0.062007688121411365,1,1,0,1,2
185,46,management,divorced,tertiary,0.39691169175417296,2,1,0,1,2
186,35,technician,divorced,secondary,-0.5240743182359214,3,1,0,1,2
187,34,technician,divorced,secondary,-0.6078003191441118,3,1,0,1,2
188,32,services,married,secondary,-0.7752523209604926,3,1,0,1,2
189,50,unemployed,married,secondary,0.7318156953869345,1,1,0,1,2
190,35,blue-collar,married,secondary,-0.5240743182359214,1,1,1,1,3
191,36,technician,single,secondary,-0.440348317327731,3,1,0,1,2
192,53,blue-collar,divorced,primary,0.9829936981115057,0,1,0,1,2
193,46,management,single,tertiary,0.39691169175417296,2,1,0,1,2
194,26,management,single,tertiary,-1.277608326409635,3,1,0,1,2
195,45,technician,single,secondary,0.3131856908459825,1,1,0,1,2
196,31,unemployed,divorced,primary,-0.858978321868683,3,1,0,1,2
197,29,management,single,tertiary,-1.0264303236850638,2,1,0,1,2
198,53,entrepreneur,single,secondary,0.9829936981115057,0,1,0,1,2
199,27,blue-collar,married,primary,-1.1938823255014446,3,1,0,1,2
200,39,management,married,tertiary,-0.1891703146031598,2,1,0,1,2
201,36,services,married,secondary,-0.440348317327731,1,1,0,1,2
202,41,blue-collar,married,primary,-0.02171831278677903,1,1,1,1,3
203,36,services,married,primary,-0.440348317327731,2,1,0,1,2
204,32,technician,married,secondary,-0.7752523209604926,3,1,0,1,2
205,35,services,married,secondary,-0.5240743182359214,1,1,0,1,2
206,36,management,single,tertiary,-0.440348317327731,2,1,0,1,2
207,35,management,married,tertiary,-0.5240743182359214,2,1,0,1,2
208,30,blue-collar,single,secondary,-0.9427043227768733,3,1,0,1,2
209,42,blue-collar,married,secondary,0.062007688121411365,1,1,0,1,2
210,42,technician,single,secondary,0.062007688121411365,1,1,0,1,2
211,32,blue-collar,married,primary,-0.7752523209604926,1,1,0,1,2
212,29,blue-collar,single,secondary,-1.0264303236850638,3,1,0,1,2
213,44,management,divorced,tertiary,0.22945968993779214,2,1,0,1,2
214,32,technician,single,secondary,-0.7752523209604926,3,1,0,1,2
215,31,unemployed,married,secondary,-0.858978321868683,3,1,1,1,3
216,40,self-employed,married,secondary,-0.10544431369496943,1,1,1,1,3
217,43,entrepreneur,married,secondary,0.14573368902960177,1,1,0,0,1
218,27,management,single,secondary,-1.1938823255014446,3,1,0,1,2
219,37,services,single,secondary,-0.3566223164195406,3,1,0,1,2
220,23,services,single,secondary,-1.528786329134206,3,1,0,1,2
221,25,management,married,primary,-1.3613343273178253,2,1,0,1,2
222,26,blue-collar,single,secondary,-1.277608326409635,3,1,0,1,2
223,47,blue-collar,divorced,primary,0.48063769266236334,1,1,0,1,2
224,35,admin.,married,secondary,-0.5240743182359214,1,1,0,1,2
225,32,technician,single,tertiary,-0.7752523209604926,3,1,0,1,2
226,45,management,divorced,secondary,0.3131856908459825,1,1,0,1,2
227,30,admin.,divorced,secondary,-0.9427043227768733,3,1,0,1,2
228,29,services,single,secondary,-1.0264303236850638,3,1,0,1,2
229,38,blue-collar,married,primary,-0.2728963155113502,1,1,0,1,2
230,23,blue-collar,single,secondary,-1.528786329134206,3,1,0,1,2
231,27,management,single,tertiary,-1.1938823255014446,3,1,0,1,2
232,27,management,single,tertiary,-1.1938823255014446,3,1,0,1,2
233,29,services,single,secondary,-1.0264303236850638,3,1,0,1,2
234,30,self-employed,married,tertiary,-0.9427043227768733,2,1,1,1,3
235,36,blue-collar,married,primary,-0.440348317327731,1,1,0,1,2
236,35,admin.,divorced,secondary,-0.5240743182359214,3,1,0,1,2
237,36,blue-collar,married,secondary,-0.440348317327731,1,1,0,0,1
238,59,retired,divorced,primary,1.485349703560648,0,1,0,1,2
239,47,entrepreneur,married,secondary,0.48063769266236334,1,1,0,0,1
240,58,entrepreneur,married,tertiary,1.4016237026524576,0,1,0,0,1
241,37,management,single,tertiary,-0.3566223164195406,2,1,0,0,1
242,46,admin.,single,secondary,0.39691169175417296,1,1,0,1,2
243,43,blue-collar,single,secondary,0.14573368902960177,1,1,0,1,2
244,27,management,single,tertiary,-1.1938823255014446,3,1,0,1,2
245,38,services,divorced,secondary,-0.2728963155113502,1,1,0,0,1
246,53,housemaid,married,primary,0.9829936981115057,0,1,1,0,2
247,47,blue-collar,married,secondary,0.48063769266236334,1,1,0,0,1
248,56,housemaid,divorced,primary,1.2341717008360769,0,1,0,0,1
249,41,housemaid,married,secondary,-0.02171831278677903,1,1,0,0,1
250,29,self-employed,married,secondary,-1.0264303236850638,3,1,0,1,2
251,50,technician,married,secondary,0.7318156953869345,1,1,0,1,2
252,45,blue-collar,divorced,primary,0.3131856908459825,1,1,0,0,1
253,35,blue-collar,married,secondary,-0.5240743182359214,1,1,0,1,2
254,26,technician,single,secondary,-1.277608326409635,3,1,0,1,2
255,26,admin.,married,secondary,-1.277608326409635,3,1,1,1,3
256,37,blue-collar,married,unknown,-0.3566223164195406,1,1,1,0,2
257,30,admin.,single,secondary,-0.9427043227768733,3,1,0,1,2
258,38,management,single,tertiary,-0.2728963155113502,2,1,0,1,2
259,37,services,divorced,secondary,-0.3566223164195406,1,1,0,1,2
260,53,technician,married,secondary,0.9829936981115057,0,1,0,0,1
261,29,blue-collar,single,primary,-1.0264303236850638,3,1,0,1,2
262,35,management,single,tertiary,-0.5240743182359214,2,1,0,0,1
263,28,blue-collar,married,secondary,-1.1101563245932542,3,1,0,1,2
264,55,blue-collar,married,unknown,1.1504456999278865,0,1,0,0,1
265,49,management,divorced,secondary,0.6480896944787441,1,1,0,1,2
266,50,services,married,secondary,0.7318156953869345,1,1,0,0,1
267,43,management,single,tertiary,0.14573368902960177,2,1,0,0,1
268,58,self-employed,divorced,tertiary,1.4016237026524576,0,1,0,0,1
269,38,technician,married,primary,-0.2728963155113502,2,1,0,1,2
270,48,blue-collar,divorced,primary,0.5643636935705537,1,1,0,0,1
271,59,management,married,secondary,1.485349703560648,0,1,0,0,1
272,58,blue-collar,married,secondary,1.4016237026524576,0,1,0,0,1
273,36,self-employed,single,tertiary,-0.440348317327731,2,1,0,0,1
274,42,entrepreneur,married,tertiary,0.062007688121411365,2,1,0,0,1
275,41,admin.,single,secondary,-0.02171831278677903,1,1,1,0,2
276,42,admin.,married,secondary,0.062007688121411365,1,1,0,0,1
277,39,management,married,tertiary,-0.1891703146031598,2,1,1,0,2
278,57,housemaid,married,primary,1.3178977017442672,0,1,1,0,2
279,52,retired,married,unknown,0.8992676972033152,0,1,0,0,1
280,59,retired,married,unknown,1.485349703560648,0,1,0,0,1
281,56,blue-collar,married,secondary,1.2341717008360769,0,1,0,0,1
282,49,management,married,tertiary,0.6480896944787441,2,1,0,0,1
283,35,blue-collar,divorced,unknown,-0.5240743182359214,1,1,0,0,1
284,36,unemployed,married,secondary,-0.440348317327731,1,1,0,0,1
285,40,admin.,single,tertiary,-0.10544431369496943,2,1,0,0,1
286,55,blue-collar,married,secondary,1.1504456999278865,0,1,0,0,1
287,58,admin.,married,secondary,1.4016237026524576,0,1,0,0,1
288,39,self-employed,married,tertiary,-0.1891703146031598,2,1,0,0,1
289,47,housemaid,single,tertiary,0.48063769266236334,2,1,0,0,1
290,40,management,married,secondary,-0.10544431369496943,1,1,0,1,2
291,35,blue-collar,married,tertiary,-0.5240743182359214,2,1,0,0,1
292,48,blue-collar,married,secondary,0.5643636935705537,1,1,0,1,2
293,48,management,divorced,tertiary,0.5643636935705537,2,1,1,0,2
294,24,blue-collar,single,secondary,-1.4450603282260157,3,1,0,1,2
295,49,blue-collar,married,primary,0.6480896944787441,1,1,0,1,2
296,36,blue-collar,married,secondary,-0.440348317327731,1,1,0,1,2
297,52,retired,divorced,tertiary,0.8992676972033152,0,1,1,1,3
298,42,entrepreneur,single,unknown,0.062007688121411365,1,1,0,0,1
299,36,services,married,secondary,-0.440348317327731,1,1,0,0,1
300,36,blue-collar,divorced,secondary,-0.440348317327731,1,1,0,1,2
301,48,unemployed,single,tertiary,0.5643636935705537,1,1,0,0,1
302,51,management,single,secondary,0.8155416962951249,0,1,0,1,2
303,51,blue-collar,married,secondary,0.8155416962951249,1,1,1,0,2
304,46,technician,married,secondary,0.39691169175417296,1,1,0,1,2
305,37,management,married,tertiary,-0.3566223164195406,2,1,0,0,1
306,36,entrepreneur,married,tertiary,-0.440348317327731,2,1,0,0,1
307,47,management,married,secondary,0.48063769266236334,1,1,0,0,1
308,40,technician,divorced,tertiary,-0.10544431369496943,2,1,0,0,1
309,38,student,single,tertiary,-0.2728963155113502,2,1,0,0,1
310,40,management,married,secondary,-0.10544431369496943,1,1,0,0,1
311,39,blue-collar,married,primary,-0.1891703146031598,1,1,0,1,2
312,60,management,married,tertiary,1.5690757044688384,0,1,0,0,1
313,39,self-employed,single,tertiary,-0.1891703146031598,2,1,0,0,1
314,51,services,divorced,secondary,0.8155416962951249,0,1,0,0,1
315,27,admin.,married,secondary,-1.1938823255014446,3,1,0,1,2
316,41,management,single,tertiary,-0.02171831278677903,2,1,0,0,1
317,42,blue-collar,single,primary,0.062007688121411365,1,1,0,0,1
318,41,entrepreneur,married,secondary,-0.02171831278677903,1,1,0,0,1
319,33,technician,married,secondary,-0.6915263200523022,3,1,1,1,3
320,46,admin.,married,secondary,0.39691169175417296,1,1,0,0,1
321,31,blue-collar,married,secondary,-0.858978321868683,1,1,0,1,2
322,41,blue-collar,married,primary,-0.02171831278677903,1,1,1,0,2
323,41,blue-collar,divorced,secondary,-0.02171831278677903,1,1,0,0,1
324,55,retired,divorced,secondary,1.1504456999278865,0,1,1,0,2
325,53,technician,married,secondary,0.9829936981115057,0,1,0,0,1
326,55,housemaid,married,primary,1.1504456999278865,0,1,0,0,1
327,39,services,married,secondary,-0.1891703146031598,1,1,0,1,2
328,40,entrepreneur,married,tertiary,-0.10544431369496943,2,1,0,0,1
329,59,retired,married,primary,1.485349703560648,0,1,0,0,1
330,42,blue-collar,single,secondary,0.062007688121411365,1,1,0,0,1
331,41,blue-collar,married,primary,-0.02171831278677903,1,1,0,0,1
332,27,blue-collar,married,secondary,-1.1938823255014446,3,1,0,1,2
333,25,blue-collar,single,secondary,-1.3613343273178253,3,1,0,1,2
334,43,unemployed,married,primary,0.14573368902960177,1,1,0,0,1
335,44,services,married,secondary,0.22945968993779214,1,1,1,0,2
336,26,blue-collar,single,secondary,-1.277608326409635,3,1,0,1,2
337,52,retired,married,tertiary,0.8992676972033152,0,1,0,0,1
338,54,services,married,unknown,1.066719699019696,0,1,1,0,2
339,56,management,married,tertiary,1.2341717008360769,0,1,1,0,2
340,57,management,married,tertiary,1.3178977017442672,0,1,1,0,2
341,29,blue-collar,single,secondary,-1.0264303236850638,3,1,0,1,2
342,47,technician,married,tertiary,0.48063769266236334,2,1,1,0,2
343,57,management,married,tertiary,1.3178977017442672,0,1,1,1,3
344,40,blue-collar,married,secondary,-0.10544431369496943,1,1,1,1,3
345,46,services,divorced,secondary,0.39691169175417296,1,1,0,0,1
346,43,blue-collar,single,secondary,0.14573368902960177,1,1,0,1,2
347,45,management,married,tertiary,0.3131856908459825,2,1,0,0,1
348,24,management,married,secondary,-1.4450603282260157,3,1,0,1,2
349,40,blue-collar,married,secondary,-0.10544431369496943,1,1,1,1,3
350,38,services,divorced,unknown,-0.2728963155113502,2,1,0,0,1
351,36,unemployed,married,tertiary,-0.440348317327731,2,1,0,0,1
352,27,blue-collar,single,secondary,-1.1938823255014446,3,1,0,0,1
353,26,admin.,single,primary,-1.277608326409635,3,1,0,1,2
354,43,management,married,tertiary,0.14573368902960177,2,1,0,1,2
355,25,blue-collar,single,primary,-1.3613343273178253,3,1,0,1,2
356,27,blue-collar,married,tertiary,-1.1938823255014446,2,1,0,1,2
357,30,technician,married,tertiary,-0.9427043227768733,2,1,1,1,3
358,28,admin.,single,secondary,-1.1101563245932542,3,1,1,0,2
359,27,blue-collar,married,primary,-1.1938823255014446,3,1,1,0,2
360,32,admin.,divorced,secondary,-0.7752523209604926,3,1,1,0,2
361,41,blue-collar,single,secondary,-0.02171831278677903,1,1,0,1,2
362,37,technician,single,tertiary,-0.3566223164195406,3,1,0,0,1
363,27,technician,single,secondary,-1.1938823255014446,3,1,0,0,1
364,29,services,single,secondary,-1.0264303236850638,3,1,1,0,2
365,33,services,married,secondary,-0.6915263200523022,1,1,1,0,2
366,36,technician,married,primary,-0.440348317327731,2,1,0,0,1
367,28,blue-collar,single,secondary,-1.1101563245932542,3,1,0,1,2
368,55,blue-collar,married,secondary,1.1504456999278865,0,1,0,1,2
369,51,technician,married,secondary,0.8155416962951249,0,1,0,0,1
370,39,technician,single,secondary,-0.1891703146031598,3,1,0,1,2
371,42,blue-collar,divorced,primary,0.062007688121411365,1,1,0,1,2
372,33,services,single,secondary,-0.6915263200523022,3,1,0,0,1
373,36,entrepreneur,divorced,tertiary,-0.440348317327731,2,1,1,0,2
374,45,technician,married,secondary,0.3131856908459825,1,1,0,0,1
375,37,self-employed,married,secondary,-0.3566223164195406,1,1,0,0,1
376,46,unemployed,married,secondary,0.39691169175417296,1,1,0,0,1
377,32,self-employed,single,tertiary,-0.7752523209604926,3,1,0,0,1
378,28,technician,single,secondary,-1.1101563245932542,3,1,1,0,2
379,45,admin.,divorced,secondary,0.3131856908459825,1,1,1,0,2
380,41,blue-collar,single,secondary,-0.02171831278677903,1,1,1,1,3
381,59,blue-collar,divorced,primary,1.485349703560648,0,1,1,0,2
382,47,technician,single,secondary,0.48063769266236334,1,1,1,1,3
383,31,blue-collar,single,secondary,-0.858978321868683,3,1,0,0,1
384,31,management,single,tertiary,-0.858978321868683,2,1,1,0,2
385,33,entrepreneur,married,secondary,-0.6915263200523022,1,1,1,1,3
386,52,entrepreneur,married,tertiary,0.8992676972033152,0,1,0,0,1
387,26,self-employed,single,secondary,-1.277608326409635,3,1,0,0,1
388,25,technician,single,secondary,-1.3613343273178253,3,1,1,0,2
389,25,blue-collar,married,secondary,-1.3613343273178253,3,1,1,0,2
390,28,blue-collar,single,secondary,-1.1101563245932542,3,1,1,0,2
391,33,entrepreneur,divorced,tertiary,-0.6915263200523022,2,1,1,0,2
392,45,management,divorced,tertiary,0.3131856908459825,2,1,1,0,2
393,36,services,married,secondary,-0.440348317327731,1,1,1,0,2
394,26,blue-collar,single,secondary,-1.277608326409635,3,1,1,0,2
395,38,technician,married,secondary,-0.2728963155113502,1,1,0,0,1
396,56,blue-collar,single,secondary,1.2341717008360769,0,1,1,0,2
397,26,admin.,single,secondary,-1.277608326409635,3,1,1,0,2
398,26,technician,married,secondary,-1.277608326409635,3,1,1,0,2
399,25,blue-collar,single,secondary,-1.3613343273178253,3,1,1,0,2
400,26,unemployed,single,secondary,-1.277608326409635,3,1,0,0,1
401,40,blue-collar,married,primary,-0.10544431369496943,1,1,0,1,2
402,37,admin.,married,primary,-0.3566223164195406,2,1,0,1,2
403,43,blue-collar,single,primary,0.14573368902960177,1,1,0,0,1
404,41,services,divorced,tertiary,-0.02171831278677903,2,1,0,1,2
405,49,blue-collar,married,secondary,0.6480896944787441,1,1,1,0,2
406,29,admin.,divorced,tertiary,-1.0264303236850638,2,1,1,0,2
407,39,services,divorced,secondary,-0.1891703146031598,1,1,0,1,2
408,38,management,married,tertiary,-0.2728963155113502,2,1,1,1,3
