id,age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,deposit,year,date,weekday
36,32,management,single,tertiary,no,311,no,no,unknown,12,may,757,2,-1,0,unknown,yes,2008,2008-05-12,Monday
37,35,blue-collar,married,primary,no,414,no,no,unknown,13,may,504,4,-1,0,unknown,yes,2008,2008-05-13,Tuesday
38,33,management,divorced,secondary,no,5,yes,no,unknown,13,may,1346,1,-1,0,unknown,yes,2008,2008-05-13,Tuesday
39,38,management,married,tertiary,no,119,yes,no,unknown,13,may,568,4,-1,0,unknown,yes,2008,2008-05-13,Tuesday
40,23,entrepreneur,single,primary,no,4,yes,no,unknown,13,may,395,2,-1,0,unknown,yes,2008,2008-05-13,Tuesday
41,60,blue-collar,married,primary,no,1262,yes,yes,unknown,13,may,1015,1,-1,0,unknown,yes,2008,2008-05-13,Tuesday
42,48,management,married,tertiary,no,1949,yes,no,unknown,13,may,683,2,-1,0,unknown,yes,2008,2008-05-13,Tuesday
43,45,entrepreneur,divorced,tertiary,no,-395,yes,no,unknown,13,may,470,1,-1,0,unknown,yes,2008,2008-05-13,Tuesday
44,36,blue-collar,married,secondary,no,1165,yes,no,unknown,13,may,1001,4,-1,0,unknown,yes,2008,2008-05-13,Tuesday
45,52,management,married,unknown,no,2240,yes,no,unknown,13,may,845,1,-1,0,unknown,yes,2008,2008-05-13,Tuesday
46,35,blue-collar,divorced,primary,no,300,yes,no,unknown,13,may,945,2,-1,0,unknown,yes,2008,2008-05-13,Tuesday
47,43,technician,married,secondary,no,3285,yes,no,unknown,13,may,1721,2,-1,0,unknown,yes,2008,2008-05-13,Tuesday
48,52,housemaid,married,secondary,no,3923,yes,no,unknown,14,may,942,3,-1,0,unknown,yes,2008,2008-05-14,Wednesday
49,53,technician,divorced,primary,no,1443,yes,no,unknown,14,may,476,1,-1,0,unknown,yes,2008,2008-05-14,Wednesday
50,48,blue-collar,divorced,primary,no,24,yes,no,unknown,14,may,832,1,-1,0,unknown,yes,2008,2008-05-14,Wednesday
51,41,blue-collar,single,primary,no,1618,yes,no,unknown,14,may,1553,1,-1,0,unknown,yes,2008,2008-05-14,Wednesday
52,39,management,divorced,tertiary,no,517,yes,yes,unknown,14,may,1328,1,-1,0,unknown,yes,2008,2008-05-14,Wednesday
53,59,retired,married,secondary,no,1521,yes,yes,unknown,14,may,1125,2,-1,0,unknown,yes,2008,2008-05-14,Wednesday
54,41,blue-collar,married,secondary,no,2823,yes,no,unknown,14,may,858,1,-1,0,unknown,yes,2008,2008-05-14,Wednesday
55,48,blue-collar,married,secondary,no,1405,yes,no,unknown,14,may,629,2,-1,0,unknown,yes,2008,2008-05-14,Wednesday
56,40,admin.,married,secondary,no,1535,yes,no,unknown,14,may,704,1,-1,0,unknown,yes,2008,2008-05-14,Wednesday
57,48,blue-collar,married,secondary,no,1596,yes,no,unknown,14,may,760,1,-1,0,unknown,yes,2008,2008-05-14,Wednesday
58,60,retired,married,primary,no,1542,yes,no,unknown,14,may,930,1,-1,0,unknown,yes,2008,2008-05-14,Wednesday
59,40,technician,single,unknown,no,3652,yes,no,unknown,14,may,1028,2,-1,0,unknown,yes,2008,2008-05-14,Wednesday
60,57,technician,married,tertiary,no,-1,no,no,unknown,14,may,850,2,-1,0,unknown,yes,2008,2008-05-14,Wednesday
61,51,blue-collar,married,secondary,no,7180,yes,no,unknown,14,may,927,1,-1,0,unknown,yes,2008,2008-05-14,Wednesday
62,41,blue-collar,divorced,secondary,no,5291,yes,no,unknown,14,may,1423,3,-1,0,unknown,yes,2008,2008-05-14,Wednesday
63,41,blue-collar,married,secondary,no,1384,yes,no,unknown,15,may,1162,4,-1,0,unknown,yes,2008,2008-05-15,Thursday
64,52,blue-collar,divorced,primary,no,-191,yes,no,unknown,15,may,755,1,-1,0,unknown,yes,2008,2008-05-15,Thursday
65,59,blue-collar,married,primary,no,320,yes,no,unknown,15,may,695,1,-1,0,unknown,yes,2008,2008-05-15,Thursday
66,44,blue-collar,married,unknown,no,146,yes,no,unknown,15,may,483,1,-1,0,unknown,yes,2008,2008-05-15,Thursday
67,49,unknown,married,primary,no,341,yes,yes,unknown,15,may,520,2,-1,0,unknown,yes,2008,2008-05-15,Thursday
68,40,services,married,primary,no,-9,yes,no,unknown,15,may,920,2,-1,0,unknown,yes,2008,2008-05-15,Thursday
69,41,admin.,married,primary,no,-306,yes,no,unknown,15,may,500,1,-1,0,unknown,yes,2008,2008-05-15,Thursday
70,44,technician,married,tertiary,no,4580,yes,no,unknown,15,may,911,2,-1,0,unknown,yes,2008,2008-05-15,Thursday
71,60,services,single,primary,no,313,yes,no,unknown,15,may,920,2,-1,0,unknown,yes,2008,2008-05-15,Thursday
72,29,management,married,tertiary,no,10576,no,no,unknown,15,may,1224,2,-1,0,unknown,yes,2008,2008-05-15,Thursday
73,41,retired,divorced,primary,no,-233,yes,no,unknown,15,may,1156,2,-1,0,unknown,yes,2008,2008-05-15,Thursday
74,41,blue-collar,married,primary,no,2453,yes,no,unknown,15,may,1052,1,-1,0,unknown,yes,2008,2008-05-15,Thursday
75,42,technician,single,secondary,no,1364,yes,no,unknown,15,may,1867,6,-1,0,unknown,yes,2008,2008-05-15,Thursday
76,36,services,single,unknown,no,281,yes,no,unknown,16,may,515,1,-1,0,unknown,yes,2008,2008-05-16,Friday
77,39,technician,married,tertiary,no,94,yes,yes,unknown,16,may,813,1,-1,0,unknown,yes,2008,2008-05-16,Friday
78,31,self-employed,single,tertiary,no,144,yes,no,unknown,16,may,676,1,-1,0,unknown,yes,2008,2008-05-16,Friday
79,26,blue-collar,married,secondary,no,246,yes,no,unknown,16,may,1143,3,-1,0,unknown,yes,2008,2008-05-16,Friday
80,31,blue-collar,married,secondary,no,92,yes,no,unknown,16,may,688,1,-1,0,unknown,yes,2008,2008-05-16,Friday
81,29,admin.,single,secondary,no,163,yes,yes,unknown,16,may,803,1,-1,0,unknown,yes,2008,2008-05-16,Friday
82,37,services,divorced,secondary,no,49,yes,no,unknown,16,may,619,2,-1,0,unknown,yes,2008,2008-05-16,Friday
83,33,blue-collar,single,secondary,no,-416,yes,no,unknown,16,may,767,2,-1,0,unknown,yes,2008,2008-05-16,Friday
84,24,technician,single,secondary,no,409,yes,no,unknown,16,may,912,1,-1,0,unknown,yes,2008,2008-05-16,Friday
85,50,admin.,divorced,secondary,no,363,yes,no,unknown,16,may,1340,1,-1,0,unknown,yes,2008,2008-05-16,Friday
86,27,technician,single,tertiary,no,3706,yes,no,unknown,16,may,897,1,-1,0,unknown,yes,2008,2008-05-16,Friday
87,54,management,single,tertiary,no,4393,yes,no,unknown,16,may,1297,3,-1,0,unknown,yes,2008,2008-05-16,Friday
88,30,technician,single,secondary,no,863,yes,no,unknown,16,may,1193,5,-1,0,unknown,yes,2008,2008-05-16,Friday
89,34,blue-collar,married,primary,no,695,yes,yes,unknown,16,may,1064,4,-1,0,unknown,yes,2008,2008-05-16,Friday
90,37,management,single,secondary,no,792,yes,no,unknown,16,may,1187,4,-1,0,unknown,yes,2008,2008-05-16,Friday
91,41,admin.,single,secondary,no,1020,yes,no,unknown,19,may,882,1,-1,0,unknown,yes,2008,2008-05-19,Monday
92,47,blue-collar,married,secondary,no,863,yes,no,unknown,19,may,943,2,-1,0,unknown,yes,2008,2008-05-19,Monday
93,31,admin.,married,secondary,no,97,yes,no,unknown,19,may,607,1,-1,0,unknown,yes,2008,2008-05-19,Monday
94,31,blue-collar,married,secondary,no,754,yes,no,unknown,19,may,1022,4,-1,0,unknown,yes,2008,2008-05-19,Monday
95,43,services,divorced,secondary,no,1040,yes,no,unknown,19,may,552,3,-1,0,unknown,yes,2008,2008-05-19,Monday
96,37,management,divorced,tertiary,no,122,yes,no,unknown,19,may,1622,2,-1,0,unknown,yes,2008,2008-05-19,Monday
97,30,technician,single,tertiary,no,880,yes,yes,unknown,19,may,967,6,-1,0,unknown,yes,2008,2008-05-19,Monday
98,41,technician,married,secondary,no,501,yes,no,unknown,19,may,579,5,-1,0,unknown,yes,2008,2008-05-19,Monday
99,36,blue-collar,married,secondary,no,4438,yes,no,unknown,20,may,446,1,-1,0,unknown,yes,2008,2008-05-20,Tuesday
100,35,blue-collar,divorced,secondary,no,0,yes,no,unknown,20,may,1205,1,-1,0,unknown,yes,2008,2008-05-20,Tuesday
101,29,services,single,secondary,no,271,yes,no,unknown,20,may,1882,2,-1,0,unknown,yes,2008,2008-05-20,Tuesday
102,35,blue-collar,married,primary,no,102,yes,no,unknown,20,may,1334,1,-1,0,unknown,yes,2008,2008-05-20,Tuesday
103,31,blue-collar,married,secondary,no,2,yes,no,unknown,20,may,182,2,-1,0,unknown,yes,2008,2008-05-20,Tuesday
104,35,services,married,secondary,no,4170,yes,no,unknown,20,may,1777,1,-1,0,unknown,yes,2008,2008-05-20,Tuesday
105,34,technician,single,secondary,no,85,yes,no,unknown,20,may,1182,4,-1,0,unknown,yes,2008,2008-05-20,Tuesday
106,31,admin.,single,secondary,no,431,yes,yes,unknown,20,may,1045,1,-1,0,unknown,yes,2008,2008-05-20,Tuesday
107,44,technician,divorced,secondary,no,982,yes,no,unknown,20,may,650,3,-1,0,unknown,yes,2008,2008-05-20,Tuesday
108,36,blue-collar,married,primary,no,408,yes,yes,unknown,20,may,1063,2,-1,0,unknown,yes,2008,2008-05-20,Tuesday
109,35,blue-collar,married,unknown,no,4822,yes,no,unknown,20,may,843,2,-1,0,unknown,yes,2008,2008-05-20,Tuesday
110,41,blue-collar,married,primary,no,1250,yes,no,unknown,20,may,1392,2,-1,0,unknown,yes,2008,2008-05-20,Tuesday
111,31,blue-collar,single,primary,no,216,yes,no,unknown,21,may,565,1,-1,0,unknown,yes,2008,2008-05-21,Wednesday
112,34,blue-collar,married,secondary,no,1207,yes,no,unknown,21,may,905,1,-1,0,unknown,yes,2008,2008-05-21,Wednesday
113,32,technician,married,secondary,no,791,yes,no,unknown,21,may,783,2,-1,0,unknown,yes,2008,2008-05-21,Wednesday
114,36,management,married,tertiary,no,849,yes,yes,unknown,21,may,958,2,-1,0,unknown,yes,2008,2008-05-21,Wednesday
115,30,blue-collar,single,secondary,yes,239,yes,no,unknown,21,may,412,1,-1,0,unknown,yes,2008,2008-05-21,Wednesday
116,37,technician,single,secondary,no,1211,yes,no,unknown,21,may,795,1,-1,0,unknown,yes,2008,2008-05-21,Wednesday
117,36,blue-collar,married,primary,no,599,yes,no,unknown,21,may,649,2,-1,0,unknown,yes,2008,2008-05-21,Wednesday
118,31,management,single,tertiary,no,825,yes,no,unknown,21,may,506,2,-1,0,unknown,yes,2008,2008-05-21,Wednesday
119,27,technician,married,secondary,no,2183,yes,yes,unknown,21,may,857,1,-1,0,unknown,yes,2008,2008-05-21,Wednesday
120,34,retired,married,primary,no,4499,no,no,unknown,21,may,1681,1,-1,0,unknown,yes,2008,2008-05-21,Wednesday
121,30,technician,single,tertiary,no,1289,yes,no,unknown,21,may,1697,2,-1,0,unknown,yes,2008,2008-05-21,Wednesday
122,32,technician,single,tertiary,no,4665,yes,no,unknown,21,may,860,2,-1,0,unknown,yes,2008,2008-05-21,Wednesday
123,37,technician,single,secondary,no,3326,yes,no,unknown,21,may,799,1,-1,0,unknown,yes,2008,2008-05-21,Wednesday
124,32,blue-collar,married,secondary,no,783,yes,no,unknown,21,may,923,3,-1,0,unknown,yes,2008,2008-05-21,Wednesday
125,33,blue-collar,married,secondary,no,0,yes,no,unknown,21,may,521,3,-1,0,unknown,yes,2008,2008-05-21,Wednesday
126,35,blue-collar,married,primary,no,994,yes,no,unknown,23,may,1349,8,-1,0,unknown,yes,2008,2008-05-23,Friday
127,35,self-employed,divorced,tertiary,no,1354,yes,no,unknown,23,may,736,2,-1,0,unknown,yes,2008,2008-05-23,Friday
128,30,blue-collar,single,secondary,no,239,yes,no,unknown,23,may,785,1,-1,0,unknown,yes,2008,2008-05-23,Friday
129,45,blue-collar,divorced,primary,no,-311,yes,no,unknown,23,may,1030,1,-1,0,unknown,yes,2008,2008-05-23,Friday
130,45,admin.,married,secondary,no,149,yes,no,unknown,23,may,893,3,-1,0,unknown,yes,2008,2008-05-23,Friday
131,33,blue-collar,married,secondary,no,1464,yes,no,unknown,23,may,588,3,-1,0,unknown,yes,2008,2008-05-23,Friday
132,44,management,divorced,tertiary,no,5773,no,no,unknown,23,may,597,6,-1,0,unknown,yes,2008,2008-05-23,Friday
133,40,blue-collar,married,primary,no,278,yes,no,unknown,23,may,1015,3,-1,0,unknown,yes,2008,2008-05-23,Friday
134,31,blue-collar,married,secondary,no,2910,yes,no,unknown,23,may,1392,2,-1,0,unknown,yes,2008,2008-05-23,Friday
135,30,technician,married,tertiary,no,541,yes,no,unknown,26,may,414,2,-1,0,unknown,yes,2008,2008-05-26,Monday
136,44,technician,divorced,secondary,no,1262,yes,no,unknown,26,may,788,11,-1,0,unknown,yes,2008,2008-05-26,Monday
137,34,services,married,secondary,no,-538,yes,no,unknown,26,may,682,1,-1,0,unknown,yes,2008,2008-05-26,Monday
138,37,blue-collar,married,secondary,no,125,no,no,unknown,26,may,679,2,-1,0,unknown,yes,2008,2008-05-26,Monday
139,28,self-employed,single,tertiary,no,0,yes,no,unknown,26,may,1560,2,-1,0,unknown,yes,2008,2008-05-26,Monday
140,32,admin.,single,secondary,no,620,yes,no,unknown,26,may,1234,3,-1,0,unknown,yes,2008,2008-05-26,Monday
141,37,blue-collar,divorced,secondary,no,316,yes,no,unknown,26,may,642,2,-1,0,unknown,yes,2008,2008-05-26,Monday
142,34,management,married,tertiary,no,2287,yes,no,unknown,26,may,895,4,-1,0,unknown,yes,2008,2008-05-26,Monday
143,38,admin.,divorced,secondary,no,198,yes,no,unknown,26,may,431,2,-1,0,unknown,yes,2008,2008-05-26,Monday
144,28,admin.,single,secondary,no,460,yes,no,unknown,26,may,741,6,-1,0,unknown,yes,2008,2008-05-26,Monday
145,31,management,divorced,tertiary,no,1145,yes,no,unknown,26,may,1272,4,-1,0,unknown,yes,2008,2008-05-26,Monday
146,59,services,married,secondary,no,-22,yes,no,unknown,26,may,748,3,-1,0,unknown,yes,2008,2008-05-26,Monday
147,24,blue-collar,married,secondary,no,685,yes,no,unknown,26,may,896,3,-1,0,unknown,yes,2008,2008-05-26,Monday
148,26,services,single,secondary,no,901,yes,no,unknown,26,may,764,2,-1,0,unknown,yes,2008,2008-05-26,Monday
149,59,retired,single,secondary,no,351,yes,no,unknown,27,may,1063,5,-1,0,unknown,yes,2008,2008-05-27,Tuesday
150,30,entrepreneur,single,primary,no,0,yes,yes,unknown,27,may,1051,1,-1,0,unknown,yes,2008,2008-05-27,Tuesday
151,37,admin.,married,secondary,no,274,yes,no,unknown,27,may,731,3,-1,0,unknown,yes,2008,2008-05-27,Tuesday
152,30,admin.,single,secondary,no,-213,yes,yes,unknown,27,may,751,1,-1,0,unknown,yes,2008,2008-05-27,Tuesday
153,25,blue-collar,married,secondary,no,97,yes,no,unknown,27,may,709,1,-1,0,unknown,yes,2008,2008-05-27,Tuesday
154,44,services,divorced,secondary,no,51,yes,yes,unknown,27,may,3094,2,-1,0,unknown,yes,2008,2008-05-27,Tuesday
155,29,management,married,tertiary,no,314,no,no,unknown,28,may,938,2,-1,0,unknown,yes,2008,2008-05-28,Wednesday
156,26,management,single,tertiary,no,6840,yes,no,unknown,28,may,1560,2,-1,0,unknown,yes,2008,2008-05-28,Wednesday
157,26,technician,single,secondary,no,668,yes,no,unknown,28,may,576,3,-1,0,unknown,yes,2008,2008-05-28,Wednesday
158,27,services,single,secondary,no,54,yes,no,unknown,28,may,543,2,-1,0,unknown,yes,2008,2008-05-28,Wednesday
159,25,self-employed,single,secondary,no,1242,yes,no,unknown,28,may,615,2,-1,0,unknown,yes,2008,2008-05-28,Wednesday
160,28,management,married,secondary,no,292,yes,no,unknown,28,may,507,1,-1,0,unknown,yes,2008,2008-05-28,Wednesday
161,23,services,single,secondary,no,665,yes,no,unknown,28,may,1183,1,-1,0,unknown,yes,2008,2008-05-28,Wednesday
162,34,management,single,tertiary,no,1058,yes,no,unknown,28,may,864,2,-1,0,unknown,yes,2008,2008-05-28,Wednesday
163,28,student,single,secondary,no,949,yes,no,unknown,28,may,1730,1,-1,0,unknown,yes,2008,2008-05-28,Wednesday
164,51,entrepreneur,married,unknown,no,606,yes,no,unknown,28,may,560,9,-1,0,unknown,yes,2008,2008-05-28,Wednesday
165,35,blue-collar,married,secondary,no,0,yes,yes,unknown,29,may,543,1,-1,0,unknown,yes,2008,2008-05-29,Thursday
166,35,admin.,married,secondary,no,404,yes,no,unknown,29,may,539,1,-1,0,unknown,yes,2008,2008-05-29,Thursday
167,56,blue-collar,married,secondary,no,249,yes,no,unknown,29,may,791,2,-1,0,unknown,yes,2008,2008-05-29,Thursday
168,45,unemployed,divorced,secondary,no,3354,yes,no,unknown,29,may,746,1,-1,0,unknown,yes,2008,2008-05-29,Thursday
169,60,blue-collar,divorced,secondary,no,0,yes,no,unknown,29,may,1207,1,-1,0,unknown,yes,2008,2008-05-29,Thursday
170,56,technician,married,secondary,no,589,yes,no,unknown,29,may,535,2,-1,0,unknown,yes,2008,2008-05-29,Thursday
171,27,management,single,tertiary,no,12956,yes,no,unknown,29,may,789,3,-1,0,unknown,yes,2008,2008-05-29,Thursday
172,30,admin.,married,secondary,no,873,yes,no,unknown,29,may,792,3,-1,0,unknown,yes,2008,2008-05-29,Thursday
173,45,blue-collar,divorced,primary,no,594,yes,no,unknown,29,may,833,2,-1,0,unknown,yes,2008,2008-05-29,Thursday
174,29,blue-collar,single,secondary,no,-20,yes,no,unknown,29,may,814,2,-1,0,unknown,yes,2008,2008-05-29,Thursday
175,38,management,divorced,tertiary,no,4692,yes,no,unknown,29,may,1363,2,-1,0,unknown,yes,2008,2008-05-29,Thursday
176,30,blue-collar,married,secondary,no,486,yes,no,unknown,29,may,1109,3,-1,0,unknown,yes,2008,2008-05-29,Thursday
177,44,blue-collar,single,primary,no,1593,yes,no,unknown,29,may,828,3,-1,0,unknown,yes,2008,2008-05-29,Thursday
178,36,management,single,tertiary,no,7606,yes,no,unknown,30,may,917,1,-1,0,unknown,yes,2008,2008-05-30,Friday
179,38,technician,married,secondary,no,226,yes,no,unknown,30,may,762,3,-1,0,unknown,yes,2008,2008-05-30,Friday
180,36,blue-collar,single,secondary,no,366,yes,yes,unknown,30,may,1133,2,-1,0,unknown,yes,2008,2008-05-30,Friday
181,37,management,divorced,secondary,no,16,yes,no,unknown,30,may,638,1,-1,0,unknown,yes,2008,2008-05-30,Friday
182,35,management,single,tertiary,no,565,yes,no,unknown,30,may,763,1,-1,0,unknown,yes,2008,2008-05-30,Friday
183,38,admin.,divorced,secondary,no,19,yes,no,unknown,30,may,604,2,-1,0,unknown,yes,2008,2008-05-30,Friday
184,40,services,married,primary,no,1082,yes,no,unknown,30,may,854,2,-1,0,unknown,yes,2008,2008-05-30,Friday
185,42,unemployed,divorced,secondary,no,1713,yes,no,unknown,30,may,855,2,-1,0,unknown,yes,2008,2008-05-30,Friday
186,46,management,divorced,tertiary,no,14481,yes,no,unknown,30,may,1269,1,-1,0,unknown,yes,2008,2008-05-30,Friday
187,35,technician,divorced,secondary,no,5724,yes,no,unknown,30,may,691,10,-1,0,unknown,yes,2008,2008-05-30,Friday
188,34,technician,divorced,secondary,no,1451,yes,no,unknown,30,may,1097,15,-1,0,unknown,yes,2008,2008-05-30,Friday
189,32,services,married,secondary,no,-34,yes,no,unknown,30,may,1236,2,-1,0,unknown,yes,2008,2008-05-30,Friday
190,50,unemployed,married,secondary,no,3674,yes,no,unknown,30,may,886,3,-1,0,unknown,yes,2008,2008-05-30,Friday
191,35,blue-collar,married,secondary,no,698,yes,yes,unknown,30,may,1343,3,-1,0,unknown,yes,2008,2008-05-30,Friday
192,36,technician,single,secondary,no,4136,yes,no,unknown,30,may,812,3,-1,0,unknown,yes,2008,2008-05-30,Friday
193,53,blue-collar,divorced,primary,no,2656,yes,no,unknown,30,may,1980,2,-1,0,unknown,yes,2008,2008-05-30,Friday
194,46,management,single,tertiary,no,2904,yes,no,unknown,30,may,984,2,-1,0,unknown,yes,2008,2008-05-30,Friday
195,26,management,single,tertiary,no,1004,yes,no,unknown,30,may,228,2,-1,0,unknown,yes,2008,2008-05-30,Friday
196,45,technician,single,secondary,no,410,yes,no,unknown,30,may,891,4,-1,0,unknown,yes,2008,2008-05-30,Friday
197,31,unemployed,divorced,primary,no,0,yes,no,unknown,30,may,745,12,-1,0,unknown,yes,2008,2008-05-30,Friday
198,29,management,single,tertiary,no,0,yes,no,unknown,30,may,539,12,-1,0,unknown,yes,2008,2008-05-30,Friday
199,53,entrepreneur,single,secondary,no,62,yes,no,unknown,30,may,1044,5,-1,0,unknown,yes,2008,2008-05-30,Friday
200,27,blue-collar,married,primary,no,416,yes,no,unknown,30,may,1193,2,-1,0,unknown,yes,2008,2008-05-30,Friday
201,39,management,married,tertiary,no,2763,yes,no,unknown,2,jun,526,2,-1,0,unknown,yes,2008,2008-06-02,Monday
202,36,services,married,secondary,no,2984,yes,no,unknown,2,jun,394,1,-1,0,unknown,yes,2008,2008-06-02,Monday
203,41,blue-collar,married,primary,no,143,yes,yes,unknown,2,jun,659,2,-1,0,unknown,yes,2008,2008-06-02,Monday
204,36,services,married,primary,no,0,yes,no,unknown,2,jun,1036,1,-1,0,unknown,yes,2008,2008-06-02,Monday
205,32,technician,married,secondary,no,696,yes,no,unknown,2,jun,815,1,-1,0,unknown,yes,2008,2008-06-02,Monday
206,35,services,married,secondary,no,152,yes,no,unknown,2,jun,563,1,-1,0,unknown,yes,2008,2008-06-02,Monday
207,36,management,single,tertiary,no,-78,yes,no,unknown,2,jun,1068,1,-1,0,unknown,yes,2008,2008-06-02,Monday
208,35,management,married,tertiary,no,867,yes,no,unknown,2,jun,230,3,-1,0,unknown,yes,2008,2008-06-02,Monday
209,30,blue-collar,single,secondary,no,953,yes,no,unknown,2,jun,747,2,-1,0,unknown,yes,2008,2008-06-02,Monday
210,42,blue-collar,married,secondary,no,443,yes,no,unknown,2,jun,671,5,-1,0,unknown,yes,2008,2008-06-02,Monday
211,42,technician,single,secondary,yes,-1129,yes,no,unknown,2,jun,555,5,-1,0,unknown,yes,2008,2008-06-02,Monday
212,32,blue-collar,married,primary,no,415,yes,no,unknown,2,jun,777,4,-1,0,unknown,yes,2008,2008-06-02,Monday
213,29,blue-collar,single,secondary,no,260,yes,no,unknown,2,jun,707,14,-1,0,unknown,yes,2008,2008-06-02,Monday
214,44,management,divorced,tertiary,yes,-411,yes,no,unknown,2,jun,432,4,-1,0,unknown,yes,2008,2008-06-02,Monday
215,32,technician,single,secondary,no,1279,yes,no,unknown,3,jun,1173,3,-1,0,unknown,yes,2008,2008-06-03,Tuesday
216,31,unemployed,married,secondary,no,86,yes,yes,unknown,3,jun,963,2,-1,0,unknown,yes,2008,2008-06-03,Tuesday
217,40,self-employed,married,secondary,yes,-754,yes,yes,unknown,3,jun,941,3,-1,0,unknown,yes,2008,2008-06-03,Tuesday
218,43,entrepreneur,married,secondary,no,0,no,no,unknown,3,jun,1025,7,-1,0,unknown,yes,2008,2008-06-03,Tuesday
219,27,management,single,secondary,no,178,yes,no,unknown,3,jun,732,2,-1,0,unknown,yes,2008,2008-06-03,Tuesday
