id,age,job,marital,education,default,balance,housing,loan,contact,day,month,date_2025,month_num,weekday,duration,campaign,pdays,previous,poutcome,deposit
41,60,blue-collar,married,primary,no,1262,yes,yes,unknown,13,may,13/05/2025,5,Tuesday,1015,1,-1,0,unknown,yes
42,48,management,married,tertiary,no,1949,yes,no,unknown,13,may,13/05/2025,5,Tuesday,683,2,-1,0,unknown,yes
43,45,entrepreneur,divorced,tertiary,no,-395,yes,no,unknown,13,may,13/05/2025,5,Tuesday,470,1,-1,0,unknown,yes
44,36,blue-collar,married,secondary,no,1165,yes,no,unknown,13,may,13/05/2025,5,Tuesday,1001,4,-1,0,unknown,yes
45,52,management,married,unknown,no,2240,yes,no,unknown,13,may,13/05/2025,5,Tuesday,845,1,-1,0,unknown,yes
46,35,blue-collar,divorced,primary,no,300,yes,no,unknown,13,may,13/05/2025,5,Tuesday,945,2,-1,0,unknown,yes
47,43,technician,married,secondary,no,3285,yes,no,unknown,13,may,13/05/2025,5,Tuesday,1721,2,-1,0,unknown,yes
48,52,housemaid,married,secondary,no,3923,yes,no,unknown,14,may,14/05/2025,5,Wednesday,942,3,-1,0,unknown,yes
49,53,technician,divorced,primary,no,1443,yes,no,unknown,14,may,14/05/2025,5,Wednesday,476,1,-1,0,unknown,yes
50,48,blue-collar,divorced,primary,no,24,yes,no,unknown,14,may,14/05/2025,5,Wednesday,832,1,-1,0,unknown,yes
51,41,blue-collar,single,primary,no,1618,yes,no,unknown,14,may,14/05/2025,5,Wednesday,1553,1,-1,0,unknown,yes
52,39,management,divorced,tertiary,no,517,yes,yes,unknown,14,may,14/05/2025,5,Wednesday,1328,1,-1,0,unknown,yes
53,59,retired,married,secondary,no,1521,yes,yes,unknown,14,may,14/05/2025,5,Wednesday,1125,2,-1,0,unknown,yes
54,41,blue-collar,married,secondary,no,2823,yes,no,unknown,14,may,14/05/2025,5,Wednesday,858,1,-1,0,unknown,yes
55,48,blue-collar,married,secondary,no,1405,yes,no,unknown,14,may,14/05/2025,5,Wednesday,629,2,-1,0,unknown,yes
56,40,admin.,married,secondary,no,1535,yes,no,unknown,14,may,14/05/2025,5,Wednesday,704,1,-1,0,unknown,yes
57,48,blue-collar,married,secondary,no,1596,yes,no,unknown,14,may,14/05/2025,5,Wednesday,760,1,-1,0,unknown,yes
58,60,retired,married,primary,no,1542,yes,no,unknown,14,may,14/05/2025,5,Wednesday,930,1,-1,0,unknown,yes
59,40,technician,single,unknown,no,3652,yes,no,unknown,14,may,14/05/2025,5,Wednesday,1028,2,-1,0,unknown,yes
60,57,technician,married,tertiary,no,-1,no,no,unknown,14,may,14/05/2025,5,Wednesday,850,2,-1,0,unknown,yes
61,51,blue-collar,married,secondary,no,7180,yes,no,unknown,14,may,14/05/2025,5,Wednesday,927,1,-1,0,unknown,yes
62,41,blue-collar,divorced,secondary,no,5291,yes,no,unknown,14,may,14/05/2025,5,Wednesday,1423,3,-1,0,unknown,yes
63,41,blue-collar,married,secondary,no,1384,yes,no,unknown,15,may,15/05/2025,5,Thursday,1162,4,-1,0,unknown,yes
64,52,blue-collar,divorced,primary,no,-191,yes,no,unknown,15,may,15/05/2025,5,Thursday,755,1,-1,0,unknown,yes
65,59,blue-collar,married,primary,no,320,yes,no,unknown,15,may,15/05/2025,5,Thursday,695,1,-1,0,unknown,yes
66,44,blue-collar,married,unknown,no,146,yes,no,unknown,15,may,15/05/2025,5,Thursday,483,1,-1,0,unknown,yes
67,49,unknown,married,primary,no,341,yes,yes,unknown,15,may,15/05/2025,5,Thursday,520,2,-1,0,unknown,yes
68,40,services,married,primary,no,-9,yes,no,unknown,15,may,15/05/2025,5,Thursday,920,2,-1,0,unknown,yes
69,41,admin.,married,primary,no,-306,yes,no,unknown,15,may,15/05/2025,5,Thursday,500,1,-1,0,unknown,yes
70,44,technician,married,tertiary,no,4580,yes,no,unknown,15,may,15/05/2025,5,Thursday,911,2,-1,0,unknown,yes
71,60,services,single,primary,no,313,yes,no,unknown,15,may,15/05/2025,5,Thursday,920,2,-1,0,unknown,yes
72,29,management,married,tertiary,no,10576,no,no,unknown,15,may,15/05/2025,5,Thursday,1224,2,-1,0,unknown,yes
73,41,retired,divorced,primary,no,-233,yes,no,unknown,15,may,15/05/2025,5,Thursday,1156,2,-1,0,unknown,yes
74,41,blue-collar,married,primary,no,2453,yes,no,unknown,15,may,15/05/2025,5,Thursday,1052,1,-1,0,unknown,yes
75,42,technician,single,secondary,no,1364,yes,no,unknown,15,may,15/05/2025,5,Thursday,1867,6,-1,0,unknown,yes
76,36,services,single,unknown,no,281,yes,no,unknown,16,may,16/05/2025,5,Friday,515,1,-1,0,unknown,yes
77,39,technician,married,tertiary,no,94,yes,yes,unknown,16,may,16/05/2025,5,Friday,813,1,-1,0,unknown,yes
78,31,self-employed,single,tertiary,no,144,yes,no,unknown,16,may,16/05/2025,5,Friday,676,1,-1,0,unknown,yes
79,26,blue-collar,married,secondary,no,246,yes,no,unknown,16,may,16/05/2025,5,Friday,1143,3,-1,0,unknown,yes
80,31,blue-collar,married,secondary,no,92,yes,no,unknown,16,may,16/05/2025,5,Friday,688,1,-1,0,unknown,yes
81,29,admin.,single,secondary,no,163,yes,yes,unknown,16,may,16/05/2025,5,Friday,803,1,-1,0,unknown,yes
82,37,services,divorced,secondary,no,49,yes,no,unknown,16,may,16/05/2025,5,Friday,619,2,-1,0,unknown,yes
83,33,blue-collar,single,secondary,no,-416,yes,no,unknown,16,may,16/05/2025,5,Friday,767,2,-1,0,unknown,yes
84,24,technician,single,secondary,no,409,yes,no,unknown,16,may,16/05/2025,5,Friday,912,1,-1,0,unknown,yes
85,50,admin.,divorced,secondary,no,363,yes,no,unknown,16,may,16/05/2025,5,Friday,1340,1,-1,0,unknown,yes
86,27,technician,single,tertiary,no,3706,yes,no,unknown,16,may,16/05/2025,5,Friday,897,1,-1,0,unknown,yes
87,54,management,single,tertiary,no,4393,yes,no,unknown,16,may,16/05/2025,5,Friday,1297,3,-1,0,unknown,yes
88,30,technician,single,secondary,no,863,yes,no,unknown,16,may,16/05/2025,5,Friday,1193,5,-1,0,unknown,yes
89,34,blue-collar,married,primary,no,695,yes,yes,unknown,16,may,16/05/2025,5,Friday,1064,4,-1,0,unknown,yes
90,37,management,single,secondary,no,792,yes,no,unknown,16,may,16/05/2025,5,Friday,1187,4,-1,0,unknown,yes
91,41,admin.,single,secondary,no,1020,yes,no,unknown,19,may,19/05/2025,5,Monday,882,1,-1,0,unknown,yes
92,47,blue-collar,married,secondary,no,863,yes,no,unknown,19,may,19/05/2025,5,Monday,943,2,-1,0,unknown,yes
93,31,admin.,married,secondary,no,97,yes,no,unknown,19,may,19/05/2025,5,Monday,607,1,-1,0,unknown,yes
94,31,blue-collar,married,secondary,no,754,yes,no,unknown,19,may,19/05/2025,5,Monday,1022,4,-1,0,unknown,yes
95,43,services,divorced,secondary,no,1040,yes,no,unknown,19,may,19/05/2025,5,Monday,552,3,-1,0,unknown,yes
96,37,management,divorced,tertiary,no,122,yes,no,unknown,19,may,19/05/2025,5,Monday,1622,2,-1,0,unknown,yes
97,30,technician,single,tertiary,no,880,yes,yes,unknown,19,may,19/05/2025,5,Monday,967,6,-1,0,unknown,yes
98,41,technician,married,secondary,no,501,yes,no,unknown,19,may,19/05/2025,5,Monday,579,5,-1,0,unknown,yes
99,36,blue-collar,married,secondary,no,4438,yes,no,unknown,20,may,20/05/2025,5,Tuesday,446,1,-1,0,unknown,yes
100,35,blue-collar,divorced,secondary,no,0,yes,no,unknown,20,may,20/05/2025,5,Tuesday,1205,1,-1,0,unknown,yes
101,29,services,single,secondary,no,271,yes,no,unknown,20,may,20/05/2025,5,Tuesday,1882,2,-1,0,unknown,yes
102,35,blue-collar,married,primary,no,102,yes,no,unknown,20,may,20/05/2025,5,Tuesday,1334,1,-1,0,unknown,yes
103,31,blue-collar,married,secondary,no,2,yes,no,unknown,20,may,20/05/2025,5,Tuesday,182,2,-1,0,unknown,yes
104,35,services,married,secondary,no,4170,yes,no,unknown,20,may,20/05/2025,5,Tuesday,1777,1,-1,0,unknown,yes
105,34,technician,single,secondary,no,85,yes,no,unknown,20,may,20/05/2025,5,Tuesday,1182,4,-1,0,unknown,yes
106,31,admin.,single,secondary,no,431,yes,yes,unknown,20,may,20/05/2025,5,Tuesday,1045,1,-1,0,unknown,yes
107,44,technician,divorced,secondary,no,982,yes,no,unknown,20,may,20/05/2025,5,Tuesday,650,3,-1,0,unknown,yes
108,36,blue-collar,married,primary,no,408,yes,yes,unknown,20,may,20/05/2025,5,Tuesday,1063,2,-1,0,unknown,yes
109,35,blue-collar,married,unknown,no,4822,yes,no,unknown,20,may,20/05/2025,5,Tuesday,843,2,-1,0,unknown,yes
110,41,blue-collar,married,primary,no,1250,yes,no,unknown,20,may,20/05/2025,5,Tuesday,1392,2,-1,0,unknown,yes
111,31,blue-collar,single,primary,no,216,yes,no,unknown,21,may,21/05/2025,5,Wednesday,565,1,-1,0,unknown,yes
112,34,blue-collar,married,secondary,no,1207,yes,no,unknown,21,may,21/05/2025,5,Wednesday,905,1,-1,0,unknown,yes
113,32,technician,married,secondary,no,791,yes,no,unknown,21,may,21/05/2025,5,Wednesday,783,2,-1,0,unknown,yes
114,36,management,married,tertiary,no,849,yes,yes,unknown,21,may,21/05/2025,5,Wednesday,958,2,-1,0,unknown,yes
115,30,blue-collar,single,secondary,yes,239,yes,no,unknown,21,may,21/05/2025,5,Wednesday,412,1,-1,0,unknown,yes
116,37,technician,single,secondary,no,1211,yes,no,unknown,21,may,21/05/2025,5,Wednesday,795,1,-1,0,unknown,yes
117,36,blue-collar,married,primary,no,599,yes,no,unknown,21,may,21/05/2025,5,Wednesday,649,2,-1,0,unknown,yes
118,31,management,single,tertiary,no,825,yes,no,unknown,21,may,21/05/2025,5,Wednesday,506,2,-1,0,unknown,yes
119,27,technician,married,secondary,no,2183,yes,yes,unknown,21,may,21/05/2025,5,Wednesday,857,1,-1,0,unknown,yes
120,34,retired,married,primary,no,4499,no,no,unknown,21,may,21/05/2025,5,Wednesday,1681,1,-1,0,unknown,yes
121,30,technician,single,tertiary,no,1289,yes,no,unknown,21,may,21/05/2025,5,Wednesday,1697,2,-1,0,unknown,yes
122,32,technician,single,tertiary,no,4665,yes,no,unknown,21,may,21/05/2025,5,Wednesday,860,2,-1,0,unknown,yes
123,37,technician,single,secondary,no,3326,yes,no,unknown,21,may,21/05/2025,5,Wednesday,799,1,-1,0,unknown,yes
124,32,blue-collar,married,secondary,no,783,yes,no,unknown,21,may,21/05/2025,5,Wednesday,923,3,-1,0,unknown,yes
125,33,blue-collar,married,secondary,no,0,yes,no,unknown,21,may,21/05/2025,5,Wednesday,521,3,-1,0,unknown,yes
126,35,blue-collar,married,primary,no,994,yes,no,unknown,23,may,23/05/2025,5,Friday,1349,8,-1,0,unknown,yes
127,35,self-employed,divorced,tertiary,no,1354,yes,no,unknown,23,may,23/05/2025,5,Friday,736,2,-1,0,unknown,yes
128,30,blue-collar,single,secondary,no,239,yes,no,unknown,23,may,23/05/2025,5,Friday,785,1,-1,0,unknown,yes
129,45,blue-collar,divorced,primary,no,-311,yes,no,unknown,23,may,23/05/2025,5,Friday,1030,1,-1,0,unknown,yes
130,45,admin.,married,secondary,no,149,yes,no,unknown,23,may,23/05/2025,5,Friday,893,3,-1,0,unknown,yes
131,33,blue-collar,married,secondary,no,1464,yes,no,unknown,23,may,23/05/2025,5,Friday,588,3,-1,0,unknown,yes
132,44,management,divorced,tertiary,no,5773,no,no,unknown,23,may,23/05/2025,5,Friday,597,6,-1,0,unknown,yes
133,40,blue-collar,married,primary,no,278,yes,no,unknown,23,may,23/05/2025,5,Friday,1015,3,-1,0,unknown,yes
134,31,blue-collar,married,secondary,no,2910,yes,no,unknown,23,may,23/05/2025,5,Friday,1392,2,-1,0,unknown,yes
135,30,technician,married,tertiary,no,541,yes,no,unknown,26,may,26/05/2025,5,Monday,414,2,-1,0,unknown,yes
136,44,technician,divorced,secondary,no,1262,yes,no,unknown,26,may,26/05/2025,5,Monday,788,11,-1,0,unknown,yes
137,34,services,married,secondary,no,-538,yes,no,unknown,26,may,26/05/2025,5,Monday,682,1,-1,0,unknown,yes
138,37,blue-collar,married,secondary,no,125,no,no,unknown,26,may,26/05/2025,5,Monday,679,2,-1,0,unknown,yes
139,28,self-employed,single,tertiary,no,0,yes,no,unknown,26,may,26/05/2025,5,Monday,1560,2,-1,0,unknown,yes
140,32,admin.,single,secondary,no,620,yes,no,unknown,26,may,26/05/2025,5,Monday,1234,3,-1,0,unknown,yes
141,37,blue-collar,divorced,secondary,no,316,yes,no,unknown,26,may,26/05/2025,5,Monday,642,2,-1,0,unknown,yes
142,34,management,married,tertiary,no,2287,yes,no,unknown,26,may,26/05/2025,5,Monday,895,4,-1,0,unknown,yes
143,38,admin.,divorced,secondary,no,198,yes,no,unknown,26,may,26/05/2025,5,Monday,431,2,-1,0,unknown,yes
144,28,admin.,single,secondary,no,460,yes,no,unknown,26,may,26/05/2025,5,Monday,741,6,-1,0,unknown,yes
145,31,management,divorced,tertiary,no,1145,yes,no,unknown,26,may,26/05/2025,5,Monday,1272,4,-1,0,unknown,yes
146,59,services,married,secondary,no,-22,yes,no,unknown,26,may,26/05/2025,5,Monday,748,3,-1,0,unknown,yes
147,24,blue-collar,married,secondary,no,685,yes,no,unknown,26,may,26/05/2025,5,Monday,896,3,-1,0,unknown,yes
148,26,services,single,secondary,no,901,yes,no,unknown,26,may,26/05/2025,5,Monday,764,2,-1,0,unknown,yes
149,59,retired,single,secondary,no,351,yes,no,unknown,27,may,27/05/2025,5,Tuesday,1063,5,-1,0,unknown,yes
150,30,entrepreneur,single,primary,no,0,yes,yes,unknown,27,may,27/05/2025,5,Tuesday,1051,1,-1,0,unknown,yes
151,37,admin.,married,secondary,no,274,yes,no,unknown,27,may,27/05/2025,5,Tuesday,731,3,-1,0,unknown,yes
152,30,admin.,single,secondary,no,-213,yes,yes,unknown,27,may,27/05/2025,5,Tuesday,751,1,-1,0,unknown,yes
153,25,blue-collar,married,secondary,no,97,yes,no,unknown,27,may,27/05/2025,5,Tuesday,709,1,-1,0,unknown,yes
154,44,services,divorced,secondary,no,51,yes,yes,unknown,27,may,27/05/2025,5,Tuesday,3094,2,-1,0,unknown,yes
155,29,management,married,tertiary,no,314,no,no,unknown,28,may,28/05/2025,5,Wednesday,938,2,-1,0,unknown,yes
156,26,management,single,tertiary,no,6840,yes,no,unknown,28,may,28/05/2025,5,Wednesday,1560,2,-1,0,unknown,yes
157,26,technician,single,secondary,no,668,yes,no,unknown,28,may,28/05/2025,5,Wednesday,576,3,-1,0,unknown,yes
158,27,services,single,secondary,no,54,yes,no,unknown,28,may,28/05/2025,5,Wednesday,543,2,-1,0,unknown,yes
159,25,self-employed,single,secondary,no,1242,yes,no,unknown,28,may,28/05/2025,5,Wednesday,615,2,-1,0,unknown,yes
160,28,management,married,secondary,no,292,yes,no,unknown,28,may,28/05/2025,5,Wednesday,507,1,-1,0,unknown,yes
161,23,services,single,secondary,no,665,yes,no,unknown,28,may,28/05/2025,5,Wednesday,1183,1,-1,0,unknown,yes
162,34,management,single,tertiary,no,1058,yes,no,unknown,28,may,28/05/2025,5,Wednesday,864,2,-1,0,unknown,yes
163,28,student,single,secondary,no,949,yes,no,unknown,28,may,28/05/2025,5,Wednesday,1730,1,-1,0,unknown,yes
164,51,entrepreneur,married,unknown,no,606,yes,no,unknown,28,may,28/05/2025,5,Wednesday,560,9,-1,0,unknown,yes
165,35,blue-collar,married,secondary,no,0,yes,yes,unknown,29,may,29/05/2025,5,Thursday,543,1,-1,0,unknown,yes
166,35,admin.,married,secondary,no,404,yes,no,unknown,29,may,29/05/2025,5,Thursday,539,1,-1,0,unknown,yes
167,56,blue-collar,married,secondary,no,249,yes,no,unknown,29,may,29/05/2025,5,Thursday,791,2,-1,0,unknown,yes
168,45,unemployed,divorced,secondary,no,3354,yes,no,unknown,29,may,29/05/2025,5,Thursday,746,1,-1,0,unknown,yes
169,60,blue-collar,divorced,secondary,no,0,yes,no,unknown,29,may,29/05/2025,5,Thursday,1207,1,-1,0,unknown,yes
170,56,technician,married,secondary,no,589,yes,no,unknown,29,may,29/05/2025,5,Thursday,535,2,-1,0,unknown,yes
171,27,management,single,tertiary,no,12956,yes,no,unknown,29,may,29/05/2025,5,Thursday,789,3,-1,0,unknown,yes
172,30,admin.,married,secondary,no,873,yes,no,unknown,29,may,29/05/2025,5,Thursday,792,3,-1,0,unknown,yes
173,45,blue-collar,divorced,primary,no,594,yes,no,unknown,29,may,29/05/2025,5,Thursday,833,2,-1,0,unknown,yes
174,29,blue-collar,single,secondary,no,-20,yes,no,unknown,29,may,29/05/2025,5,Thursday,814,2,-1,0,unknown,yes
175,38,management,divorced,tertiary,no,4692,yes,no,unknown,29,may,29/05/2025,5,Thursday,1363,2,-1,0,unknown,yes
176,30,blue-collar,married,secondary,no,486,yes,no,unknown,29,may,29/05/2025,5,Thursday,1109,3,-1,0,unknown,yes
177,44,blue-collar,single,primary,no,1593,yes,no,unknown,29,may,29/05/2025,5,Thursday,828,3,-1,0,unknown,yes
178,36,management,single,tertiary,no,7606,yes,no,unknown,30,may,30/05/2025,5,Friday,917,1,-1,0,unknown,yes
179,38,technician,married,secondary,no,226,yes,no,unknown,30,may,30/05/2025,5,Friday,762,3,-1,0,unknown,yes
180,36,blue-collar,single,secondary,no,366,yes,yes,unknown,30,may,30/05/2025,5,Friday,1133,2,-1,0,unknown,yes
181,37,management,divorced,secondary,no,16,yes,no,unknown,30,may,30/05/2025,5,Friday,638,1,-1,0,unknown,yes
182,35,management,single,tertiary,no,565,yes,no,unknown,30,may,30/05/2025,5,Friday,763,1,-1,0,unknown,yes
183,38,admin.,divorced,secondary,no,19,yes,no,unknown,30,may,30/05/2025,5,Friday,604,2,-1,0,unknown,yes
184,40,services,married,primary,no,1082,yes,no,unknown,30,may,30/05/2025,5,Friday,854,2,-1,0,unknown,yes
185,42,unemployed,divorced,secondary,no,1713,yes,no,unknown,30,may,30/05/2025,5,Friday,855,2,-1,0,unknown,yes
186,46,management,divorced,tertiary,no,14481,yes,no,unknown,30,may,30/05/2025,5,Friday,1269,1,-1,0,unknown,yes
187,35,technician,divorced,secondary,no,5724,yes,no,unknown,30,may,30/05/2025,5,Friday,691,10,-1,0,unknown,yes
188,34,technician,divorced,secondary,no,1451,yes,no,unknown,30,may,30/05/2025,5,Friday,1097,15,-1,0,unknown,yes
189,32,services,married,secondary,no,-34,yes,no,unknown,30,may,30/05/2025,5,Friday,1236,2,-1,0,unknown,yes
190,50,unemployed,married,secondary,no,3674,yes,no,unknown,30,may,30/05/2025,5,Friday,886,3,-1,0,unknown,yes
191,35,blue-collar,married,secondary,no,698,yes,yes,unknown,30,may,30/05/2025,5,Friday,1343,3,-1,0,unknown,yes
192,36,technician,single,secondary,no,4136,yes,no,unknown,30,may,30/05/2025,5,Friday,812,3,-1,0,unknown,yes
193,53,blue-collar,divorced,primary,no,2656,yes,no,unknown,30,may,30/05/2025,5,Friday,1980,2,-1,0,unknown,yes
194,46,management,single,tertiary,no,2904,yes,no,unknown,30,may,30/05/2025,5,Friday,984,2,-1,0,unknown,yes
195,26,management,single,tertiary,no,1004,yes,no,unknown,30,may,30/05/2025,5,Friday,228,2,-1,0,unknown,yes
196,45,technician,single,secondary,no,410,yes,no,unknown,30,may,30/05/2025,5,Friday,891,4,-1,0,unknown,yes
197,31,unemployed,divorced,primary,no,0,yes,no,unknown,30,may,30/05/2025,5,Friday,745,12,-1,0,unknown,yes
198,29,management,single,tertiary,no,0,yes,no,unknown,30,may,30/05/2025,5,Friday,539,12,-1,0,unknown,yes
199,53,entrepreneur,single,secondary,no,62,yes,no,unknown,30,may,30/05/2025,5,Friday,1044,5,-1,0,unknown,yes
200,27,blue-collar,married,primary,no,416,yes,no,unknown,30,may,30/05/2025,5,Friday,1193,2,-1,0,unknown,yes
201,39,management,married,tertiary,no,2763,yes,no,unknown,2,jun,02/06/2025,6,Monday,526,2,-1,0,unknown,yes
202,36,services,married,secondary,no,2984,yes,no,unknown,2,jun,02/06/2025,6,Monday,394,1,-1,0,unknown,yes
203,41,blue-collar,married,primary,no,143,yes,yes,unknown,2,jun,02/06/2025,6,Monday,659,2,-1,0,unknown,yes
204,36,services,married,primary,no,0,yes,no,unknown,2,jun,02/06/2025,6,Monday,1036,1,-1,0,unknown,yes
205,32,technician,married,secondary,no,696,yes,no,unknown,2,jun,02/06/2025,6,Monday,815,1,-1,0,unknown,yes
206,35,services,married,secondary,no,152,yes,no,unknown,2,jun,02/06/2025,6,Monday,563,1,-1,0,unknown,yes
207,36,management,single,tertiary,no,-78,yes,no,unknown,2,jun,02/06/2025,6,Monday,1068,1,-1,0,unknown,yes
208,35,management,married,tertiary,no,867,yes,no,unknown,2,jun,02/06/2025,6,Monday,230,3,-1,0,unknown,yes
209,30,blue-collar,single,secondary,no,953,yes,no,unknown,2,jun,02/06/2025,6,Monday,747,2,-1,0,unknown,yes
210,42,blue-collar,married,secondary,no,443,yes,no,unknown,2,jun,02/06/2025,6,Monday,671,5,-1,0,unknown,yes
211,42,technician,single,secondary,yes,-1129,yes,no,unknown,2,jun,02/06/2025,6,Monday,555,5,-1,0,unknown,yes
212,32,blue-collar,married,primary,no,415,yes,no,unknown,2,jun,02/06/2025,6,Monday,777,4,-1,0,unknown,yes
213,29,blue-collar,single,secondary,no,260,yes,no,unknown,2,jun,02/06/2025,6,Monday,707,14,-1,0,unknown,yes
214,44,management,divorced,tertiary,yes,-411,yes,no,unknown,2,jun,02/06/2025,6,Monday,432,4,-1,0,unknown,yes
215,32,technician,single,secondary,no,1279,yes,no,unknown,3,jun,03/06/2025,6,Tuesday,1173,3,-1,0,unknown,yes
216,31,unemployed,married,secondary,no,86,yes,yes,unknown,3,jun,03/06/2025,6,Tuesday,963,2,-1,0,unknown,yes
217,40,self-employed,married,secondary,yes,-754,yes,yes,unknown,3,jun,03/06/2025,6,Tuesday,941,3,-1,0,unknown,yes
218,43,entrepreneur,married,secondary,no,0,no,no,unknown,3,jun,03/06/2025,6,Tuesday,1025,7,-1,0,unknown,yes
219,27,management,single,secondary,no,178,yes,no,unknown,3,jun,03/06/2025,6,Tuesday,732,2,-1,0,unknown,yes
220,37,services,single,secondary,no,278,yes,no,unknown,3,jun,03/06/2025,6,Tuesday,1045,3,-1,0,unknown,yes
221,23,services,single,secondary,no,425,yes,no,unknown,3,jun,03/06/2025,6,Tuesday,768,1,-1,0,unknown,yes
222,25,management,married,primary,no,168,yes,no,unknown,3,jun,03/06/2025,6,Tuesday,801,1,-1,0,unknown,yes
