anio,motivo,nada,poco,bastante,mucho,total%,total_cias,formacion
2021,"La estrategia preferida de la empresa fue contratar personal con la cualificación, habilidades o competencias requeridas",19.9,23.0,40.5,16.6,100.0,77847,FALSE
2021,Dificultad para evaluar la necesidades de formación de la empresa,27.2,49.7,19.2,3.9,100.0,77847,FALSE
2021,La falta de cursos de formación adecuados en el mercado,28.6,43.4,22.3,5.7,100.0,77847,FALSE
2021,El alto coste de los cursos de formación,27.3,40.6,22.8,9.3,100.0,77847,FALSE
2021,La empresa prefirió tener personal con contrato de formación y aprendizaje o formación por convenio de formación profesional dual,60.6,27.8,9.0,2.6,100.0,77847,FALSE
2021,El mayor esfuerzo realizado en años anteriores para ofrecer formación a sus trabajadores,36.5,39.8,20.2,3.5,100.0,77847,FALSE
2021,La elevada carga de trabajo y el escaso tiempo disponible de los empleados de su empresa,24.1,31.7,33.2,11.0,100.0,77847,FALSE
2021,Dificultad para acceder a ayudas o subvenciones públicas,28.3,38.7,24.4,8.6,100.0,77847,FALSE
2021,Cancelación o aplazamiento de las actividades de formación debido a las restricciones por COVID,37.1,35.2,19.1,8.6,100.0,77847,FALSE
2021,Otras razones,52.7,32.8,11.0,3.5,100.0,77847,FALSE
2022,El nivel de formación de los empleados era el apropiado para las necesidades de la empresa,7.8,14.9,52.4,24.9,100.0,72803,FALSE
2022,"La estrategia preferida de la empresa fue contratar personal con la cualificación, habilidades o competencias requeridas",19.2,16.5,43.8,20.6,100.0,72803,FALSE
2022,Dificultad para evaluar la necesidades de formación de la empresa,28.5,47.3,19.5,4.7,100.0,72803,FALSE
2022,La falta de cursos de formación adecuados en el mercado,28.2,42.4,19.7,9.7,100.0,72803,FALSE
2022,El alto coste de los cursos de formación,26.3,38.0,24.9,10.8,100.0,72803,FALSE
2022,La empresa prefirió tener personal con contrato de formación y aprendizaje o formación por convenio de formación profesional dual,68.7,20.7,7.3,3.3,100.0,72803,FALSE
2022,El mayor esfuerzo realizado en años anteriores para ofrecer formación a sus trabajadores,32.7,38.2,22.8,6.3,100.0,72803,FALSE
2022,La elevada carga de trabajo y el escaso tiempo disponible de los empleados de su empresa,20.3,31.1,31.8,16.9,100.0,72803,FALSE
2022,Dificultad para acceder a ayudas o subvenciones públicas,28.0,34.6,26.6,10.7,100.0,72803,FALSE
2022,Cancelación o aplazamiento de las actividades de formación debido a las restricciones por COVID,48.1,39.1,7.4,5.5,100.0,72803,FALSE
2022,Otras razones,55.7,30.2,7.5,6.6,100.0,72803,FALSE
2023,El nivel de formación de los empleados era el apropiado para las necesidades de la empresa,7.8,14.9,52.4,24.9,100.0,73213,FALSE
2023,"La estrategia preferida de la empresa fue contratar personal con la cualificación, habilidades o competencias requeridas",19.2,16.5,43.8,20.6,100.0,73213,FALSE
2023,Dificultad para evaluar la necesidades de formación de la empresa,28.5,47.3,19.5,4.7,100.0,73213,FALSE
2023,La falta de cursos de formación adecuados en el mercado,28.2,42.4,19.7,9.7,100.0,73213,FALSE
2023,El alto coste de los cursos de formación,26.3,38.0,24.9,10.8,100.0,73213,FALSE
2023,La empresa prefirió tener personal con contrato de formación y aprendizaje o formación por convenio de formación profesional dual,68.7,20.7,7.3,3.3,100.0,73213,FALSE
2023,El mayor esfuerzo realizado en años anteriores para ofrecer formación a sus trabajadores,32.7,38.2,22.8,6.3,100.0,73213,FALSE
2023,La elevada carga de trabajo y el escaso tiempo disponible de los empleados de su empresa,20.3,31.1,31.8,16.9,100.0,73213,FALSE
2023,Dificultad para acceder a ayudas o subvenciones públicas,28.0,34.6,26.6,10.7,100.0,73213,FALSE
2023,Cancelación o aplazamiento de las actividades de formación debido a las restricciones por COVID,48.1,39.1,7.4,5.5,100.0,73213,FALSE
2023,Otras razones,55.7,30.2,7.5,6.6,100.0,73213,FALSE
