anio,tabla,pregunta,competencia,tamano_empresa,porcentaje,sector,comunidad_autonoma
2020,EAL-20,"EMPRESAS QUE PROPORCIONARON FORMACIÓN A SUS TRABAJADORES, SEGÚN TAMAÑO DE LA EMPRESA, POR COMPETENCIAS EN LAS QUE SE HAN FORMADO (1)",De comunicación oral o escrita,TOTAL,1.3909269920106355,,
2020,EAL-20,"EMPRESAS QUE PROPORCIONARON FORMACIÓN A SUS TRABAJADORES, SEGÚN TAMAÑO DE LA EMPRESA, POR COMPETENCIAS EN LAS QUE SE HAN FORMADO (1)",Otras,TOTAL,16.35185812293838,,
2020,EAL-20,"EMPRESAS QUE PROPORCIONARON FORMACIÓN A SUS TRABAJADORES, SEGÚN TAMAÑO DE LA EMPRESA, POR COMPETENCIAS EN LAS QUE SE HAN FORMADO (1)",De dirección,MÁS DE 499 TRABAJADORES,31.741935483870968,,
2020,EAL-20,"EMPRESAS QUE PROPORCIONARON FORMACIÓN A SUS TRABAJADORES, SEGÚN TAMAÑO DE LA EMPRESA, POR COMPETENCIAS EN LAS QUE SE HAN FORMADO (1)",De trabajo en equipo,MÁS DE 499 TRABAJADORES,27.612903225806452,,
2020,EAL-20,"EMPRESAS QUE PROPORCIONARON FORMACIÓN A SUS TRABAJADORES, SEGÚN TAMAÑO DE LA EMPRESA, POR COMPETENCIAS EN LAS QUE SE HAN FORMADO (1)",De atención al público/ trato a clientes,MÁS DE 499 TRABAJADORES,24.903225806451612,,
2020,EAL-20,"EMPRESAS QUE PROPORCIONARON FORMACIÓN A SUS TRABAJADORES, SEGÚN TAMAÑO DE LA EMPRESA, POR COMPETENCIAS EN LAS QUE SE HAN FORMADO (1)",Administrativas de oficina,MÁS DE 499 TRABAJADORES,7.032258064516129,,
2020,EAL-20,"EMPRESAS QUE PROPORCIONARON FORMACIÓN A SUS TRABAJADORES, SEGÚN TAMAÑO DE LA EMPRESA, POR COMPETENCIAS EN LAS QUE SE HAN FORMADO (1)",Técnicas específicas del puesto de trabajo,MÁS DE 499 TRABAJADORES,59.225806451612904,,
2020,EAL-20,"EMPRESAS QUE PROPORCIONARON FORMACIÓN A SUS TRABAJADORES, SEGÚN TAMAÑO DE LA EMPRESA, POR COMPETENCIAS EN LAS QUE SE HAN FORMADO (1)","De resolución de problemas (localización de problemas o fallos, análisis de sus causas y búsqueda de soluciones)",MÁS DE 499 TRABAJADORES,13.67741935483871,,
2020,EAL-20,"EMPRESAS QUE PROPORCIONARON FORMACIÓN A SUS TRABAJADORES, SEGÚN TAMAÑO DE LA EMPRESA, POR COMPETENCIAS EN LAS QUE SE HAN FORMADO (1)",En lenguas extranjeras,MÁS DE 499 TRABAJADORES,26.322580645161292,,
2020,EAL-20,"EMPRESAS QUE PROPORCIONARON FORMACIÓN A SUS TRABAJADORES, SEGÚN TAMAÑO DE LA EMPRESA, POR COMPETENCIAS EN LAS QUE SE HAN FORMADO (1)",Generales de tecnologías de la información,MÁS DE 499 TRABAJADORES,25.548387096774192,,
2020,EAL-20,"EMPRESAS QUE PROPORCIONARON FORMACIÓN A SUS TRABAJADORES, SEGÚN TAMAÑO DE LA EMPRESA, POR COMPETENCIAS EN LAS QUE SE HAN FORMADO (1)",Profesionales de tecnologías de la información,MÁS DE 499 TRABAJADORES,11.806451612903226,,
2020,EAL-20,"EMPRESAS QUE PROPORCIONARON FORMACIÓN A SUS TRABAJADORES, SEGÚN TAMAÑO DE LA EMPRESA, POR COMPETENCIAS EN LAS QUE SE HAN FORMADO (1)",De cálculo o lingüísticas,MÁS DE 499 TRABAJADORES,1.3548387096774193,,
2020,EAL-20,"EMPRESAS QUE PROPORCIONARON FORMACIÓN A SUS TRABAJADORES, SEGÚN TAMAÑO DE LA EMPRESA, POR COMPETENCIAS EN LAS QUE SE HAN FORMADO (1)",De comunicación oral o escrita,MÁS DE 499 TRABAJADORES,4.064516129032258,,
2020,EAL-20,"EMPRESAS QUE PROPORCIONARON FORMACIÓN A SUS TRABAJADORES, SEGÚN TAMAÑO DE LA EMPRESA, POR COMPETENCIAS EN LAS QUE SE HAN FORMADO (1)",Otras,MÁS DE 499 TRABAJADORES,13.548387096774194,,
2021,EAL-20,"EMPRESAS QUE PROPORCIONARON FORMACIÓN A SUS TRABAJADORES, SEGÚN TAMAÑO DE LA EMPRESA, POR COMPETENCIAS EN LAS QUE SE HAN FORMADO (1)",De dirección,TOTAL,18.460771046731004,,
2021,EAL-20,"EMPRESAS QUE PROPORCIONARON FORMACIÓN A SUS TRABAJADORES, SEGÚN TAMAÑO DE LA EMPRESA, POR COMPETENCIAS EN LAS QUE SE HAN FORMADO (1)",De trabajo en equipo,TOTAL,25.83836268631654,,
2021,EAL-20,"EMPRESAS QUE PROPORCIONARON FORMACIÓN A SUS TRABAJADORES, SEGÚN TAMAÑO DE LA EMPRESA, POR COMPETENCIAS EN LAS QUE SE HAN FORMADO (1)",De atención al público/ trato a clientes,TOTAL,20.20861525696619,,
2021,EAL-20,"EMPRESAS QUE PROPORCIONARON FORMACIÓN A SUS TRABAJADORES, SEGÚN TAMAÑO DE LA EMPRESA, POR COMPETENCIAS EN LAS QUE SE HAN FORMADO (1)",Administrativas de oficina,TOTAL,18.01775995416786,,
2021,EAL-20,"EMPRESAS QUE PROPORCIONARON FORMACIÓN A SUS TRABAJADORES, SEGÚN TAMAÑO DE LA EMPRESA, POR COMPETENCIAS EN LAS QUE SE HAN FORMADO (1)",Técnicas específicas del puesto de trabajo,TOTAL,46.67716986536809,,
2021,EAL-20,"EMPRESAS QUE PROPORCIONARON FORMACIÓN A SUS TRABAJADORES, SEGÚN TAMAÑO DE LA EMPRESA, POR COMPETENCIAS EN LAS QUE SE HAN FORMADO (1)","De resolución de problemas (localización de problemas o fallos, análisis de sus causas y búsqueda de soluciones)",TOTAL,11.202204683965665,,
2021,EAL-20,"EMPRESAS QUE PROPORCIONARON FORMACIÓN A SUS TRABAJADORES, SEGÚN TAMAÑO DE LA EMPRESA, POR COMPETENCIAS EN LAS QUE SE HAN FORMADO (1)",En lenguas extranjeras,TOTAL,7.862088720749909,,
2021,EAL-20,"EMPRESAS QUE PROPORCIONARON FORMACIÓN A SUS TRABAJADORES, SEGÚN TAMAÑO DE LA EMPRESA, POR COMPETENCIAS EN LAS QUE SE HAN FORMADO (1)",Generales de tecnologías de la información,TOTAL,13.936822765930126,,
2021,EAL-20,"EMPRESAS QUE PROPORCIONARON FORMACIÓN A SUS TRABAJADORES, SEGÚN TAMAÑO DE LA EMPRESA, POR COMPETENCIAS EN LAS QUE SE HAN FORMADO (1)",Profesionales de tecnologías de la información,TOTAL,5.719139857169668,,
2021,EAL-20,"EMPRESAS QUE PROPORCIONARON FORMACIÓN A SUS TRABAJADORES, SEGÚN TAMAÑO DE LA EMPRESA, POR COMPETENCIAS EN LAS QUE SE HAN FORMADO (1)",Básicas de cálculo y/o comunicación oral o escrita,TOTAL,1.9730538626418672,,
2021,EAL-20,"EMPRESAS QUE PROPORCIONARON FORMACIÓN A SUS TRABAJADORES, SEGÚN TAMAÑO DE LA EMPRESA, POR COMPETENCIAS EN LAS QUE SE HAN FORMADO (1)",Otras,TOTAL,13.93139007694663,,
2021,EAL-20,"EMPRESAS QUE PROPORCIONARON FORMACIÓN A SUS TRABAJADORES, SEGÚN TAMAÑO DE LA EMPRESA, POR COMPETENCIAS EN LAS QUE SE HAN FORMADO (1)",De dirección,MÁS DE 499 TRABAJADORES,29.30019620667103,,
2021,EAL-20,"EMPRESAS QUE PROPORCIONARON FORMACIÓN A SUS TRABAJADORES, SEGÚN TAMAÑO DE LA EMPRESA, POR COMPETENCIAS EN LAS QUE SE HAN FORMADO (1)",De trabajo en equipo,MÁS DE 499 TRABAJADORES,31.45846958796599,,
2021,EAL-20,"EMPRESAS QUE PROPORCIONARON FORMACIÓN A SUS TRABAJADORES, SEGÚN TAMAÑO DE LA EMPRESA, POR COMPETENCIAS EN LAS QUE SE HAN FORMADO (1)",De atención al público/ trato a clientes,MÁS DE 499 TRABAJADORES,27.07652060170046,,
2021,EAL-20,"EMPRESAS QUE PROPORCIONARON FORMACIÓN A SUS TRABAJADORES, SEGÚN TAMAÑO DE LA EMPRESA, POR COMPETENCIAS EN LAS QUE SE HAN FORMADO (1)",Administrativas de oficina,MÁS DE 499 TRABAJADORES,11.8378024852845,,
2021,EAL-20,"EMPRESAS QUE PROPORCIONARON FORMACIÓN A SUS TRABAJADORES, SEGÚN TAMAÑO DE LA EMPRESA, POR COMPETENCIAS EN LAS QUE SE HAN FORMADO (1)",Técnicas específicas del puesto de trabajo,MÁS DE 499 TRABAJADORES,53.56442119032047,,
2021,EAL-20,"EMPRESAS QUE PROPORCIONARON FORMACIÓN A SUS TRABAJADORES, SEGÚN TAMAÑO DE LA EMPRESA, POR COMPETENCIAS EN LAS QUE SE HAN FORMADO (1)","De resolución de problemas (localización de problemas o fallos, análisis de sus causas y búsqueda de soluciones)",MÁS DE 499 TRABAJADORES,14.192282537606278,,
2021,EAL-20,"EMPRESAS QUE PROPORCIONARON FORMACIÓN A SUS TRABAJADORES, SEGÚN TAMAÑO DE LA EMPRESA, POR COMPETENCIAS EN LAS QUE SE HAN FORMADO (1)",En lenguas extranjeras,MÁS DE 499 TRABAJADORES,26.880313930673644,,
2021,EAL-20,"EMPRESAS QUE PROPORCIONARON FORMACIÓN A SUS TRABAJADORES, SEGÚN TAMAÑO DE LA EMPRESA, POR COMPETENCIAS EN LAS QUE SE HAN FORMADO (1)",Generales de tecnologías de la información,MÁS DE 499 TRABAJADORES,26.095487246566385,,
2021,EAL-20,"EMPRESAS QUE PROPORCIONARON FORMACIÓN A SUS TRABAJADORES, SEGÚN TAMAÑO DE LA EMPRESA, POR COMPETENCIAS EN LAS QUE SE HAN FORMADO (1)",Profesionales de tecnologías de la información,MÁS DE 499 TRABAJADORES,13.472858077174624,,
2021,EAL-20,"EMPRESAS QUE PROPORCIONARON FORMACIÓN A SUS TRABAJADORES, SEGÚN TAMAÑO DE LA EMPRESA, POR COMPETENCIAS EN LAS QUE SE HAN FORMADO (1)",Básicas de cálculo y/o comunicación oral o escrita,MÁS DE 499 TRABAJADORES,3.2047089601046435,,
2021,EAL-20,"EMPRESAS QUE PROPORCIONARON FORMACIÓN A SUS TRABAJADORES, SEGÚN TAMAÑO DE LA EMPRESA, POR COMPETENCIAS EN LAS QUE SE HAN FORMADO (1)",Otras,MÁS DE 499 TRABAJADORES,13.865271419228254,,
2022,EAL-20,"EMPRESAS QUE PROPORCIONARON FORMACIÓN A SUS TRABAJADORES, SEGÚN TAMAÑO DE LA EMPRESA, POR COMPETENCIAS EN LAS QUE SE HAN FORMADO (1)",De dirección,TOTAL,13.52802007207086,,
2022,EAL-20,"EMPRESAS QUE PROPORCIONARON FORMACIÓN A SUS TRABAJADORES, SEGÚN TAMAÑO DE LA EMPRESA, POR COMPETENCIAS EN LAS QUE SE HAN FORMADO (1)",De trabajo en equipo,TOTAL,24.28139628868757,,
2022,EAL-20,"EMPRESAS QUE PROPORCIONARON FORMACIÓN A SUS TRABAJADORES, SEGÚN TAMAÑO DE LA EMPRESA, POR COMPETENCIAS EN LAS QUE SE HAN FORMADO (1)",De atención al público/ trato a clientes,TOTAL,23.473545953591756,,
2022,EAL-20,"EMPRESAS QUE PROPORCIONARON FORMACIÓN A SUS TRABAJADORES, SEGÚN TAMAÑO DE LA EMPRESA, POR COMPETENCIAS EN LAS QUE SE HAN FORMADO (1)",Administrativas de oficina,TOTAL,15.630788401306706,,
2022,EAL-20,"EMPRESAS QUE PROPORCIONARON FORMACIÓN A SUS TRABAJADORES, SEGÚN TAMAÑO DE LA EMPRESA, POR COMPETENCIAS EN LAS QUE SE HAN FORMADO (1)",Técnicas específicas del puesto de trabajo,TOTAL,41.638601690634154,,
2022,EAL-20,"EMPRESAS QUE PROPORCIONARON FORMACIÓN A SUS TRABAJADORES, SEGÚN TAMAÑO DE LA EMPRESA, POR COMPETENCIAS EN LAS QUE SE HAN FORMADO (1)","De resolución de problemas (localización de problemas o fallos, análisis de sus causas y búsqueda de soluciones)",TOTAL,11.690886740982725,,
2022,EAL-20,"EMPRESAS QUE PROPORCIONARON FORMACIÓN A SUS TRABAJADORES, SEGÚN TAMAÑO DE LA EMPRESA, POR COMPETENCIAS EN LAS QUE SE HAN FORMADO (1)",En lenguas extranjeras,TOTAL,8.894352204223217,,
2022,EAL-20,"EMPRESAS QUE PROPORCIONARON FORMACIÓN A SUS TRABAJADORES, SEGÚN TAMAÑO DE LA EMPRESA, POR COMPETENCIAS EN LAS QUE SE HAN FORMADO (1)",Generales de tecnologías de la información,TOTAL,12.00409187350554,,
2022,EAL-20,"EMPRESAS QUE PROPORCIONARON FORMACIÓN A SUS TRABAJADORES, SEGÚN TAMAÑO DE LA EMPRESA, POR COMPETENCIAS EN LAS QUE SE HAN FORMADO (1)",Profesionales de tecnologías de la información,TOTAL,5.492456134442461,,
2022,EAL-20,"EMPRESAS QUE PROPORCIONARON FORMACIÓN A SUS TRABAJADORES, SEGÚN TAMAÑO DE LA EMPRESA, POR COMPETENCIAS EN LAS QUE SE HAN FORMADO (1)",Básicas de cálculo y/o comunicación oral o escrita,TOTAL,1.6013875324150473,,
2022,EAL-20,"EMPRESAS QUE PROPORCIONARON FORMACIÓN A SUS TRABAJADORES, SEGÚN TAMAÑO DE LA EMPRESA, POR COMPETENCIAS EN LAS QUE SE HAN FORMADO (1)",Otras,TOTAL,19.598053413262384,,
2022,EAL-20,"EMPRESAS QUE PROPORCIONARON FORMACIÓN A SUS TRABAJADORES, SEGÚN TAMAÑO DE LA EMPRESA, POR COMPETENCIAS EN LAS QUE SE HAN FORMADO (1)",De dirección,MÁS DE 499 TRABAJADORES,27.74338773213281,,
2022,EAL-20,"EMPRESAS QUE PROPORCIONARON FORMACIÓN A SUS TRABAJADORES, SEGÚN TAMAÑO DE LA EMPRESA, POR COMPETENCIAS EN LAS QUE SE HAN FORMADO (1)",De trabajo en equipo,MÁS DE 499 TRABAJADORES,31.570061902082163,,
2022,EAL-20,"EMPRESAS QUE PROPORCIONARON FORMACIÓN A SUS TRABAJADORES, SEGÚN TAMAÑO DE LA EMPRESA, POR COMPETENCIAS EN LAS QUE SE HAN FORMADO (1)",De atención al público/ trato a clientes,MÁS DE 499 TRABAJADORES,28.86888013505909,,
2022,EAL-20,"EMPRESAS QUE PROPORCIONARON FORMACIÓN A SUS TRABAJADORES, SEGÚN TAMAÑO DE LA EMPRESA, POR COMPETENCIAS EN LAS QUE SE HAN FORMADO (1)",Administrativas de oficina,MÁS DE 499 TRABAJADORES,11.254924029262805,,
2022,EAL-20,"EMPRESAS QUE PROPORCIONARON FORMACIÓN A SUS TRABAJADORES, SEGÚN TAMAÑO DE LA EMPRESA, POR COMPETENCIAS EN LAS QUE SE HAN FORMADO (1)",Técnicas específicas del puesto de trabajo,MÁS DE 499 TRABAJADORES,49.465391108610014,,
2022,EAL-20,"EMPRESAS QUE PROPORCIONARON FORMACIÓN A SUS TRABAJADORES, SEGÚN TAMAÑO DE LA EMPRESA, POR COMPETENCIAS EN LAS QUE SE HAN FORMADO (1)","De resolución de problemas (localización de problemas o fallos, análisis de sus causas y búsqueda de soluciones)",MÁS DE 499 TRABAJADORES,16.769836803601574,,
2022,EAL-20,"EMPRESAS QUE PROPORCIONARON FORMACIÓN A SUS TRABAJADORES, SEGÚN TAMAÑO DE LA EMPRESA, POR COMPETENCIAS EN LAS QUE SE HAN FORMADO (1)",En lenguas extranjeras,MÁS DE 499 TRABAJADORES,29.487900956668543,,
2022,EAL-20,"EMPRESAS QUE PROPORCIONARON FORMACIÓN A SUS TRABAJADORES, SEGÚN TAMAÑO DE LA EMPRESA, POR COMPETENCIAS EN LAS QUE SE HAN FORMADO (1)",Generales de tecnologías de la información,MÁS DE 499 TRABAJADORES,23.747889701744512,,
2022,EAL-20,"EMPRESAS QUE PROPORCIONARON FORMACIÓN A SUS TRABAJADORES, SEGÚN TAMAÑO DE LA EMPRESA, POR COMPETENCIAS EN LAS QUE SE HAN FORMADO (1)",Profesionales de tecnologías de la información,MÁS DE 499 TRABAJADORES,10.467079347214408,,
2022,EAL-20,"EMPRESAS QUE PROPORCIONARON FORMACIÓN A SUS TRABAJADORES, SEGÚN TAMAÑO DE LA EMPRESA, POR COMPETENCIAS EN LAS QUE SE HAN FORMADO (1)",Básicas de cálculo y/o comunicación oral o escrita,MÁS DE 499 TRABAJADORES,4.558244231851435,,
2022,EAL-20,"EMPRESAS QUE PROPORCIONARON FORMACIÓN A SUS TRABAJADORES, SEGÚN TAMAÑO DE LA EMPRESA, POR COMPETENCIAS EN LAS QUE SE HAN FORMADO (1)",Otras,MÁS DE 499 TRABAJADORES,14.575126617895329,,
2023,EAL-20,"EMPRESAS QUE PROPORCIONARON FORMACIÓN A SUS TRABAJADORES, SEGÚN TAMAÑO DE LA EMPRESA, POR COMPETENCIAS EN LAS QUE SE HAN FORMADO (1)",De dirección,TOTAL,11.720302260634622,,
2023,EAL-20,"EMPRESAS QUE PROPORCIONARON FORMACIÓN A SUS TRABAJADORES, SEGÚN TAMAÑO DE LA EMPRESA, POR COMPETENCIAS EN LAS QUE SE HAN FORMADO (1)",De trabajo en equipo,TOTAL,25.101615980470772,,
2023,EAL-20,"EMPRESAS QUE PROPORCIONARON FORMACIÓN A SUS TRABAJADORES, SEGÚN TAMAÑO DE LA EMPRESA, POR COMPETENCIAS EN LAS QUE SE HAN FORMADO (1)",De atención al público/ trato a clientes,TOTAL,21.546537946507925,,
2023,EAL-20,"EMPRESAS QUE PROPORCIONARON FORMACIÓN A SUS TRABAJADORES, SEGÚN TAMAÑO DE LA EMPRESA, POR COMPETENCIAS EN LAS QUE SE HAN FORMADO (1)",Administrativas de oficina,TOTAL,15.40415312116101,,
2023,EAL-20,"EMPRESAS QUE PROPORCIONARON FORMACIÓN A SUS TRABAJADORES, SEGÚN TAMAÑO DE LA EMPRESA, POR COMPETENCIAS EN LAS QUE SE HAN FORMADO (1)",Técnicas específicas del puesto de trabajo,TOTAL,41.047325988805454,,
2023,EAL-20,"EMPRESAS QUE PROPORCIONARON FORMACIÓN A SUS TRABAJADORES, SEGÚN TAMAÑO DE LA EMPRESA, POR COMPETENCIAS EN LAS QUE SE HAN FORMADO (1)","De resolución de problemas (localización de problemas o fallos, análisis de sus causas y búsqueda de soluciones)",TOTAL,12.247243827002002,,
2023,EAL-20,"EMPRESAS QUE PROPORCIONARON FORMACIÓN A SUS TRABAJADORES, SEGÚN TAMAÑO DE LA EMPRESA, POR COMPETENCIAS EN LAS QUE SE HAN FORMADO (1)",En lenguas extranjeras,TOTAL,8.198404954988762,,
2023,EAL-20,"EMPRESAS QUE PROPORCIONARON FORMACIÓN A SUS TRABAJADORES, SEGÚN TAMAÑO DE LA EMPRESA, POR COMPETENCIAS EN LAS QUE SE HAN FORMADO (1)",Generales de tecnologías de la información,TOTAL,12.089240358825876,,
2023,EAL-20,"EMPRESAS QUE PROPORCIONARON FORMACIÓN A SUS TRABAJADORES, SEGÚN TAMAÑO DE LA EMPRESA, POR COMPETENCIAS EN LAS QUE SE HAN FORMADO (1)",Profesionales de tecnologías de la información,TOTAL,6.125399452517983,,
2023,EAL-20,"EMPRESAS QUE PROPORCIONARON FORMACIÓN A SUS TRABAJADORES, SEGÚN TAMAÑO DE LA EMPRESA, POR COMPETENCIAS EN LAS QUE SE HAN FORMADO (1)",Básicas de cálculo y/o comunicación oral o escrita,TOTAL,1.914212016953772,,
2023,EAL-20,"EMPRESAS QUE PROPORCIONARON FORMACIÓN A SUS TRABAJADORES, SEGÚN TAMAÑO DE LA EMPRESA, POR COMPETENCIAS EN LAS QUE SE HAN FORMADO (1)",Otras,TOTAL,18.897609802535165,,
2023,EAL-20,"EMPRESAS QUE PROPORCIONARON FORMACIÓN A SUS TRABAJADORES, SEGÚN TAMAÑO DE LA EMPRESA, POR COMPETENCIAS EN LAS QUE SE HAN FORMADO (1)",De dirección,MÁS DE 499 TRABAJADORES,25.89376915219612,,
2023,EAL-20,"EMPRESAS QUE PROPORCIONARON FORMACIÓN A SUS TRABAJADORES, SEGÚN TAMAÑO DE LA EMPRESA, POR COMPETENCIAS EN LAS QUE SE HAN FORMADO (1)",De trabajo en equipo,MÁS DE 499 TRABAJADORES,31.205311542390195,,
2023,EAL-20,"EMPRESAS QUE PROPORCIONARON FORMACIÓN A SUS TRABAJADORES, SEGÚN TAMAÑO DE LA EMPRESA, POR COMPETENCIAS EN LAS QUE SE HAN FORMADO (1)",De atención al público/ trato a clientes,MÁS DE 499 TRABAJADORES,26.251276813074565,,
2023,EAL-20,"EMPRESAS QUE PROPORCIONARON FORMACIÓN A SUS TRABAJADORES, SEGÚN TAMAÑO DE LA EMPRESA, POR COMPETENCIAS EN LAS QUE SE HAN FORMADO (1)",Administrativas de oficina,MÁS DE 499 TRABAJADORES,11.8488253319714,,
2023,EAL-20,"EMPRESAS QUE PROPORCIONARON FORMACIÓN A SUS TRABAJADORES, SEGÚN TAMAÑO DE LA EMPRESA, POR COMPETENCIAS EN LAS QUE SE HAN FORMADO (1)",Técnicas específicas del puesto de trabajo,MÁS DE 499 TRABAJADORES,50.40858018386108,,
2023,EAL-20,"EMPRESAS QUE PROPORCIONARON FORMACIÓN A SUS TRABAJADORES, SEGÚN TAMAÑO DE LA EMPRESA, POR COMPETENCIAS EN LAS QUE SE HAN FORMADO (1)","De resolución de problemas (localización de problemas o fallos, análisis de sus causas y búsqueda de soluciones)",MÁS DE 499 TRABAJADORES,16.24106230847804,,
2023,EAL-20,"EMPRESAS QUE PROPORCIONARON FORMACIÓN A SUS TRABAJADORES, SEGÚN TAMAÑO DE LA EMPRESA, POR COMPETENCIAS EN LAS QUE SE HAN FORMADO (1)",En lenguas extranjeras,MÁS DE 499 TRABAJADORES,29.16241062308478,,
2023,EAL-20,"EMPRESAS QUE PROPORCIONARON FORMACIÓN A SUS TRABAJADORES, SEGÚN TAMAÑO DE LA EMPRESA, POR COMPETENCIAS EN LAS QUE SE HAN FORMADO (1)",Generales de tecnologías de la información,MÁS DE 499 TRABAJADORES,23.23799795709908,,
2023,EAL-20,"EMPRESAS QUE PROPORCIONARON FORMACIÓN A SUS TRABAJADORES, SEGÚN TAMAÑO DE LA EMPRESA, POR COMPETENCIAS EN LAS QUE SE HAN FORMADO (1)",Profesionales de tecnologías de la información,MÁS DE 499 TRABAJADORES,9.85699693564862,,
2023,EAL-20,"EMPRESAS QUE PROPORCIONARON FORMACIÓN A SUS TRABAJADORES, SEGÚN TAMAÑO DE LA EMPRESA, POR COMPETENCIAS EN LAS QUE SE HAN FORMADO (1)",Básicas de cálculo y/o comunicación oral o escrita,MÁS DE 499 TRABAJADORES,3.9836567926455566,,
2023,EAL-20,"EMPRESAS QUE PROPORCIONARON FORMACIÓN A SUS TRABAJADORES, SEGÚN TAMAÑO DE LA EMPRESA, POR COMPETENCIAS EN LAS QUE SE HAN FORMADO (1)",Otras,MÁS DE 499 TRABAJADORES,11.644535240040858,,
2024,EAL-20,EMPRESAS QUE PROPORCIONARON FORMACIÓN A SUS TRABAJADORES SEGÚN TAMAÑO DE LA EMPRESA POR COMPETENCIAS EN LAS QUE SE HAN FORMADO (1),De dirección,TOTAL,16.34734049117611,,
2024,EAL-20,EMPRESAS QUE PROPORCIONARON FORMACIÓN A SUS TRABAJADORES SEGÚN TAMAÑO DE LA EMPRESA POR COMPETENCIAS EN LAS QUE SE HAN FORMADO (1),De trabajo en equipo,TOTAL,28.49484758731334,,
2024,EAL-20,EMPRESAS QUE PROPORCIONARON FORMACIÓN A SUS TRABAJADORES SEGÚN TAMAÑO DE LA EMPRESA POR COMPETENCIAS EN LAS QUE SE HAN FORMADO (1),De atención al público/ trato a clientes,TOTAL,24.5302665679378,,
2024,EAL-20,EMPRESAS QUE PROPORCIONARON FORMACIÓN A SUS TRABAJADORES SEGÚN TAMAÑO DE LA EMPRESA POR COMPETENCIAS EN LAS QUE SE HAN FORMADO (1),Administrativas de oficina,TOTAL,17.027644082438602,,
2024,EAL-20,EMPRESAS QUE PROPORCIONARON FORMACIÓN A SUS TRABAJADORES SEGÚN TAMAÑO DE LA EMPRESA POR COMPETENCIAS EN LAS QUE SE HAN FORMADO (1),Técnicas específicas del puesto de trabajo,TOTAL,50.83880970011107,,
2024,EAL-20,EMPRESAS QUE PROPORCIONARON FORMACIÓN A SUS TRABAJADORES SEGÚN TAMAÑO DE LA EMPRESA POR COMPETENCIAS EN LAS QUE SE HAN FORMADO (1),"De resolución de problemas (localización de problemas o fallos, análisis de sus causas y búsqueda de soluciones)",TOTAL,11.20996853017401,,
2024,EAL-20,EMPRESAS QUE PROPORCIONARON FORMACIÓN A SUS TRABAJADORES SEGÚN TAMAÑO DE LA EMPRESA POR COMPETENCIAS EN LAS QUE SE HAN FORMADO (1),En lenguas extranjeras,TOTAL,7.478711588300629,,
