anio,tabla,pregunta,ambito,TOTAL,NADA,POCO,BASTANTE,Unnamed: 5,MUCHO
2021,EAL-16,"EMPRESAS, SEGÚN GRADO DE IMPORTANCIA  PARA EL DESARROLLO DE LA EMPRESA EN LOS PRÓXIMOS AÑOS DE DIVERSAS COMPETENCIAS ",De dirección,100,11.22,22.91,40.466,,25.404
2021,EAL-16,"EMPRESAS, SEGÚN GRADO DE IMPORTANCIA  PARA EL DESARROLLO DE LA EMPRESA EN LOS PRÓXIMOS AÑOS DE DIVERSAS COMPETENCIAS ",De trabajo en equipo,100,3.24,10.339,48.565,,37.856
2021,EAL-16,"EMPRESAS, SEGÚN GRADO DE IMPORTANCIA  PARA EL DESARROLLO DE LA EMPRESA EN LOS PRÓXIMOS AÑOS DE DIVERSAS COMPETENCIAS ",De atención al público/ trato a clientes,100,5.755,18.505,39.209,,36.532
2021,EAL-16,"EMPRESAS, SEGÚN GRADO DE IMPORTANCIA  PARA EL DESARROLLO DE LA EMPRESA EN LOS PRÓXIMOS AÑOS DE DIVERSAS COMPETENCIAS ",Administrativas de oficina,100,10.175,26.234,41.314,,22.277
2021,EAL-16,"EMPRESAS, SEGÚN GRADO DE IMPORTANCIA  PARA EL DESARROLLO DE LA EMPRESA EN LOS PRÓXIMOS AÑOS DE DIVERSAS COMPETENCIAS ",Técnicas específicas del puesto de trabajo,100,15.604,27.366,36.756,,20.275
2021,EAL-16,"EMPRESAS, SEGÚN GRADO DE IMPORTANCIA  PARA EL DESARROLLO DE LA EMPRESA EN LOS PRÓXIMOS AÑOS DE DIVERSAS COMPETENCIAS ","De resolución de problemas (localización de problemas o fallos, análisis de sus causas y búsqueda de soluciones)",100,5.978,17.568,46.763,,29.69
2021,EAL-16,"EMPRESAS, SEGÚN GRADO DE IMPORTANCIA  PARA EL DESARROLLO DE LA EMPRESA EN LOS PRÓXIMOS AÑOS DE DIVERSAS COMPETENCIAS ",En lenguas extranjeras,100,20.125,40.933,27.781,,11.161
2021,EAL-16,"EMPRESAS, SEGÚN GRADO DE IMPORTANCIA  PARA EL DESARROLLO DE LA EMPRESA EN LOS PRÓXIMOS AÑOS DE DIVERSAS COMPETENCIAS ",Básicas de cálculo y/o comunicación oral o escrita,100,18.27,39.684,31.555,,10.491
2021,EAL-16,"EMPRESAS, SEGÚN GRADO DE IMPORTANCIA  PARA EL DESARROLLO DE LA EMPRESA EN LOS PRÓXIMOS AÑOS DE DIVERSAS COMPETENCIAS ",Generales de tecnologías de la información ,100,10.798,30.978,41.785,,16.438
2021,EAL-16,"EMPRESAS, SEGÚN GRADO DE IMPORTANCIA  PARA EL DESARROLLO DE LA EMPRESA EN LOS PRÓXIMOS AÑOS DE DIVERSAS COMPETENCIAS ",Profesionales de tecnologías de la información ,100,22.563,42.041,25.273,,10.122
2021,EAL-16c,"EMPRESAS DE MÁS DE 499 TRABAJADORES, SEGÚN GRADO DE IMPORTANCIA  PARA EL DESARROLLO DE LA EMPRESA EN LOS PRÓXIMOS AÑOS DE DIVERSAS COMPETENCIAS ",De dirección,100,1.825,10.69,45.964,,41.521
2021,EAL-16c,"EMPRESAS DE MÁS DE 499 TRABAJADORES, SEGÚN GRADO DE IMPORTANCIA  PARA EL DESARROLLO DE LA EMPRESA EN LOS PRÓXIMOS AÑOS DE DIVERSAS COMPETENCIAS ",De trabajo en equipo,100,1.564,6.078,43.431,,48.927
2021,EAL-16c,"EMPRESAS DE MÁS DE 499 TRABAJADORES, SEGÚN GRADO DE IMPORTANCIA  PARA EL DESARROLLO DE LA EMPRESA EN LOS PRÓXIMOS AÑOS DE DIVERSAS COMPETENCIAS ",De atención al público/ trato a clientes,100,3.043,16.97,39.809,,40.179
2021,EAL-16c,"EMPRESAS DE MÁS DE 499 TRABAJADORES, SEGÚN GRADO DE IMPORTANCIA  PARA EL DESARROLLO DE LA EMPRESA EN LOS PRÓXIMOS AÑOS DE DIVERSAS COMPETENCIAS ",Administrativas en oficina,100,2.134,25.666,51.158,,21.042
2021,EAL-16c,"EMPRESAS DE MÁS DE 499 TRABAJADORES, SEGÚN GRADO DE IMPORTANCIA  PARA EL DESARROLLO DE LA EMPRESA EN LOS PRÓXIMOS AÑOS DE DIVERSAS COMPETENCIAS ",Técnicas específicas del puesto de trabajo,100,7.091,21.517,41.542,,29.85
2021,EAL-16c,"EMPRESAS DE MÁS DE 499 TRABAJADORES, SEGÚN GRADO DE IMPORTANCIA  PARA EL DESARROLLO DE LA EMPRESA EN LOS PRÓXIMOS AÑOS DE DIVERSAS COMPETENCIAS ","De resolución de problemas (localización de problemas o fallos, análisis de sus causas y búsqueda de soluciones)",100,2.029,13.968,50.666,,33.337
2021,EAL-16c,"EMPRESAS DE MÁS DE 499 TRABAJADORES, SEGÚN GRADO DE IMPORTANCIA  PARA EL DESARROLLO DE LA EMPRESA EN LOS PRÓXIMOS AÑOS DE DIVERSAS COMPETENCIAS ",En lenguas extranjeras,100,8.269,32.585,37.45,,21.696
2021,EAL-16c,"EMPRESAS DE MÁS DE 499 TRABAJADORES, SEGÚN GRADO DE IMPORTANCIA  PARA EL DESARROLLO DE LA EMPRESA EN LOS PRÓXIMOS AÑOS DE DIVERSAS COMPETENCIAS ",Básicas de cálculo y/o comunicación oral o escrita,100,5.369,30.837,48.727,,15.067
2021,EAL-16c,"EMPRESAS DE MÁS DE 499 TRABAJADORES, SEGÚN GRADO DE IMPORTANCIA  PARA EL DESARROLLO DE LA EMPRESA EN LOS PRÓXIMOS AÑOS DE DIVERSAS COMPETENCIAS ",Generales de tecnologías de la información ,100,3.027,17.266,48.574,,31.133
2021,EAL-16c,"EMPRESAS DE MÁS DE 499 TRABAJADORES, SEGÚN GRADO DE IMPORTANCIA  PARA EL DESARROLLO DE LA EMPRESA EN LOS PRÓXIMOS AÑOS DE DIVERSAS COMPETENCIAS ",Profesionales de tecnologías de la información ,100,7.027,27.353,40.54,,25.079
2021,EAL-16f,"EMPRESAS DEL SECTOR SERVICIOS, SEGÚN GRADO DE IMPORTANCIA  PARA EL DESARROLLO DE LA EMPRESA EN LOS PRÓXIMOS AÑOS DE DIVERSAS COMPETENCIAS ",De dirección,100,11.649,23.523,40.161,,24.667
2021,EAL-16f,"EMPRESAS DEL SECTOR SERVICIOS, SEGÚN GRADO DE IMPORTANCIA  PARA EL DESARROLLO DE LA EMPRESA EN LOS PRÓXIMOS AÑOS DE DIVERSAS COMPETENCIAS ",De trabajo en equipo,100,3.143,10.337,47.167,,39.354
2021,EAL-16f,"EMPRESAS DEL SECTOR SERVICIOS, SEGÚN GRADO DE IMPORTANCIA  PARA EL DESARROLLO DE LA EMPRESA EN LOS PRÓXIMOS AÑOS DE DIVERSAS COMPETENCIAS ",De atención al público/ trato a clientes,100,4.383,14.912,38.505,,42.2
2021,EAL-16f,"EMPRESAS DEL SECTOR SERVICIOS, SEGÚN GRADO DE IMPORTANCIA  PARA EL DESARROLLO DE LA EMPRESA EN LOS PRÓXIMOS AÑOS DE DIVERSAS COMPETENCIAS ",Administrativas en oficina,100,10.899,27.254,39.517,,22.329
2021,EAL-16f,"EMPRESAS DEL SECTOR SERVICIOS, SEGÚN GRADO DE IMPORTANCIA  PARA EL DESARROLLO DE LA EMPRESA EN LOS PRÓXIMOS AÑOS DE DIVERSAS COMPETENCIAS ",Técnicas específicas del puesto de trabajo,100,19.004,30.992,33.899,,16.106
2021,EAL-16f,"EMPRESAS DEL SECTOR SERVICIOS, SEGÚN GRADO DE IMPORTANCIA  PARA EL DESARROLLO DE LA EMPRESA EN LOS PRÓXIMOS AÑOS DE DIVERSAS COMPETENCIAS ","De resolución de problemas (localización de problemas o fallos, análisis de sus causas y búsqueda de soluciones)",100,5.781,18.093,46.718,,29.408
2021,EAL-16f,"EMPRESAS DEL SECTOR SERVICIOS, SEGÚN GRADO DE IMPORTANCIA  PARA EL DESARROLLO DE LA EMPRESA EN LOS PRÓXIMOS AÑOS DE DIVERSAS COMPETENCIAS ",En lenguas extranjeras,100,18.104,39.509,29.97,,12.417
2021,EAL-16f,"EMPRESAS DEL SECTOR SERVICIOS, SEGÚN GRADO DE IMPORTANCIA  PARA EL DESARROLLO DE LA EMPRESA EN LOS PRÓXIMOS AÑOS DE DIVERSAS COMPETENCIAS ",Básicas de cálculo y/o comunicación oral o escrita,100,17.97,39.017,31.259,,11.754
2021,EAL-16f,"EMPRESAS DEL SECTOR SERVICIOS, SEGÚN GRADO DE IMPORTANCIA  PARA EL DESARROLLO DE LA EMPRESA EN LOS PRÓXIMOS AÑOS DE DIVERSAS COMPETENCIAS ",Generales de tecnologías de la información ,100,10.174,31.236,40.866,,17.724
2021,EAL-16f,"EMPRESAS DEL SECTOR SERVICIOS, SEGÚN GRADO DE IMPORTANCIA  PARA EL DESARROLLO DE LA EMPRESA EN LOS PRÓXIMOS AÑOS DE DIVERSAS COMPETENCIAS ",Profesionales de tecnologías de la información ,100,22.925,40.999,24.956,,11.12
2022,EAL-16,"EMPRESAS, SEGÚN GRADO DE IMPORTANCIA  PARA EL DESARROLLO DE LA EMPRESA EN LOS PRÓXIMOS AÑOS DE DIVERSAS COMPETENCIAS ",De dirección,100,8.849,19.912,42.71,,28.53
2022,EAL-16,"EMPRESAS, SEGÚN GRADO DE IMPORTANCIA  PARA EL DESARROLLO DE LA EMPRESA EN LOS PRÓXIMOS AÑOS DE DIVERSAS COMPETENCIAS ",De trabajo en equipo,100,2.354,6.313,48.921,,42.412
2022,EAL-16,"EMPRESAS, SEGÚN GRADO DE IMPORTANCIA  PARA EL DESARROLLO DE LA EMPRESA EN LOS PRÓXIMOS AÑOS DE DIVERSAS COMPETENCIAS ",De atención al público/ trato a clientes,100,4.344,14.56,39.998,,41.099
2022,EAL-16,"EMPRESAS, SEGÚN GRADO DE IMPORTANCIA  PARA EL DESARROLLO DE LA EMPRESA EN LOS PRÓXIMOS AÑOS DE DIVERSAS COMPETENCIAS ",Administrativas de oficina,100,7.903,24.507,43.707,,23.883
2022,EAL-16,"EMPRESAS, SEGÚN GRADO DE IMPORTANCIA  PARA EL DESARROLLO DE LA EMPRESA EN LOS PRÓXIMOS AÑOS DE DIVERSAS COMPETENCIAS ","De resolución de problemas (localización de problemas o fallos, análisis de sus causas y búsqueda de soluciones)",100,4.426,14.532,48.469,,32.573
2022,EAL-16,"EMPRESAS, SEGÚN GRADO DE IMPORTANCIA  PARA EL DESARROLLO DE LA EMPRESA EN LOS PRÓXIMOS AÑOS DE DIVERSAS COMPETENCIAS ",En lenguas extranjeras,100,18.558,40.786,26.824,,13.832
2022,EAL-16,"EMPRESAS, SEGÚN GRADO DE IMPORTANCIA  PARA EL DESARROLLO DE LA EMPRESA EN LOS PRÓXIMOS AÑOS DE DIVERSAS COMPETENCIAS ",Básicas de cálculo y/o comunicación oral o escrita,100,17.603,38.581,33.558,,10.258
2022,EAL-16,"EMPRESAS, SEGÚN GRADO DE IMPORTANCIA  PARA EL DESARROLLO DE LA EMPRESA EN LOS PRÓXIMOS AÑOS DE DIVERSAS COMPETENCIAS ",Generales de tecnologías de la información ,100,10.301,28.712,44.416,,16.571
2022,EAL-16,"EMPRESAS, SEGÚN GRADO DE IMPORTANCIA  PARA EL DESARROLLO DE LA EMPRESA EN LOS PRÓXIMOS AÑOS DE DIVERSAS COMPETENCIAS ",Profesionales de tecnologías de la información ,100,21.65,41.529,26.527,,10.294
2022,EAL-16,"EMPRESAS, SEGÚN GRADO DE IMPORTANCIA  PARA EL DESARROLLO DE LA EMPRESA EN LOS PRÓXIMOS AÑOS DE DIVERSAS COMPETENCIAS ","Competencias técnicas, prácticas y otras específicas del puesto de trabajo ",100,15.553,25.882,36.815,,21.749
2022,EAL-16c,"EMPRESAS DE MÁS DE 499 TRABAJADORES, SEGÚN GRADO DE IMPORTANCIA  PARA EL DESARROLLO DE LA EMPRESA EN LOS PRÓXIMOS AÑOS DE DIVERSAS COMPETENCIAS ",De dirección,100,1.714,8.773,46.978,,42.535
2022,EAL-16c,"EMPRESAS DE MÁS DE 499 TRABAJADORES, SEGÚN GRADO DE IMPORTANCIA  PARA EL DESARROLLO DE LA EMPRESA EN LOS PRÓXIMOS AÑOS DE DIVERSAS COMPETENCIAS ",De trabajo en equipo,100,0.504,3.198,42.374,,53.924
2022,EAL-16c,"EMPRESAS DE MÁS DE 499 TRABAJADORES, SEGÚN GRADO DE IMPORTANCIA  PARA EL DESARROLLO DE LA EMPRESA EN LOS PRÓXIMOS AÑOS DE DIVERSAS COMPETENCIAS ",De atención al público/ trato a clientes,100,2.505,13.57,43.319,,40.606
2022,EAL-16c,"EMPRESAS DE MÁS DE 499 TRABAJADORES, SEGÚN GRADO DE IMPORTANCIA  PARA EL DESARROLLO DE LA EMPRESA EN LOS PRÓXIMOS AÑOS DE DIVERSAS COMPETENCIAS ",Administrativas de oficina,100,1.828,23.259,52.651,,22.261
2022,EAL-16c,"EMPRESAS DE MÁS DE 499 TRABAJADORES, SEGÚN GRADO DE IMPORTANCIA  PARA EL DESARROLLO DE LA EMPRESA EN LOS PRÓXIMOS AÑOS DE DIVERSAS COMPETENCIAS ","De resolución de problemas (localización de problemas o fallos, análisis de sus causas y búsqueda de soluciones)",100,1.236,10.034,48.775,,39.955
2022,EAL-16c,"EMPRESAS DE MÁS DE 499 TRABAJADORES, SEGÚN GRADO DE IMPORTANCIA  PARA EL DESARROLLO DE LA EMPRESA EN LOS PRÓXIMOS AÑOS DE DIVERSAS COMPETENCIAS ",En lenguas extranjeras,100,8.469,29.958,38.298,,23.275
2022,EAL-16c,"EMPRESAS DE MÁS DE 499 TRABAJADORES, SEGÚN GRADO DE IMPORTANCIA  PARA EL DESARROLLO DE LA EMPRESA EN LOS PRÓXIMOS AÑOS DE DIVERSAS COMPETENCIAS ",Básicas de cálculo y/o comunicación oral o escrita,100,4.834,29.013,49.702,,16.452
2022,EAL-16c,"EMPRESAS DE MÁS DE 499 TRABAJADORES, SEGÚN GRADO DE IMPORTANCIA  PARA EL DESARROLLO DE LA EMPRESA EN LOS PRÓXIMOS AÑOS DE DIVERSAS COMPETENCIAS ",Generales de tecnologías de la información ,100,1.674,13.755,50.314,,34.257
2022,EAL-16c,"EMPRESAS DE MÁS DE 499 TRABAJADORES, SEGÚN GRADO DE IMPORTANCIA  PARA EL DESARROLLO DE LA EMPRESA EN LOS PRÓXIMOS AÑOS DE DIVERSAS COMPETENCIAS ",Profesionales de tecnologías de la información ,100,5.784,23.95,42.536,,27.731
2022,EAL-16c,"EMPRESAS DE MÁS DE 499 TRABAJADORES, SEGÚN GRADO DE IMPORTANCIA  PARA EL DESARROLLO DE LA EMPRESA EN LOS PRÓXIMOS AÑOS DE DIVERSAS COMPETENCIAS ","Competencias técnicas, prácticas y otras específicas del puesto de trabajo ",100,6.771,18.571,41.027,,33.63
2022,EAL-16f,"EMPRESAS DEL SECTOR SERVICIOS, SEGÚN GRADO DE IMPORTANCIA  PARA EL DESARROLLO DE LA EMPRESA EN LOS PRÓXIMOS AÑOS DE DIVERSAS COMPETENCIAS ",De dirección,100,9.324,20.397,41.712,,28.567
2022,EAL-16f,"EMPRESAS DEL SECTOR SERVICIOS, SEGÚN GRADO DE IMPORTANCIA  PARA EL DESARROLLO DE LA EMPRESA EN LOS PRÓXIMOS AÑOS DE DIVERSAS COMPETENCIAS ",De trabajo en equipo,100,2.417,6.444,47.177,,43.962
2022,EAL-16f,"EMPRESAS DEL SECTOR SERVICIOS, SEGÚN GRADO DE IMPORTANCIA  PARA EL DESARROLLO DE LA EMPRESA EN LOS PRÓXIMOS AÑOS DE DIVERSAS COMPETENCIAS ",De atención al público/ trato a clientes,100,2.76,10.952,38.709,,47.58
2022,EAL-16f,"EMPRESAS DEL SECTOR SERVICIOS, SEGÚN GRADO DE IMPORTANCIA  PARA EL DESARROLLO DE LA EMPRESA EN LOS PRÓXIMOS AÑOS DE DIVERSAS COMPETENCIAS ",Administrativas de oficina,100,8.798,24.911,42.398,,23.893
2022,EAL-16f,"EMPRESAS DEL SECTOR SERVICIOS, SEGÚN GRADO DE IMPORTANCIA  PARA EL DESARROLLO DE LA EMPRESA EN LOS PRÓXIMOS AÑOS DE DIVERSAS COMPETENCIAS ","De resolución de problemas (localización de problemas o fallos, análisis de sus causas y búsqueda de soluciones)",100,4.737,14.76,48.288,,32.215
2022,EAL-16f,"EMPRESAS DEL SECTOR SERVICIOS, SEGÚN GRADO DE IMPORTANCIA  PARA EL DESARROLLO DE LA EMPRESA EN LOS PRÓXIMOS AÑOS DE DIVERSAS COMPETENCIAS ",En lenguas extranjeras,100,15.751,39.373,28.618,,16.258
2022,EAL-16f,"EMPRESAS DEL SECTOR SERVICIOS, SEGÚN GRADO DE IMPORTANCIA  PARA EL DESARROLLO DE LA EMPRESA EN LOS PRÓXIMOS AÑOS DE DIVERSAS COMPETENCIAS ",Básicas de cálculo y/o comunicación oral o escrita,100,17.4,37.753,33.791,,11.056
2022,EAL-16f,"EMPRESAS DEL SECTOR SERVICIOS, SEGÚN GRADO DE IMPORTANCIA  PARA EL DESARROLLO DE LA EMPRESA EN LOS PRÓXIMOS AÑOS DE DIVERSAS COMPETENCIAS ",Generales de tecnologías de la información ,100,10.527,28.09,43.632,,17.75
2022,EAL-16f,"EMPRESAS DEL SECTOR SERVICIOS, SEGÚN GRADO DE IMPORTANCIA  PARA EL DESARROLLO DE LA EMPRESA EN LOS PRÓXIMOS AÑOS DE DIVERSAS COMPETENCIAS ",Profesionales de tecnologías de la información ,100,23.009,39.968,25.742,,11.281
2022,EAL-16f,"EMPRESAS DEL SECTOR SERVICIOS, SEGÚN GRADO DE IMPORTANCIA  PARA EL DESARROLLO DE LA EMPRESA EN LOS PRÓXIMOS AÑOS DE DIVERSAS COMPETENCIAS ","Competencias técnicas, prácticas y otras específicas del puesto de trabajo ",100,19.651,29.685,33.088,,17.576
2023,EAL-16,"EMPRESAS, SEGÚN GRADO DE IMPORTANCIA  PARA EL DESARROLLO DE LA EMPRESA EN LOS PRÓXIMOS AÑOS DE DIVERSAS COMPETENCIAS ",De dirección,100,8.568,19.675,41.065,,30.692
2023,EAL-16,"EMPRESAS, SEGÚN GRADO DE IMPORTANCIA  PARA EL DESARROLLO DE LA EMPRESA EN LOS PRÓXIMOS AÑOS DE DIVERSAS COMPETENCIAS ",De trabajo en equipo,100,1.826,5.726,48.399,,44.05
2023,EAL-16,"EMPRESAS, SEGÚN GRADO DE IMPORTANCIA  PARA EL DESARROLLO DE LA EMPRESA EN LOS PRÓXIMOS AÑOS DE DIVERSAS COMPETENCIAS ",De atención al público/ trato a clientes,100,3.693,13.973,40.058,,42.276
2023,EAL-16,"EMPRESAS, SEGÚN GRADO DE IMPORTANCIA  PARA EL DESARROLLO DE LA EMPRESA EN LOS PRÓXIMOS AÑOS DE DIVERSAS COMPETENCIAS ",Administrativas de oficina,100,7.32,25.19,42.275,,25.215
2023,EAL-16,"EMPRESAS, SEGÚN GRADO DE IMPORTANCIA  PARA EL DESARROLLO DE LA EMPRESA EN LOS PRÓXIMOS AÑOS DE DIVERSAS COMPETENCIAS ","De resolución de problemas (localización de problemas o fallos, análisis de sus causas y búsqueda de soluciones)",100,3.77,12.458,48.239,,35.532
2023,EAL-16,"EMPRESAS, SEGÚN GRADO DE IMPORTANCIA  PARA EL DESARROLLO DE LA EMPRESA EN LOS PRÓXIMOS AÑOS DE DIVERSAS COMPETENCIAS ",En lenguas extranjeras,100,16.922,41.072,29.37,,12.636
2023,EAL-16,"EMPRESAS, SEGÚN GRADO DE IMPORTANCIA  PARA EL DESARROLLO DE LA EMPRESA EN LOS PRÓXIMOS AÑOS DE DIVERSAS COMPETENCIAS ",Básicas de cálculo y/o comunicación oral o escrita,100,16.246,36.869,35.119,,11.766
2023,EAL-16,"EMPRESAS, SEGÚN GRADO DE IMPORTANCIA  PARA EL DESARROLLO DE LA EMPRESA EN LOS PRÓXIMOS AÑOS DE DIVERSAS COMPETENCIAS ",Generales de tecnologías de la información ,100,9.219,27.872,45.666,,17.243
2023,EAL-16,"EMPRESAS, SEGÚN GRADO DE IMPORTANCIA  PARA EL DESARROLLO DE LA EMPRESA EN LOS PRÓXIMOS AÑOS DE DIVERSAS COMPETENCIAS ",Profesionales de tecnologías de la información ,100,21.163,40.39,27.537,,10.91
2023,EAL-16,"EMPRESAS, SEGÚN GRADO DE IMPORTANCIA  PARA EL DESARROLLO DE LA EMPRESA EN LOS PRÓXIMOS AÑOS DE DIVERSAS COMPETENCIAS ","Competencias técnicas, prácticas y otras específicas del puesto de trabajo ",100,14.639,24.382,39.3,,21.679
2023,EAL-16c,"EMPRESAS DE MÁS DE 499 TRABAJADORES, SEGÚN GRADO DE IMPORTANCIA  PARA EL DESARROLLO DE LA EMPRESA EN LOS PRÓXIMOS AÑOS DE DIVERSAS COMPETENCIAS ",De dirección,100,1.683,6.837,47.594,,43.887
2023,EAL-16c,"EMPRESAS DE MÁS DE 499 TRABAJADORES, SEGÚN GRADO DE IMPORTANCIA  PARA EL DESARROLLO DE LA EMPRESA EN LOS PRÓXIMOS AÑOS DE DIVERSAS COMPETENCIAS ",De trabajo en equipo,100,0.563,3.19,41.401,,54.846
2023,EAL-16c,"EMPRESAS DE MÁS DE 499 TRABAJADORES, SEGÚN GRADO DE IMPORTANCIA  PARA EL DESARROLLO DE LA EMPRESA EN LOS PRÓXIMOS AÑOS DE DIVERSAS COMPETENCIAS ",De atención al público/ trato a clientes,100,2.309,15.224,40.34,,42.127
2023,EAL-16c,"EMPRESAS DE MÁS DE 499 TRABAJADORES, SEGÚN GRADO DE IMPORTANCIA  PARA EL DESARROLLO DE LA EMPRESA EN LOS PRÓXIMOS AÑOS DE DIVERSAS COMPETENCIAS ",Administrativas de oficina,100,1.36,22.569,51.792,,24.28
2023,EAL-16c,"EMPRESAS DE MÁS DE 499 TRABAJADORES, SEGÚN GRADO DE IMPORTANCIA  PARA EL DESARROLLO DE LA EMPRESA EN LOS PRÓXIMOS AÑOS DE DIVERSAS COMPETENCIAS ","De resolución de problemas (localización de problemas o fallos, análisis de sus causas y búsqueda de soluciones)",100,1.235,9.956,49.069,,39.74
2023,EAL-16c,"EMPRESAS DE MÁS DE 499 TRABAJADORES, SEGÚN GRADO DE IMPORTANCIA  PARA EL DESARROLLO DE LA EMPRESA EN LOS PRÓXIMOS AÑOS DE DIVERSAS COMPETENCIAS ",En lenguas extranjeras,100,8.274,29.724,37.9,,24.102
2023,EAL-16c,"EMPRESAS DE MÁS DE 499 TRABAJADORES, SEGÚN GRADO DE IMPORTANCIA  PARA EL DESARROLLO DE LA EMPRESA EN LOS PRÓXIMOS AÑOS DE DIVERSAS COMPETENCIAS ",Básicas de cálculo y/o comunicación oral o escrita,100,3.272,28.908,51.009,,16.811
2023,EAL-16c,"EMPRESAS DE MÁS DE 499 TRABAJADORES, SEGÚN GRADO DE IMPORTANCIA  PARA EL DESARROLLO DE LA EMPRESA EN LOS PRÓXIMOS AÑOS DE DIVERSAS COMPETENCIAS ",Generales de tecnologías de la información ,100,1.152,13.711,52.756,,32.381
2023,EAL-16c,"EMPRESAS DE MÁS DE 499 TRABAJADORES, SEGÚN GRADO DE IMPORTANCIA  PARA EL DESARROLLO DE LA EMPRESA EN LOS PRÓXIMOS AÑOS DE DIVERSAS COMPETENCIAS ",Profesionales de tecnologías de la información ,100,3.932,26.585,41.633,,27.85
