anio,tabla,pregunta,ambito,NADA,POCO,BASTANTE,MUCHO
2022,EAL-23,"EMPRESAS QUE PROPORCIONARON FORMACIÓN A SUS TRABAJADORES, SEGÚN GRADO DE RELEVANCIA DE POSIBLES OBJETIVOS DE LAS ACCIONES FORMATIVAS ",Readaptar al personal a los cambios técnicos introducidos en la empresa,9.436,24.136,51.333,15.096
2022,EAL-23,"EMPRESAS QUE PROPORCIONARON FORMACIÓN A SUS TRABAJADORES, SEGÚN GRADO DE RELEVANCIA DE POSIBLES OBJETIVOS DE LAS ACCIONES FORMATIVAS ",Readaptar al personal a los cambios organizativos introducidos en la empresa,10.913,30.735,46.433,11.92
2022,EAL-23,"EMPRESAS QUE PROPORCIONARON FORMACIÓN A SUS TRABAJADORES, SEGÚN GRADO DE RELEVANCIA DE POSIBLES OBJETIVOS DE LAS ACCIONES FORMATIVAS ",Adaptar al personal recién incorporado a las técnicas y sistemas de la empresa,6.461,14.625,54.557,24.357
2022,EAL-23,"EMPRESAS QUE PROPORCIONARON FORMACIÓN A SUS TRABAJADORES, SEGÚN GRADO DE RELEVANCIA DE POSIBLES OBJETIVOS DE LAS ACCIONES FORMATIVAS ",Mejorar la cualificación básica del personal para compensar su insuficiencia o inadecuación formativa,7.198,21.945,54.229,16.628
2022,EAL-23,"EMPRESAS QUE PROPORCIONARON FORMACIÓN A SUS TRABAJADORES, SEGÚN GRADO DE RELEVANCIA DE POSIBLES OBJETIVOS DE LAS ACCIONES FORMATIVAS ",Adaptación impuesta por cambios normativos,7.932,26.472,46.214,19.381
2022,EAL-23c,"EMPRESAS DE MÁS DE 499 TRABAJADORES QUE PROPORCIONARON FORMACIÓN A SUS TRABAJADORES, SEGÚN GRADO DE RELEVANCIA DE POSIBLES OBJETIVOS DE LAS ACCIONES FORMATIVAS ",Responder a un sistema predeterminado de promoción interna,6.554,38.01,45.098,10.339
2022,EAL-23c,"EMPRESAS DE MÁS DE 499 TRABAJADORES QUE PROPORCIONARON FORMACIÓN A SUS TRABAJADORES, SEGÚN GRADO DE RELEVANCIA DE POSIBLES OBJETIVOS DE LAS ACCIONES FORMATIVAS ",Readaptar al personal a los cambios técnicos introducidos en la empresa,2.522,14.572,57.95,24.956
2022,EAL-23c,"EMPRESAS DE MÁS DE 499 TRABAJADORES QUE PROPORCIONARON FORMACIÓN A SUS TRABAJADORES, SEGÚN GRADO DE RELEVANCIA DE POSIBLES OBJETIVOS DE LAS ACCIONES FORMATIVAS ",Readaptar al personal a los cambios organizativos introducidos en la empresa,3.507,25.457,53.28,17.756
2022,EAL-23c,"EMPRESAS DE MÁS DE 499 TRABAJADORES QUE PROPORCIONARON FORMACIÓN A SUS TRABAJADORES, SEGÚN GRADO DE RELEVANCIA DE POSIBLES OBJETIVOS DE LAS ACCIONES FORMATIVAS ",Adaptar al personal recién incorporado a las técnicas y sistemas de la empresa,1.579,8.497,54.911,35.013
2022,EAL-23c,"EMPRESAS DE MÁS DE 499 TRABAJADORES QUE PROPORCIONARON FORMACIÓN A SUS TRABAJADORES, SEGÚN GRADO DE RELEVANCIA DE POSIBLES OBJETIVOS DE LAS ACCIONES FORMATIVAS ",Mejorar la cualificación básica del personal para compensar su insuficiencia o inadecuación formativa,3.806,26.095,52.026,18.073
2022,EAL-23c,"EMPRESAS DE MÁS DE 499 TRABAJADORES QUE PROPORCIONARON FORMACIÓN A SUS TRABAJADORES, SEGÚN GRADO DE RELEVANCIA DE POSIBLES OBJETIVOS DE LAS ACCIONES FORMATIVAS ",Adaptación impuesta por cambios normativos,3.078,29.325,46.241,21.356
2022,EAL-23f,"EMPRESAS DEL SECTOR SERVICIOS QUE PROPORCIONARON FORMACIÓN A SUS TRABAJADORES, SEGÚN GRADO DE RELEVANCIA DE POSIBLES OBJETIVOS DE LAS ACCIONES FORMATIVAS ",Responder a un sistema predeterminado de promoción interna,20.626,42.889,31.392,5.093
2022,EAL-23f,"EMPRESAS DEL SECTOR SERVICIOS QUE PROPORCIONARON FORMACIÓN A SUS TRABAJADORES, SEGÚN GRADO DE RELEVANCIA DE POSIBLES OBJETIVOS DE LAS ACCIONES FORMATIVAS ",Readaptar al personal a los cambios técnicos introducidos en la empresa,9.459,23.361,51.518,15.663
2022,EAL-23f,"EMPRESAS DEL SECTOR SERVICIOS QUE PROPORCIONARON FORMACIÓN A SUS TRABAJADORES, SEGÚN GRADO DE RELEVANCIA DE POSIBLES OBJETIVOS DE LAS ACCIONES FORMATIVAS ",Readaptar al personal a los cambios organizativos introducidos en la empresa,10.377,30.419,46.433,12.77
2022,EAL-23f,"EMPRESAS DEL SECTOR SERVICIOS QUE PROPORCIONARON FORMACIÓN A SUS TRABAJADORES, SEGÚN GRADO DE RELEVANCIA DE POSIBLES OBJETIVOS DE LAS ACCIONES FORMATIVAS ",Adaptar al personal recién incorporado a las técnicas y sistemas de la empresa,6.541,14.531,54.448,24.481
2022,EAL-23f,"EMPRESAS DEL SECTOR SERVICIOS QUE PROPORCIONARON FORMACIÓN A SUS TRABAJADORES, SEGÚN GRADO DE RELEVANCIA DE POSIBLES OBJETIVOS DE LAS ACCIONES FORMATIVAS ",Mejorar la cualificación básica del personal para compensar su insuficiencia o inadecuación formativa,7.865,22.166,54.12,15.849
2022,EAL-23f,"EMPRESAS DEL SECTOR SERVICIOS QUE PROPORCIONARON FORMACIÓN A SUS TRABAJADORES, SEGÚN GRADO DE RELEVANCIA DE POSIBLES OBJETIVOS DE LAS ACCIONES FORMATIVAS ",Adaptación impuesta por cambios normativos,8.793,27.926,44.579,18.702
2023,EAL-23,"EMPRESAS QUE PROPORCIONARON FORMACIÓN A SUS TRABAJADORES, SEGÚN GRADO DE RELEVANCIA DE POSIBLES OBJETIVOS DE LAS ACCIONES FORMATIVAS ",Responder a un sistema predeterminado de promoción interna,22.184,42.218,29.722,5.876
2023,EAL-23,"EMPRESAS QUE PROPORCIONARON FORMACIÓN A SUS TRABAJADORES, SEGÚN GRADO DE RELEVANCIA DE POSIBLES OBJETIVOS DE LAS ACCIONES FORMATIVAS ",Readaptar al personal a los cambios técnicos introducidos en la empresa,10.611,22.478,52.699,14.213
2023,EAL-23,"EMPRESAS QUE PROPORCIONARON FORMACIÓN A SUS TRABAJADORES, SEGÚN GRADO DE RELEVANCIA DE POSIBLES OBJETIVOS DE LAS ACCIONES FORMATIVAS ",Readaptar al personal a los cambios organizativos introducidos en la empresa,12.179,28.625,47.21,11.986
2023,EAL-23,"EMPRESAS QUE PROPORCIONARON FORMACIÓN A SUS TRABAJADORES, SEGÚN GRADO DE RELEVANCIA DE POSIBLES OBJETIVOS DE LAS ACCIONES FORMATIVAS ",Adaptar al personal recién incorporado a las técnicas y sistemas de la empresa,6.553,14.63,53.766,25.05
2023,EAL-23,"EMPRESAS QUE PROPORCIONARON FORMACIÓN A SUS TRABAJADORES, SEGÚN GRADO DE RELEVANCIA DE POSIBLES OBJETIVOS DE LAS ACCIONES FORMATIVAS ",Mejorar la cualificación básica del personal para compensar su insuficiencia o inadecuación formativa,7.272,23.206,51.771,17.751
2023,EAL-23,"EMPRESAS QUE PROPORCIONARON FORMACIÓN A SUS TRABAJADORES, SEGÚN GRADO DE RELEVANCIA DE POSIBLES OBJETIVOS DE LAS ACCIONES FORMATIVAS ",Adaptación impuesta por cambios normativos,8.343,24.602,45.748,21.307
2023,EAL-23c,"EMPRESAS DE MÁS DE 499 TRABAJADORES QUE PROPORCIONARON FORMACIÓN A SUS TRABAJADORES, SEGÚN GRADO DE RELEVANCIA DE POSIBLES OBJETIVOS DE LAS ACCIONES FORMATIVAS ",Responder a un sistema predeterminado de promoción interna,6.437,37.469,45.733,10.36
2023,EAL-23c,"EMPRESAS DE MÁS DE 499 TRABAJADORES QUE PROPORCIONARON FORMACIÓN A SUS TRABAJADORES, SEGÚN GRADO DE RELEVANCIA DE POSIBLES OBJETIVOS DE LAS ACCIONES FORMATIVAS ",Readaptar al personal a los cambios técnicos introducidos en la empresa,1.92,14.956,57.677,25.447
2023,EAL-23c,"EMPRESAS DE MÁS DE 499 TRABAJADORES QUE PROPORCIONARON FORMACIÓN A SUS TRABAJADORES, SEGÚN GRADO DE RELEVANCIA DE POSIBLES OBJETIVOS DE LAS ACCIONES FORMATIVAS ",Readaptar al personal a los cambios organizativos introducidos en la empresa,3.572,25.247,53.482,17.699
2023,EAL-23c,"EMPRESAS DE MÁS DE 499 TRABAJADORES QUE PROPORCIONARON FORMACIÓN A SUS TRABAJADORES, SEGÚN GRADO DE RELEVANCIA DE POSIBLES OBJETIVOS DE LAS ACCIONES FORMATIVAS ",Adaptar al personal recién incorporado a las técnicas y sistemas de la empresa,1.318,8.962,52.88,36.84
2023,EAL-23c,"EMPRESAS DE MÁS DE 499 TRABAJADORES QUE PROPORCIONARON FORMACIÓN A SUS TRABAJADORES, SEGÚN GRADO DE RELEVANCIA DE POSIBLES OBJETIVOS DE LAS ACCIONES FORMATIVAS ",Mejorar la cualificación básica del personal para compensar su insuficiencia o inadecuación formativa,3.103,25.387,52.932,18.579
2023,EAL-23c,"EMPRESAS DE MÁS DE 499 TRABAJADORES QUE PROPORCIONARON FORMACIÓN A SUS TRABAJADORES, SEGÚN GRADO DE RELEVANCIA DE POSIBLES OBJETIVOS DE LAS ACCIONES FORMATIVAS ",Adaptación impuesta por cambios normativos,3.652,27.528,46.334,22.486
2023,EAL-23f,"EMPRESAS DEL SECTOR SERVICIOS QUE PROPORCIONARON FORMACIÓN A SUS TRABAJADORES, SEGÚN GRADO DE RELEVANCIA DE POSIBLES OBJETIVOS DE LAS ACCIONES FORMATIVAS ",Responder a un sistema predeterminado de promoción interna,21.791,41.595,30.323,6.291
2023,EAL-23f,"EMPRESAS DEL SECTOR SERVICIOS QUE PROPORCIONARON FORMACIÓN A SUS TRABAJADORES, SEGÚN GRADO DE RELEVANCIA DE POSIBLES OBJETIVOS DE LAS ACCIONES FORMATIVAS ",Readaptar al personal a los cambios técnicos introducidos en la empresa,11.293,22.977,51.152,14.578
2023,EAL-23f,"EMPRESAS DEL SECTOR SERVICIOS QUE PROPORCIONARON FORMACIÓN A SUS TRABAJADORES, SEGÚN GRADO DE RELEVANCIA DE POSIBLES OBJETIVOS DE LAS ACCIONES FORMATIVAS ",Readaptar al personal a los cambios organizativos introducidos en la empresa,12.486,28.561,46.972,11.98
2023,EAL-23f,"EMPRESAS DEL SECTOR SERVICIOS QUE PROPORCIONARON FORMACIÓN A SUS TRABAJADORES, SEGÚN GRADO DE RELEVANCIA DE POSIBLES OBJETIVOS DE LAS ACCIONES FORMATIVAS ",Adaptar al personal recién incorporado a las técnicas y sistemas de la empresa,6.605,15.027,53.28,25.089
2023,EAL-23f,"EMPRESAS DEL SECTOR SERVICIOS QUE PROPORCIONARON FORMACIÓN A SUS TRABAJADORES, SEGÚN GRADO DE RELEVANCIA DE POSIBLES OBJETIVOS DE LAS ACCIONES FORMATIVAS ",Mejorar la cualificación básica del personal para compensar su insuficiencia o inadecuación formativa,7.815,24.237,50.385,17.563
2023,EAL-23f,"EMPRESAS DEL SECTOR SERVICIOS QUE PROPORCIONARON FORMACIÓN A SUS TRABAJADORES, SEGÚN GRADO DE RELEVANCIA DE POSIBLES OBJETIVOS DE LAS ACCIONES FORMATIVAS ",Adaptación impuesta por cambios normativos,9.07,24.912,44.647,21.371
2024,EAL-23,EMPRESAS QUE PROPORCIONARON FORMACIÓN A SUS TRABAJADORES SEGÚN GRADO DE RELEVANCIA DE POSIBLES OBJETIVOS DE LAS ACCIONES FORMATIVAS ,Responder a un sistema predeterminado de promoción interna,24.833,42.321,26.86,5.987
2024,EAL-23,EMPRESAS QUE PROPORCIONARON FORMACIÓN A SUS TRABAJADORES SEGÚN GRADO DE RELEVANCIA DE POSIBLES OBJETIVOS DE LAS ACCIONES FORMATIVAS ,Readaptar al personal a los cambios técnicos introducidos en la empresa,12.615,22.193,49.421,15.771
2024,EAL-23,EMPRESAS QUE PROPORCIONARON FORMACIÓN A SUS TRABAJADORES SEGÚN GRADO DE RELEVANCIA DE POSIBLES OBJETIVOS DE LAS ACCIONES FORMATIVAS ,Readaptar al personal a los cambios organizativos introducidos en la empresa,14.246,29.411,44.323,12.02
2024,EAL-23,EMPRESAS QUE PROPORCIONARON FORMACIÓN A SUS TRABAJADORES SEGÚN GRADO DE RELEVANCIA DE POSIBLES OBJETIVOS DE LAS ACCIONES FORMATIVAS ,Adaptar al personal recién incorporado a las técnicas y sistemas de la empresa,7.888,15.038,50.533,26.541
2024,EAL-23,EMPRESAS QUE PROPORCIONARON FORMACIÓN A SUS TRABAJADORES SEGÚN GRADO DE RELEVANCIA DE POSIBLES OBJETIVOS DE LAS ACCIONES FORMATIVAS ,Mejorar la cualificación básica del personal para compensar su insuficiencia o inadecuación formativa,8.168,22.567,51.043,18.222
2024,EAL-23,EMPRESAS QUE PROPORCIONARON FORMACIÓN A SUS TRABAJADORES SEGÚN GRADO DE RELEVANCIA DE POSIBLES OBJETIVOS DE LAS ACCIONES FORMATIVAS ,Adaptación impuesta por cambios normativos,8.955,22.904,42.755,25.385
2024,EAL-23c,EMPRESAS DE MÁS DE 499 TRABAJADORES QUE PROPORCIONARON FORMACIÓN A SUS TRABAJADORES SEGÚN GRADO DE RELEVANCIA DE POSIBLES OBJETIVOS DE LAS ACCIONES FORMATIVAS ,Responder a un sistema predeterminado de promoción interna,7.551,36.456,44.463,11.53
2024,EAL-23c,EMPRESAS DE MÁS DE 499 TRABAJADORES QUE PROPORCIONARON FORMACIÓN A SUS TRABAJADORES SEGÚN GRADO DE RELEVANCIA DE POSIBLES OBJETIVOS DE LAS ACCIONES FORMATIVAS ,Readaptar al personal a los cambios técnicos introducidos en la empresa,2.345,15.439,54.421,27.794
2024,EAL-23c,EMPRESAS DE MÁS DE 499 TRABAJADORES QUE PROPORCIONARON FORMACIÓN A SUS TRABAJADORES SEGÚN GRADO DE RELEVANCIA DE POSIBLES OBJETIVOS DE LAS ACCIONES FORMATIVAS ,Readaptar al personal a los cambios organizativos introducidos en la empresa,3.682,25.152,50.874,20.292
2024,EAL-23c,EMPRESAS DE MÁS DE 499 TRABAJADORES QUE PROPORCIONARON FORMACIÓN A SUS TRABAJADORES SEGÚN GRADO DE RELEVANCIA DE POSIBLES OBJETIVOS DE LAS ACCIONES FORMATIVAS ,Adaptar al personal recién incorporado a las técnicas y sistemas de la empresa,1.267,9.804,51.856,37.073
2024,EAL-23c,EMPRESAS DE MÁS DE 499 TRABAJADORES QUE PROPORCIONARON FORMACIÓN A SUS TRABAJADORES SEGÚN GRADO DE RELEVANCIA DE POSIBLES OBJETIVOS DE LAS ACCIONES FORMATIVAS ,Mejorar la cualificación básica del personal para compensar su insuficiencia o inadecuación formativa,4.796,23.62,50.479,21.105
2024,EAL-23c,EMPRESAS DE MÁS DE 499 TRABAJADORES QUE PROPORCIONARON FORMACIÓN A SUS TRABAJADORES SEGÚN GRADO DE RELEVANCIA DE POSIBLES OBJETIVOS DE LAS ACCIONES FORMATIVAS ,Adaptación impuesta por cambios normativos,4.237,25.702,46.8,23.261
2024,EAL-23f,EMPRESAS DEL SECTOR SERVICIOS QUE PROPORCIONARON FORMACIÓN A SUS TRABAJADORES SEGÚN GRADO DE RELEVANCIA DE POSIBLES OBJETIVOS DE LAS ACCIONES FORMATIVAS ,Responder a un sistema predeterminado de promoción interna,24.872,41.166,27.332,6.63
2024,EAL-23f,EMPRESAS DEL SECTOR SERVICIOS QUE PROPORCIONARON FORMACIÓN A SUS TRABAJADORES SEGÚN GRADO DE RELEVANCIA DE POSIBLES OBJETIVOS DE LAS ACCIONES FORMATIVAS ,Readaptar al personal a los cambios técnicos introducidos en la empresa,12.8,21.391,49.249,16.561
2024,EAL-23f,EMPRESAS DEL SECTOR SERVICIOS QUE PROPORCIONARON FORMACIÓN A SUS TRABAJADORES SEGÚN GRADO DE RELEVANCIA DE POSIBLES OBJETIVOS DE LAS ACCIONES FORMATIVAS ,Readaptar al personal a los cambios organizativos introducidos en la empresa,14.121,28.64,44.052,13.187
2024,EAL-23f,EMPRESAS DEL SECTOR SERVICIOS QUE PROPORCIONARON FORMACIÓN A SUS TRABAJADORES SEGÚN GRADO DE RELEVANCIA DE POSIBLES OBJETIVOS DE LAS ACCIONES FORMATIVAS ,Adaptar al personal recién incorporado a las técnicas y sistemas de la empresa,7.805,15.009,49.654,27.532
2024,EAL-23f,EMPRESAS DEL SECTOR SERVICIOS QUE PROPORCIONARON FORMACIÓN A SUS TRABAJADORES SEGÚN GRADO DE RELEVANCIA DE POSIBLES OBJETIVOS DE LAS ACCIONES FORMATIVAS ,Mejorar la cualificación básica del personal para compensar su insuficiencia o inadecuación formativa,8.216,23.417,49.976,18.391
2024,EAL-23f,EMPRESAS DEL SECTOR SERVICIOS QUE PROPORCIONARON FORMACIÓN A SUS TRABAJADORES SEGÚN GRADO DE RELEVANCIA DE POSIBLES OBJETIVOS DE LAS ACCIONES FORMATIVAS ,Adaptación impuesta por cambios normativos,9.211,24.064,41.034,25.691
