,cluster_demografico,nombre_segmento
140,1,Activos Operarios
141,2,Activos Directivos
142,3,Consolidados Técnicos
143,1,Activos Operarios
144,2,Activos Directivos
145,0,Seniors Jubilados
146,1,Activos Operarios
147,1,Activos Operarios
148,0,Seniors Jubilados
149,1,Activos Operarios
150,2,Activos Directivos
151,1,Activos Operarios
152,1,Activos Operarios
153,3,Consolidados Técnicos
154,2,Activos Directivos
155,1,Activos Operarios
156,1,Activos Operarios
157,1,Activos Operarios
158,1,Activos Operarios
159,2,Activos Directivos
160,1,Activos Operarios
161,2,Activos Directivos
162,1,Activos Operarios
163,3,Consolidados Técnicos
164,1,Activos Operarios
165,2,Activos Directivos
166,0,Seniors Jubilados
167,3,Consolidados Técnicos
168,0,Seniors Jubilados
169,0,Seniors Jubilados
170,1,Activos Operarios
171,1,Activos Operarios
172,3,Consolidados Técnicos
173,1,Activos Operarios
174,2,Activos Directivos
175,1,Activos Operarios
176,3,Consolidados Técnicos
177,2,Activos Directivos
178,3,Consolidados Técnicos
179,1,Activos Operarios
180,2,Activos Directivos
181,2,Activos Directivos
182,3,Consolidados Técnicos
183,2,Activos Directivos
184,3,Consolidados Técnicos
185,2,Activos Directivos
186,1,Activos Operarios
187,1,Activos Operarios
188,1,Activos Operarios
189,3,Consolidados Técnicos
190,1,Activos Operarios
191,1,Activos Operarios
192,3,Consolidados Técnicos
193,2,Activos Directivos
194,1,Activos Operarios
195,3,Consolidados Técnicos
196,1,Activos Operarios
197,2,Activos Directivos
198,3,Consolidados Técnicos
199,1,Activos Operarios
200,2,Activos Directivos
201,2,Activos Directivos
202,3,Consolidados Técnicos
203,2,Activos Directivos
204,1,Activos Operarios
205,2,Activos Directivos
206,2,Activos Directivos
207,2,Activos Directivos
208,1,Activos Operarios
209,3,Consolidados Técnicos
210,3,Consolidados Técnicos
211,1,Activos Operarios
212,1,Activos Operarios
213,2,Activos Directivos
214,1,Activos Operarios
215,1,Activos Operarios
216,3,Consolidados Técnicos
217,3,Consolidados Técnicos
218,1,Activos Operarios
219,1,Activos Operarios
220,1,Activos Operarios
221,2,Activos Directivos
222,1,Activos Operarios
223,3,Consolidados Técnicos
224,2,Activos Directivos
225,1,Activos Operarios
226,3,Consolidados Técnicos
227,1,Activos Operarios
228,1,Activos Operarios
229,2,Activos Directivos
230,1,Activos Operarios
231,1,Activos Operarios
232,1,Activos Operarios
233,1,Activos Operarios
234,2,Activos Directivos
235,2,Activos Directivos
236,1,Activos Operarios
237,1,Activos Operarios
238,0,Seniors Jubilados
239,3,Consolidados Técnicos
240,0,Seniors Jubilados
241,2,Activos Directivos
242,3,Consolidados Técnicos
243,3,Consolidados Técnicos
244,1,Activos Operarios
245,3,Consolidados Técnicos
246,3,Consolidados Técnicos
247,3,Consolidados Técnicos
248,0,Seniors Jubilados
249,3,Consolidados Técnicos
250,1,Activos Operarios
251,3,Consolidados Técnicos
252,3,Consolidados Técnicos
253,1,Activos Operarios
254,1,Activos Operarios
255,1,Activos Operarios
256,2,Activos Directivos
257,1,Activos Operarios
258,2,Activos Directivos
259,1,Activos Operarios
260,3,Consolidados Técnicos
261,1,Activos Operarios
262,2,Activos Directivos
263,1,Activos Operarios
264,0,Seniors Jubilados
265,3,Consolidados Técnicos
266,3,Consolidados Técnicos
267,2,Activos Directivos
268,0,Seniors Jubilados
269,3,Consolidados Técnicos
270,3,Consolidados Técnicos
271,0,Seniors Jubilados
272,0,Seniors Jubilados
273,2,Activos Directivos
274,2,Activos Directivos
275,3,Consolidados Técnicos
276,3,Consolidados Técnicos
277,2,Activos Directivos
278,0,Seniors Jubilados
279,0,Seniors Jubilados
280,0,Seniors Jubilados
281,0,Seniors Jubilados
282,3,Consolidados Técnicos
283,1,Activos Operarios
284,2,Activos Directivos
285,2,Activos Directivos
286,0,Seniors Jubilados
287,0,Seniors Jubilados
288,2,Activos Directivos
289,3,Consolidados Técnicos
290,2,Activos Directivos
291,2,Activos Directivos
292,3,Consolidados Técnicos
293,2,Activos Directivos
294,1,Activos Operarios
295,3,Consolidados Técnicos
296,1,Activos Operarios
297,0,Seniors Jubilados
298,3,Consolidados Técnicos
299,2,Activos Directivos
300,1,Activos Operarios
301,3,Consolidados Técnicos
302,3,Consolidados Técnicos
303,3,Consolidados Técnicos
304,3,Consolidados Técnicos
305,2,Activos Directivos
306,2,Activos Directivos
307,3,Consolidados Técnicos
308,2,Activos Directivos
309,2,Activos Directivos
310,2,Activos Directivos
311,2,Activos Directivos
312,0,Seniors Jubilados
313,2,Activos Directivos
314,3,Consolidados Técnicos
315,1,Activos Operarios
316,2,Activos Directivos
317,1,Activos Operarios
318,3,Consolidados Técnicos
319,1,Activos Operarios
320,3,Consolidados Técnicos
321,1,Activos Operarios
322,3,Consolidados Técnicos
323,3,Consolidados Técnicos
324,0,Seniors Jubilados
325,3,Consolidados Técnicos
326,0,Seniors Jubilados
327,3,Consolidados Técnicos
328,2,Activos Directivos
329,0,Seniors Jubilados
330,1,Activos Operarios
331,3,Consolidados Técnicos
332,1,Activos Operarios
333,1,Activos Operarios
334,3,Consolidados Técnicos
335,3,Consolidados Técnicos
336,1,Activos Operarios
337,0,Seniors Jubilados
338,0,Seniors Jubilados
339,0,Seniors Jubilados
340,0,Seniors Jubilados
341,1,Activos Operarios
342,3,Consolidados Técnicos
343,0,Seniors Jubilados
344,3,Consolidados Técnicos
345,3,Consolidados Técnicos
346,3,Consolidados Técnicos
347,2,Activos Directivos
348,1,Activos Operarios
349,3,Consolidados Técnicos
350,2,Activos Directivos
351,2,Activos Directivos
352,1,Activos Operarios
353,1,Activos Operarios
354,2,Activos Directivos
355,1,Activos Operarios
356,1,Activos Operarios
357,2,Activos Directivos
358,1,Activos Operarios
359,1,Activos Operarios
360,1,Activos Operarios
361,1,Activos Operarios
362,2,Activos Directivos
363,1,Activos Operarios
364,1,Activos Operarios
365,1,Activos Operarios
366,2,Activos Directivos
367,1,Activos Operarios
368,0,Seniors Jubilados
369,3,Consolidados Técnicos
370,3,Consolidados Técnicos
371,3,Consolidados Técnicos
372,1,Activos Operarios
373,2,Activos Directivos
374,3,Consolidados Técnicos
375,2,Activos Directivos
376,3,Consolidados Técnicos
377,1,Activos Operarios
378,1,Activos Operarios
379,3,Consolidados Técnicos
380,1,Activos Operarios
381,0,Seniors Jubilados
382,3,Consolidados Técnicos
383,1,Activos Operarios
384,2,Activos Directivos
385,1,Activos Operarios
386,3,Consolidados Técnicos
387,1,Activos Operarios
388,1,Activos Operarios
389,1,Activos Operarios
390,1,Activos Operarios
391,2,Activos Directivos
392,2,Activos Directivos
393,2,Activos Directivos
394,1,Activos Operarios
395,3,Consolidados Técnicos
396,0,Seniors Jubilados
397,1,Activos Operarios
398,1,Activos Operarios
399,1,Activos Operarios
400,1,Activos Operarios
401,2,Activos Directivos
402,2,Activos Directivos
403,3,Consolidados Técnicos
404,2,Activos Directivos
405,3,Consolidados Técnicos
406,2,Activos Directivos
407,3,Consolidados Técnicos
408,2,Activos Directivos
409,1,Activos Operarios
410,2,Activos Directivos
411,1,Activos Operarios
412,2,Activos Directivos
413,3,Consolidados Técnicos
414,1,Activos Operarios
415,1,Activos Operarios
416,1,Activos Operarios
417,1,Activos Operarios
418,3,Consolidados Técnicos
419,2,Activos Directivos
420,1,Activos Operarios
421,1,Activos Operarios
422,1,Activos Operarios
423,1,Activos Operarios
424,3,Consolidados Técnicos
425,0,Seniors Jubilados
426,2,Activos Directivos
427,3,Consolidados Técnicos
428,1,Activos Operarios
429,1,Activos Operarios
430,1,Activos Operarios
431,2,Activos Directivos
432,1,Activos Operarios
433,3,Consolidados Técnicos
434,0,Seniors Jubilados
435,0,Seniors Jubilados
436,2,Activos Directivos
437,0,Seniors Jubilados
438,3,Consolidados Técnicos
439,3,Consolidados Técnicos
440,2,Activos Directivos
441,2,Activos Directivos
442,3,Consolidados Técnicos
443,2,Activos Directivos
444,3,Consolidados Técnicos
445,2,Activos Directivos
446,3,Consolidados Técnicos
447,3,Consolidados Técnicos
448,1,Activos Operarios
449,2,Activos Directivos
450,0,Seniors Jubilados
451,1,Activos Operarios
452,0,Seniors Jubilados
453,2,Activos Directivos
454,1,Activos Operarios
455,3,Consolidados Técnicos
456,0,Seniors Jubilados
457,3,Consolidados Técnicos
458,2,Activos Directivos
459,1,Activos Operarios
460,3,Consolidados Técnicos
461,1,Activos Operarios
462,2,Activos Directivos
463,2,Activos Directivos
464,1,Activos Operarios
465,1,Activos Operarios
466,1,Activos Operarios
467,1,Activos Operarios
468,2,Activos Directivos
469,3,Consolidados Técnicos
470,2,Activos Directivos
471,1,Activos Operarios
472,2,Activos Directivos
473,0,Seniors Jubilados
474,1,Activos Operarios
475,3,Consolidados Técnicos
476,1,Activos Operarios
477,1,Activos Operarios
478,3,Consolidados Técnicos
479,3,Consolidados Técnicos
480,1,Activos Operarios
481,2,Activos Directivos
482,2,Activos Directivos
483,1,Activos Operarios
484,3,Consolidados Técnicos
485,1,Activos Operarios
486,1,Activos Operarios
487,2,Activos Directivos
488,1,Activos Operarios
489,1,Activos Operarios
490,3,Consolidados Técnicos
491,1,Activos Operarios
492,1,Activos Operarios
493,3,Consolidados Técnicos
494,3,Consolidados Técnicos
495,2,Activos Directivos
496,1,Activos Operarios
497,3,Consolidados Técnicos
498,3,Consolidados Técnicos
499,3,Consolidados Técnicos
500,1,Activos Operarios
501,0,Seniors Jubilados
502,1,Activos Operarios
503,1,Activos Operarios
504,2,Activos Directivos
505,3,Consolidados Técnicos
506,1,Activos Operarios
507,1,Activos Operarios
508,1,Activos Operarios
509,3,Consolidados Técnicos
510,1,Activos Operarios
511,1,Activos Operarios
512,1,Activos Operarios
513,2,Activos Directivos
514,2,Activos Directivos
515,1,Activos Operarios
516,0,Seniors Jubilados
517,3,Consolidados Técnicos
518,2,Activos Directivos
519,3,Consolidados Técnicos
520,3,Consolidados Técnicos
521,0,Seniors Jubilados
522,3,Consolidados Técnicos
523,0,Seniors Jubilados
524,0,Seniors Jubilados
525,1,Activos Operarios
526,1,Activos Operarios
527,1,Activos Operarios
528,2,Activos Directivos
529,1,Activos Operarios
530,2,Activos Directivos
531,2,Activos Directivos
532,2,Activos Directivos
533,2,Activos Directivos
534,3,Consolidados Técnicos
535,2,Activos Directivos
536,3,Consolidados Técnicos
537,2,Activos Directivos
538,1,Activos Operarios
539,1,Activos Operarios
540,1,Activos Operarios
541,1,Activos Operarios
542,2,Activos Directivos
543,1,Activos Operarios
544,2,Activos Directivos
545,1,Activos Operarios
546,1,Activos Operarios
547,1,Activos Operarios
548,1,Activos Operarios
549,1,Activos Operarios
550,3,Consolidados Técnicos
551,3,Consolidados Técnicos
552,1,Activos Operarios
553,3,Consolidados Técnicos
554,3,Consolidados Técnicos
555,2,Activos Directivos
556,3,Consolidados Técnicos
557,1,Activos Operarios
558,0,Seniors Jubilados
559,2,Activos Directivos
560,3,Consolidados Técnicos
561,3,Consolidados Técnicos
562,3,Consolidados Técnicos
563,3,Consolidados Técnicos
564,2,Activos Directivos
565,1,Activos Operarios
566,3,Consolidados Técnicos
567,2,Activos Directivos
568,1,Activos Operarios
569,3,Consolidados Técnicos
570,1,Activos Operarios
571,1,Activos Operarios
572,3,Consolidados Técnicos
573,1,Activos Operarios
574,1,Activos Operarios
575,0,Seniors Jubilados
576,1,Activos Operarios
577,1,Activos Operarios
578,3,Consolidados Técnicos
579,3,Consolidados Técnicos
580,1,Activos Operarios
581,2,Activos Directivos
582,1,Activos Operarios
583,3,Consolidados Técnicos
584,3,Consolidados Técnicos
585,2,Activos Directivos
586,3,Consolidados Técnicos
587,2,Activos Directivos
588,1,Activos Operarios
589,0,Seniors Jubilados
590,3,Consolidados Técnicos
591,0,Seniors Jubilados
592,2,Activos Directivos
593,1,Activos Operarios
594,3,Consolidados Técnicos
595,2,Activos Directivos
596,3,Consolidados Técnicos
597,2,Activos Directivos
598,2,Activos Directivos
599,3,Consolidados Técnicos
600,3,Consolidados Técnicos
601,1,Activos Operarios
602,3,Consolidados Técnicos
603,3,Consolidados Técnicos
604,2,Activos Directivos
605,1,Activos Operarios
606,0,Seniors Jubilados
607,3,Consolidados Técnicos
608,3,Consolidados Técnicos
609,2,Activos Directivos
610,3,Consolidados Técnicos
611,3,Consolidados Técnicos
612,3,Consolidados Técnicos
613,0,Seniors Jubilados
614,3,Consolidados Técnicos
615,0,Seniors Jubilados
616,3,Consolidados Técnicos
617,3,Consolidados Técnicos
618,3,Consolidados Técnicos
619,3,Consolidados Técnicos
620,2,Activos Directivos
621,0,Seniors Jubilados
622,3,Consolidados Técnicos
623,3,Consolidados Técnicos
624,0,Seniors Jubilados
625,3,Consolidados Técnicos
626,0,Seniors Jubilados
627,3,Consolidados Técnicos
628,2,Activos Directivos
629,3,Consolidados Técnicos
630,3,Consolidados Técnicos
631,3,Consolidados Técnicos
632,3,Consolidados Técnicos
633,2,Activos Directivos
634,0,Seniors Jubilados
635,3,Consolidados Técnicos
636,1,Activos Operarios
637,0,Seniors Jubilados
638,3,Consolidados Técnicos
639,3,Consolidados Técnicos
640,1,Activos Operarios
641,2,Activos Directivos
642,1,Activos Operarios
643,3,Consolidados Técnicos
644,3,Consolidados Técnicos
645,3,Consolidados Técnicos
646,3,Consolidados Técnicos
647,0,Seniors Jubilados
648,1,Activos Operarios
649,3,Consolidados Técnicos
650,3,Consolidados Técnicos
651,3,Consolidados Técnicos
652,3,Consolidados Técnicos
653,3,Consolidados Técnicos
654,0,Seniors Jubilados
655,3,Consolidados Técnicos
656,3,Consolidados Técnicos
657,3,Consolidados Técnicos
658,2,Activos Directivos
659,0,Seniors Jubilados
660,3,Consolidados Técnicos
661,0,Seniors Jubilados
662,0,Seniors Jubilados
663,3,Consolidados Técnicos
664,3,Consolidados Técnicos
665,3,Consolidados Técnicos
666,0,Seniors Jubilados
667,0,Seniors Jubilados
668,3,Consolidados Técnicos
669,0,Seniors Jubilados
670,0,Seniors Jubilados
671,3,Consolidados Técnicos
672,2,Activos Directivos
673,0,Seniors Jubilados
674,3,Consolidados Técnicos
675,3,Consolidados Técnicos
676,2,Activos Directivos
677,3,Consolidados Técnicos
678,3,Consolidados Técnicos
679,0,Seniors Jubilados
680,3,Consolidados Técnicos
681,0,Seniors Jubilados
682,0,Seniors Jubilados
683,3,Consolidados Técnicos
684,2,Activos Directivos
685,3,Consolidados Técnicos
686,2,Activos Directivos
687,2,Activos Directivos
688,2,Activos Directivos
689,2,Activos Directivos
690,2,Activos Directivos
691,3,Consolidados Técnicos
692,3,Consolidados Técnicos
693,2,Activos Directivos
694,3,Consolidados Técnicos
695,1,Activos Operarios
696,1,Activos Operarios
697,2,Activos Directivos
698,3,Consolidados Técnicos
699,3,Consolidados Técnicos
700,3,Consolidados Técnicos
701,2,Activos Directivos
702,3,Consolidados Técnicos
703,3,Consolidados Técnicos
704,3,Consolidados Técnicos
705,3,Consolidados Técnicos
706,0,Seniors Jubilados
707,2,Activos Directivos
708,0,Seniors Jubilados
709,2,Activos Directivos
710,3,Consolidados Técnicos
711,3,Consolidados Técnicos
712,2,Activos Directivos
713,1,Activos Operarios
714,3,Consolidados Técnicos
715,1,Activos Operarios
716,3,Consolidados Técnicos
717,2,Activos Directivos
718,2,Activos Directivos
719,2,Activos Directivos
720,3,Consolidados Técnicos
721,2,Activos Directivos
722,2,Activos Directivos
723,3,Consolidados Técnicos
724,3,Consolidados Técnicos
725,2,Activos Directivos
726,2,Activos Directivos
727,2,Activos Directivos
728,3,Consolidados Técnicos
729,2,Activos Directivos
730,2,Activos Directivos
731,3,Consolidados Técnicos
732,2,Activos Directivos
733,2,Activos Directivos
734,2,Activos Directivos
735,0,Seniors Jubilados
736,2,Activos Directivos
737,2,Activos Directivos
738,3,Consolidados Técnicos
739,3,Consolidados Técnicos
740,1,Activos Operarios
741,2,Activos Directivos
742,1,Activos Operarios
743,3,Consolidados Técnicos
744,2,Activos Directivos
745,3,Consolidados Técnicos
746,3,Consolidados Técnicos
747,0,Seniors Jubilados
748,2,Activos Directivos
749,0,Seniors Jubilados
750,1,Activos Operarios
751,2,Activos Directivos
752,1,Activos Operarios
753,2,Activos Directivos
754,1,Activos Operarios
755,3,Consolidados Técnicos
756,3,Consolidados Técnicos
757,3,Consolidados Técnicos
758,3,Consolidados Técnicos
759,2,Activos Directivos
760,2,Activos Directivos
761,2,Activos Directivos
762,2,Activos Directivos
763,2,Activos Directivos
764,3,Consolidados Técnicos
765,1,Activos Operarios
766,3,Consolidados Técnicos
767,0,Seniors Jubilados
768,3,Consolidados Técnicos
769,0,Seniors Jubilados
770,3,Consolidados Técnicos
771,1,Activos Operarios
772,2,Activos Directivos
773,2,Activos Directivos
774,1,Activos Operarios
775,3,Consolidados Técnicos
776,0,Seniors Jubilados
777,3,Consolidados Técnicos
778,2,Activos Directivos
779,2,Activos Directivos
780,2,Activos Directivos
781,3,Consolidados Técnicos
782,2,Activos Directivos
783,1,Activos Operarios
784,1,Activos Operarios
785,3,Consolidados Técnicos
786,2,Activos Directivos
787,2,Activos Directivos
788,0,Seniors Jubilados
789,0,Seniors Jubilados
790,2,Activos Directivos
791,2,Activos Directivos
792,2,Activos Directivos
793,2,Activos Directivos
794,3,Consolidados Técnicos
795,1,Activos Operarios
796,2,Activos Directivos
797,0,Seniors Jubilados
798,3,Consolidados Técnicos
799,1,Activos Operarios
800,3,Consolidados Técnicos
801,3,Consolidados Técnicos
802,0,Seniors Jubilados
803,2,Activos Directivos
804,1,Activos Operarios
805,0,Seniors Jubilados
806,2,Activos Directivos
807,3,Consolidados Técnicos
808,0,Seniors Jubilados
809,2,Activos Directivos
810,0,Seniors Jubilados
811,2,Activos Directivos
812,3,Consolidados Técnicos
813,0,Seniors Jubilados
814,0,Seniors Jubilados
815,3,Consolidados Técnicos
816,3,Consolidados Técnicos
817,2,Activos Directivos
818,3,Consolidados Técnicos
819,1,Activos Operarios
820,2,Activos Directivos
821,3,Consolidados Técnicos
822,2,Activos Directivos
823,2,Activos Directivos
824,3,Consolidados Técnicos
825,2,Activos Directivos
826,3,Consolidados Técnicos
827,0,Seniors Jubilados
828,1,Activos Operarios
829,2,Activos Directivos
830,3,Consolidados Técnicos
831,1,Activos Operarios
832,0,Seniors Jubilados
833,0,Seniors Jubilados
834,2,Activos Directivos
835,3,Consolidados Técnicos
836,1,Activos Operarios
837,0,Seniors Jubilados
838,0,Seniors Jubilados
839,2,Activos Directivos
840,3,Consolidados Técnicos
841,2,Activos Directivos
842,2,Activos Directivos
843,3,Consolidados Técnicos
844,2,Activos Directivos
845,3,Consolidados Técnicos
846,2,Activos Directivos
847,3,Consolidados Técnicos
848,0,Seniors Jubilados
849,3,Consolidados Técnicos
850,0,Seniors Jubilados
851,3,Consolidados Técnicos
852,2,Activos Directivos
853,2,Activos Directivos
854,0,Seniors Jubilados
855,0,Seniors Jubilados
856,2,Activos Directivos
857,2,Activos Directivos
858,3,Consolidados Técnicos
859,3,Consolidados Técnicos
860,3,Consolidados Técnicos
861,0,Seniors Jubilados
862,3,Consolidados Técnicos
863,3,Consolidados Técnicos
864,1,Activos Operarios
865,2,Activos Directivos
866,2,Activos Directivos
867,0,Seniors Jubilados
868,0,Seniors Jubilados
869,2,Activos Directivos
870,2,Activos Directivos
871,2,Activos Directivos
872,2,Activos Directivos
873,3,Consolidados Técnicos
874,2,Activos Directivos
875,3,Consolidados Técnicos
876,3,Consolidados Técnicos
877,3,Consolidados Técnicos
878,2,Activos Directivos
879,1,Activos Operarios
880,2,Activos Directivos
881,3,Consolidados Técnicos
882,2,Activos Directivos
883,2,Activos Directivos
884,3,Consolidados Técnicos
885,3,Consolidados Técnicos
886,2,Activos Directivos
887,3,Consolidados Técnicos
888,1,Activos Operarios
889,1,Activos Operarios
890,3,Consolidados Técnicos
891,1,Activos Operarios
892,3,Consolidados Técnicos
893,3,Consolidados Técnicos
894,1,Activos Operarios
895,1,Activos Operarios
896,1,Activos Operarios
897,3,Consolidados Técnicos
898,3,Consolidados Técnicos
899,0,Seniors Jubilados
900,2,Activos Directivos
901,3,Consolidados Técnicos
902,3,Consolidados Técnicos
903,0,Seniors Jubilados
904,2,Activos Directivos
905,1,Activos Operarios
906,2,Activos Directivos
907,3,Consolidados Técnicos
908,3,Consolidados Técnicos
909,3,Consolidados Técnicos
910,2,Activos Directivos
911,0,Seniors Jubilados
912,2,Activos Directivos
913,3,Consolidados Técnicos
914,3,Consolidados Técnicos
915,2,Activos Directivos
916,1,Activos Operarios
917,1,Activos Operarios
918,3,Consolidados Técnicos
919,0,Seniors Jubilados
920,0,Seniors Jubilados
921,0,Seniors Jubilados
922,2,Activos Directivos
923,2,Activos Directivos
924,0,Seniors Jubilados
925,3,Consolidados Técnicos
926,2,Activos Directivos
927,1,Activos Operarios
928,3,Consolidados Técnicos
929,3,Consolidados Técnicos
930,2,Activos Directivos
931,2,Activos Directivos
932,1,Activos Operarios
933,2,Activos Directivos
934,3,Consolidados Técnicos
935,0,Seniors Jubilados
936,1,Activos Operarios
937,1,Activos Operarios
938,1,Activos Operarios
939,1,Activos Operarios
940,1,Activos Operarios
941,0,Seniors Jubilados
942,0,Seniors Jubilados
943,1,Activos Operarios
944,2,Activos Directivos
945,3,Consolidados Técnicos
946,0,Seniors Jubilados
947,1,Activos Operarios
948,0,Seniors Jubilados
949,0,Seniors Jubilados
950,0,Seniors Jubilados
951,0,Seniors Jubilados
952,3,Consolidados Técnicos
953,3,Consolidados Técnicos
954,3,Consolidados Técnicos
955,1,Activos Operarios
956,1,Activos Operarios
957,3,Consolidados Técnicos
958,2,Activos Directivos
959,2,Activos Directivos
960,3,Consolidados Técnicos
961,2,Activos Directivos
962,3,Consolidados Técnicos
963,2,Activos Directivos
964,3,Consolidados Técnicos
965,0,Seniors Jubilados
966,2,Activos Directivos
967,3,Consolidados Técnicos
968,2,Activos Directivos
969,0,Seniors Jubilados
970,1,Activos Operarios
971,1,Activos Operarios
972,3,Consolidados Técnicos
973,2,Activos Directivos
974,2,Activos Directivos
975,1,Activos Operarios
976,1,Activos Operarios
977,2,Activos Directivos
978,3,Consolidados Técnicos
979,3,Consolidados Técnicos
980,1,Activos Operarios
981,3,Consolidados Técnicos
982,1,Activos Operarios
983,1,Activos Operarios
984,3,Consolidados Técnicos
985,3,Consolidados Técnicos
986,1,Activos Operarios
987,2,Activos Directivos
988,1,Activos Operarios
989,1,Activos Operarios
990,3,Consolidados Técnicos
991,2,Activos Directivos
992,3,Consolidados Técnicos
993,2,Activos Directivos
994,2,Activos Directivos
995,1,Activos Operarios
996,2,Activos Directivos
997,1,Activos Operarios
998,1,Activos Operarios
999,1,Activos Operarios
1000,1,Activos Operarios
1001,1,Activos Operarios
1002,1,Activos Operarios
1003,3,Consolidados Técnicos
1004,3,Consolidados Técnicos
1005,2,Activos Directivos
1006,2,Activos Directivos
1007,2,Activos Directivos
1008,1,Activos Operarios
1009,1,Activos Operarios
1010,3,Consolidados Técnicos
1011,3,Consolidados Técnicos
1012,3,Consolidados Técnicos
1013,2,Activos Directivos
1014,1,Activos Operarios
1015,3,Consolidados Técnicos
1016,3,Consolidados Técnicos
1017,3,Consolidados Técnicos
1018,3,Consolidados Técnicos
1019,0,Seniors Jubilados
1020,1,Activos Operarios
1021,1,Activos Operarios
1022,2,Activos Directivos
1023,2,Activos Directivos
1024,2,Activos Directivos
1025,3,Consolidados Técnicos
1026,1,Activos Operarios
1027,0,Seniors Jubilados
1028,0,Seniors Jubilados
1029,3,Consolidados Técnicos
1030,1,Activos Operarios
1031,3,Consolidados Técnicos
1032,3,Consolidados Técnicos
1033,3,Consolidados Técnicos
1034,2,Activos Directivos
1035,1,Activos Operarios
1036,3,Consolidados Técnicos
1037,1,Activos Operarios
1038,1,Activos Operarios
1039,3,Consolidados Técnicos
1040,2,Activos Directivos
1041,2,Activos Directivos
1042,3,Consolidados Técnicos
1043,3,Consolidados Técnicos
1044,1,Activos Operarios
1045,1,Activos Operarios
1046,2,Activos Directivos
1047,0,Seniors Jubilados
1048,2,Activos Directivos
1049,3,Consolidados Técnicos
1050,3,Consolidados Técnicos
1051,1,Activos Operarios
