ID,Reason_absence,Month_absence,Day_week,Seasons,Work_load_Average_day,Hit_target,Disciplinary_failure,Absenteeism_hours,Month_absence_order,Day_week_order
24,19,Marzo,Miercoles,Otono,244.387,98,0,16,3,4
3,28,Marzo,Lunes,Otono,244.387,98,0,16,3,2
5,13,Mayo,Lunes,Verano,246.074,99,0,16,5,2
18,23,Agosto,Jueves,Invierno,249.797,93,0,16,8,5
22,13,Diciembre,Martes,Primavera,280.549,98,0,16,12,3
22,12,Enero,Jueves,Otono,313.532,96,0,16,1,5
6,22,Julio,Martes,Invierno,264.604,93,0,16,7,3
10,22,Julio,Viernes,Invierno,239.554,97,0,8,7,6
1,22,Julio,Lunes,Invierno,239.554,97,0,8,7,2
20,1,Julio,Lunes,Invierno,239.554,97,0,8,7,2
20,1,Julio,Martes,Invierno,239.554,97,0,8,7,3
20,11,Julio,Miercoles,Invierno,239.554,97,0,8,7,4
24,14,Julio,Viernes,Invierno,239.554,97,0,8,7,6
3,21,Julio,Lunes,Invierno,239.554,97,0,8,7,2
6,11,Julio,Jueves,Invierno,239.554,97,0,8,7,5
18,10,Agosto,Miercoles,Invierno,205.917,92,0,8,8,4
11,18,Agosto,Lunes,Invierno,205.917,92,0,8,8,2
11,18,Agosto,Miercoles,Invierno,205.917,92,0,8,8,4
3,18,Agosto,Lunes,Invierno,205.917,92,0,8,8,2
2,18,Agosto,Jueves,Invierno,205.917,92,0,8,8,5
2,18,Agosto,Lunes,Invierno,205.917,92,0,8,8,2
11,24,Agosto,Martes,Invierno,205.917,92,0,8,8,3
2,28,Agosto,Viernes,Invierno,205.917,92,0,8,8,6
5,19,Septiembre,Martes,Invierno,241.476,92,0,8,9,3
20,22,Septiembre,Viernes,Invierno,241.476,92,0,8,9,6
3,23,Octubre,Miercoles,Primavera,253.465,93,0,8,10,4
15,14,Octubre,Martes,Primavera,253.465,93,0,8,10,3
11,26,Octubre,Miercoles,Primavera,253.465,93,0,8,10,4
3,13,Noviembre,Jueves,Primavera,306.345,93,0,8,11,5
17,21,Noviembre,Jueves,Primavera,306.345,93,0,8,11,5
6,22,Noviembre,Lunes,Primavera,306.345,93,0,8,11,2
14,6,Noviembre,Viernes,Primavera,306.345,93,0,8,11,6
17,21,Noviembre,Miercoles,Primavera,306.345,93,0,8,11,4
1,26,Diciembre,Miercoles,Primavera,261.306,97,0,8,12,4
20,26,Diciembre,Viernes,Primavera,261.306,97,0,8,12,6
10,22,Diciembre,Miercoles,Primavera,261.306,97,0,8,12,4
24,19,Diciembre,Viernes,Otono,261.306,97,0,8,12,6
14,18,Enero,Martes,Otono,308.593,95,0,8,1,3
22,18,Enero,Martes,Otono,308.593,95,0,8,1,3
11,18,Enero,Martes,Otono,308.593,95,0,8,1,3
24,1,Febrero,Miercoles,Otono,302.585,99,0,8,2,4
3,11,Febrero,Miercoles,Otono,302.585,99,0,8,2,4
6,23,Febrero,Jueves,Otono,302.585,99,0,8,2,5
11,22,Febrero,Viernes,Otono,302.585,99,0,8,2,6
31,11,Febrero,Lunes,Otono,302.585,99,0,8,2,2
31,1,Febrero,Martes,Otono,302.585,99,0,8,2,3
27,23,Febrero,Martes,Otono,302.585,99,0,8,2,3
18,18,Febrero,Lunes,Otono,302.585,99,0,8,2,2
6,19,Febrero,Jueves,Otono,302.585,99,0,8,2,5
20,19,Marzo,Martes,Otono,343.253,95,0,8,3,3
17,17,Marzo,Martes,Otono,343.253,95,0,8,3,3
15,22,Marzo,Miercoles,Otono,343.253,95,0,8,3,4
20,13,Marzo,Miercoles,Otono,343.253,95,0,8,3,4
22,13,Marzo,Jueves,Otono,343.253,95,0,8,3,5
14,13,Marzo,Martes,Otono,343.253,95,0,8,3,3
11,6,Marzo,Jueves,Otono,343.253,95,0,8,3,5
17,8,Marzo,Jueves,Otono,343.253,95,0,8,3,5
7,14,Marzo,Lunes,Otono,343.253,95,0,8,3,2
28,11,Marzo,Lunes,Verano,343.253,95,0,8,3,2
28,11,Marzo,Martes,Verano,343.253,95,0,8,3,3
24,14,Abril,Viernes,Verano,326.452,96,0,8,4,6
33,28,Abril,Viernes,Verano,326.452,96,0,8,4,6
11,19,Abril,Martes,Verano,326.452,96,0,8,4,3
23,19,Abril,Miercoles,Verano,326.452,96,0,8,4,4
11,13,Mayo,Miercoles,Verano,378.884,92,0,8,5,4
3,18,Mayo,Martes,Verano,378.884,92,0,8,5,3
28,19,Mayo,Martes,Verano,378.884,92,0,8,5,3
10,22,Mayo,Viernes,Verano,378.884,92,0,8,5,6
24,19,Junio,Lunes,Verano,377.55,94,0,8,6,2
10,22,Junio,Lunes,Verano,377.55,94,0,8,6,2
24,10,Junio,Viernes,Verano,377.55,94,0,8,6,6
3,11,Junio,Lunes,Verano,377.55,94,0,8,6,2
24,10,Junio,Lunes,Verano,377.55,94,0,8,6,2
36,13,Junio,Miercoles,Verano,377.55,94,0,8,6,4
23,22,Junio,Jueves,Verano,377.55,94,0,8,6,5
36,1,Julio,Miercoles,Invierno,275.312,98,0,8,7,4
34,5,Julio,Viernes,Invierno,275.312,98,0,8,7,6
18,26,Julio,Martes,Invierno,275.312,98,0,8,7,3
22,18,Julio,Jueves,Invierno,275.312,98,0,8,7,5
18,1,Julio,Lunes,Invierno,275.312,98,0,8,7,2
18,1,Julio,Martes,Invierno,275.312,98,0,8,7,3
10,22,Julio,Martes,Invierno,275.312,98,0,8,7,3
11,26,Julio,Miercoles,Invierno,275.312,98,0,8,7,4
3,26,Julio,Jueves,Invierno,275.312,98,0,8,7,5
11,19,Julio,Jueves,Invierno,275.312,98,0,8,7,5
11,19,Agosto,Viernes,Invierno,265.615,94,0,8,8,6
9,18,Agosto,Martes,Invierno,265.615,94,0,8,8,3
21,11,Agosto,Jueves,Invierno,265.615,94,0,8,8,5
1,19,Agosto,Jueves,Invierno,265.615,94,0,8,8,5
10,8,Agosto,Martes,Invierno,265.615,94,0,8,8,3
27,6,Agosto,Miercoles,Invierno,265.615,94,0,8,8,4
3,11,Septiembre,Lunes,Invierno,294.217,81,0,8,9,2
3,13,Septiembre,Miercoles,Invierno,294.217,81,0,8,9,4
5,26,Septiembre,Miercoles,Primavera,294.217,81,0,8,9,4
3,13,Septiembre,Lunes,Primavera,294.217,81,0,8,9,2
11,24,Octubre,Lunes,Primavera,265.017,88,0,8,10,2
11,26,Octubre,Lunes,Primavera,265.017,88,0,8,10,2
11,22,Octubre,Viernes,Primavera,265.017,88,0,8,10,6
22,1,Octubre,Lunes,Primavera,265.017,88,0,8,10,2
13,22,Octubre,Lunes,Primavera,265.017,88,0,8,10,2
10,10,Octubre,Lunes,Primavera,265.017,88,0,8,10,2
34,11,Noviembre,Lunes,Primavera,284.031,97,0,8,11,2
3,6,Noviembre,Martes,Primavera,284.031,97,0,8,11,3
23,1,Noviembre,Lunes,Primavera,284.031,97,0,8,11,2
5,26,Noviembre,Lunes,Primavera,284.031,97,0,8,11,2
24,13,Noviembre,Viernes,Primavera,284.031,97,0,8,11,6
24,13,Noviembre,Lunes,Primavera,284.031,97,0,8,11,2
20,10,Noviembre,Miercoles,Primavera,284.031,97,0,8,11,4
20,15,Noviembre,Viernes,Primavera,284.031,97,0,8,11,6
24,4,Diciembre,Jueves,Primavera,236.629,93,0,8,12,5
34,25,Diciembre,Martes,Primavera,236.629,93,0,8,12,3
5,13,Diciembre,Martes,Otono,236.629,93,0,8,12,3
20,26,Diciembre,Miercoles,Otono,236.629,93,0,8,12,4
11,19,Diciembre,Lunes,Otono,236.629,93,0,8,12,2
11,26,Enero,Lunes,Otono,330.061,100,0,8,1,2
15,3,Enero,Miercoles,Otono,330.061,100,0,8,1,4
5,26,Enero,Lunes,Otono,330.061,100,0,8,1,2
3,10,Febrero,Jueves,Otono,251.818,96,0,8,2,5
24,26,Febrero,Jueves,Otono,251.818,96,0,8,2,5
6,22,Febrero,Lunes,Otono,251.818,96,0,8,2,2
34,18,Marzo,Martes,Otono,244.387,98,0,8,3,3
1,22,Marzo,Lunes,Otono,244.387,98,0,8,3,2
17,22,Marzo,Martes,Otono,244.387,98,0,8,3,3
23,22,Marzo,Martes,Otono,244.387,98,0,8,3,3
10,22,Marzo,Miercoles,Otono,244.387,98,0,8,3,4
1,21,Marzo,Jueves,Otono,244.387,98,0,8,3,5
36,13,Marzo,Miercoles,Verano,244.387,98,0,8,3,4
3,28,Marzo,Viernes,Verano,244.387,98,0,8,3,6
11,22,Marzo,Viernes,Verano,244.387,98,0,8,3,6
20,19,Marzo,Lunes,Verano,244.387,98,0,8,3,2
18,23,Abril,Miercoles,Verano,239.409,98,0,8,4,4
3,28,Abril,Miercoles,Verano,239.409,98,0,8,4,4
26,28,Abril,Viernes,Verano,239.409,98,0,8,4,6
13,10,Mayo,Lunes,Verano,246.074,99,0,8,5,2
9,18,Mayo,Miercoles,Verano,246.074,99,0,8,5,4
18,13,Mayo,Viernes,Verano,246.074,99,0,8,5,6
1,1,Mayo,Lunes,Verano,246.074,99,0,8,5,2
5,26,Junio,Martes,Verano,253.957,95,0,8,6,3
3,5,Junio,Miercoles,Invierno,253.957,95,0,8,6,4
1,13,Junio,Martes,Invierno,253.957,95,0,8,6,3
20,13,Julio,Viernes,Invierno,230.29,92,0,8,7,6
21,7,Julio,Lunes,Invierno,230.29,92,0,8,7,2
18,25,Julio,Viernes,Invierno,230.29,92,0,8,7,6
34,26,Julio,Viernes,Invierno,230.29,92,0,8,7,6
34,28,Julio,Martes,Invierno,230.29,92,0,8,7,3
26,15,Julio,Lunes,Invierno,230.29,92,0,8,7,2
10,22,Julio,Viernes,Invierno,230.29,92,0,8,7,6
11,22,Julio,Lunes,Invierno,230.29,92,0,8,7,2
5,26,Julio,Lunes,Invierno,230.29,92,0,8,7,2
11,26,Agosto,Martes,Invierno,249.797,93,0,8,8,3
5,26,Agosto,Martes,Invierno,249.797,93,0,8,8,3
17,25,Agosto,Martes,Invierno,249.797,93,0,8,8,3
22,23,Septiembre,Viernes,Invierno,261.756,87,0,8,9,6
13,23,Septiembre,Martes,Primavera,261.756,87,0,8,9,3
10,22,Septiembre,Martes,Primavera,261.756,87,0,8,9,3
24,26,Octubre,Viernes,Primavera,284.853,91,0,8,10,6
13,23,Octubre,Martes,Primavera,284.853,91,0,8,10,3
13,26,Octubre,Martes,Primavera,284.853,91,0,8,10,3
13,10,Octubre,Jueves,Primavera,284.853,91,0,8,10,5
13,10,Octubre,Viernes,Primavera,284.853,91,0,8,10,6
6,23,Octubre,Lunes,Primavera,284.853,91,0,8,10,2
25,6,Octubre,Lunes,Primavera,284.853,91,0,8,10,2
33,10,Octubre,Lunes,Primavera,284.853,91,0,8,10,2
34,9,Noviembre,Martes,Primavera,268.519,93,0,8,11,3
11,24,Noviembre,Miercoles,Primavera,268.519,93,0,8,11,4
25,1,Noviembre,Viernes,Primavera,268.519,93,0,8,11,6
10,22,Noviembre,Martes,Primavera,268.519,93,0,8,11,3
34,23,Noviembre,Lunes,Primavera,268.519,93,0,8,11,2
34,8,Noviembre,Martes,Primavera,268.519,93,0,8,11,3
13,26,Noviembre,Viernes,Primavera,268.519,93,0,8,11,6
5,26,Diciembre,Viernes,Primavera,280.549,98,0,8,12,6
12,18,Diciembre,Lunes,Primavera,280.549,98,0,8,12,2
32,10,Enero,Jueves,Otono,313.532,96,0,8,1,5
14,18,Enero,Martes,Otono,313.532,96,0,8,1,3
11,13,Enero,Miercoles,Otono,313.532,96,0,8,1,4
3,13,Febrero,Martes,Otono,264.249,97,0,8,2,3
33,1,Febrero,Miercoles,Otono,264.249,97,0,8,2,4
28,7,Febrero,Martes,Otono,264.249,97,0,8,2,3
3,13,Febrero,Jueves,Otono,264.249,97,0,8,2,5
10,19,Marzo,Lunes,Otono,222.196,99,0,8,3,2
3,13,Marzo,Martes,Otono,222.196,99,0,8,3,3
28,7,Marzo,Lunes,Otono,222.196,99,0,8,3,2
11,23,Marzo,Miercoles,Otono,222.196,99,0,8,3,4
16,23,Marzo,Miercoles,Verano,222.196,99,0,8,3,4
13,22,Marzo,Miercoles,Verano,222.196,99,0,8,3,4
28,13,Abril,Lunes,Verano,246.288,91,0,8,4,2
34,10,Abril,Lunes,Verano,246.288,91,0,8,4,2
10,19,Abril,Martes,Verano,246.288,91,0,8,4,3
33,19,Abril,Miercoles,Verano,246.288,91,0,8,4,4
6,13,Abril,Jueves,Verano,246.288,91,0,8,4,5
1,22,Abril,Viernes,Verano,246.288,91,0,8,4,6
28,19,Abril,Lunes,Verano,246.288,91,0,8,4,2
28,19,Abril,Jueves,Verano,246.288,91,0,8,4,5
1,22,Mayo,Lunes,Verano,237.656,99,0,8,5,2
5,26,Mayo,Miercoles,Verano,237.656,99,0,8,5,4
29,14,Mayo,Jueves,Verano,237.656,99,0,8,5,5
29,22,Mayo,Viernes,Verano,237.656,99,0,8,5,6
25,10,Mayo,Lunes,Verano,237.656,99,0,8,5,2
15,22,Mayo,Miercoles,Verano,237.656,99,0,8,5,4
17,10,Mayo,Miercoles,Verano,237.656,99,0,8,5,4
18,10,Mayo,Jueves,Verano,237.656,99,0,8,5,5
10,7,Mayo,Lunes,Verano,237.656,99,0,8,5,2
17,25,Mayo,Viernes,Verano,237.656,99,0,8,5,6
14,10,Mayo,Viernes,Verano,237.656,99,0,8,5,6
16,7,Junio,Miercoles,Verano,275.089,96,0,8,6,4
34,26,Junio,Viernes,Verano,275.089,96,0,8,6,6
34,10,Junio,Miercoles,Verano,275.089,96,0,8,6,4
23,22,Junio,Jueves,Verano,275.089,96,0,8,6,5
12,19,Junio,Viernes,Verano,275.089,96,0,8,6,6
12,22,Junio,Jueves,Invierno,275.089,96,0,8,6,5
9,6,Julio,Lunes,Invierno,264.604,93,0,8,7,2
10,22,Julio,Miercoles,Invierno,264.604,93,0,8,7,4
28,22,Julio,Miercoles,Invierno,264.604,93,0,8,7,4
11,14,Julio,Martes,Invierno,264.604,93,0,8,7,3
10,25,Agosto,Lunes,Invierno,205.917,92,0,7,8,2
15,23,Octubre,Jueves,Primavera,253.465,93,0,5,10,5
15,23,Noviembre,Jueves,Primavera,306.345,93,0,5,11,5
22,1,Octubre,Miercoles,Primavera,265.017,88,0,5,10,4
22,7,Octubre,Miercoles,Primavera,265.017,88,0,5,10,4
28,23,Enero,Miercoles,Otono,330.061,100,0,5,1,4
34,28,Agosto,Martes,Invierno,249.797,93,0,5,8,3
14,25,Febrero,Lunes,Otono,264.249,97,0,5,2,2
11,26,Julio,Martes,Invierno,239.554,97,0,4,7,3
7,7,Julio,Jueves,Invierno,239.554,97,0,4,7,5
20,23,Julio,Viernes,Invierno,239.554,97,0,4,7,6
3,23,Julio,Miercoles,Invierno,239.554,97,0,4,7,4
20,28,Agosto,Viernes,Invierno,205.917,92,0,4,8,6
30,28,Agosto,Miercoles,Invierno,205.917,92,0,4,8,4
1,23,Agosto,Jueves,Invierno,205.917,92,0,4,8,5
19,11,Agosto,Jueves,Invierno,205.917,92,0,4,8,5
20,23,Agosto,Viernes,Invierno,205.917,92,0,4,8,6
34,23,Septiembre,Lunes,Invierno,241.476,92,0,4,9,2
3,23,Septiembre,Martes,Invierno,241.476,92,0,4,9,3
15,23,Septiembre,Jueves,Invierno,241.476,92,0,4,9,5
20,23,Septiembre,Viernes,Primavera,241.476,92,0,4,9,6
20,28,Noviembre,Viernes,Primavera,306.345,93,0,4,11,6
20,28,Marzo,Viernes,Otono,343.253,95,0,4,3,6
20,28,Abril,Viernes,Verano,326.452,96,0,4,4,6
27,7,Mayo,Miercoles,Verano,378.884,92,0,4,5,4
15,23,Junio,Jueves,Verano,377.55,94,0,4,6,5
14,23,Junio,Lunes,Verano,377.55,94,0,4,6,2
34,26,Julio,Viernes,Invierno,275.312,98,0,4,7,6
20,28,Agosto,Viernes,Invierno,265.615,94,0,4,8,6
11,23,Agosto,Martes,Invierno,265.615,94,0,4,8,3
15,28,Septiembre,Viernes,Invierno,294.217,81,0,4,9,6
20,28,Septiembre,Viernes,Invierno,294.217,81,0,4,9,6
1,26,Octubre,Lunes,Primavera,265.017,88,0,4,10,2
15,28,Octubre,Martes,Primavera,265.017,88,0,4,10,3
15,12,Noviembre,Viernes,Primavera,284.031,97,0,4,11,6
20,28,Diciembre,Viernes,Primavera,236.629,93,0,4,12,6
1,14,Diciembre,Martes,Otono,236.629,93,0,4,12,3
14,23,Enero,Martes,Otono,330.061,100,0,4,1,3
36,26,Enero,Lunes,Otono,330.061,100,0,4,1,2
20,28,Marzo,Viernes,Otono,244.387,98,0,4,3,6
3,28,Abril,Miercoles,Verano,239.409,98,0,4,4,4
18,26,Abril,Viernes,Verano,239.409,98,0,4,4,6
13,22,Abril,Lunes,Verano,239.409,98,0,4,4,2
33,26,Abril,Lunes,Verano,239.409,98,0,4,4,2
20,28,Abril,Viernes,Verano,239.409,98,0,4,4,6
3,28,Abril,Lunes,Verano,239.409,98,0,4,4,2
3,28,Mayo,Miercoles,Verano,246.074,99,0,4,5,4
28,23,Junio,Jueves,Verano,253.957,95,0,4,6,5
20,28,Junio,Viernes,Verano,253.957,95,0,4,6,6
3,28,Junio,Lunes,Verano,253.957,95,0,4,6,2
28,25,Julio,Jueves,Invierno,230.29,92,0,4,7,5
20,26,Julio,Lunes,Invierno,230.29,92,0,4,7,2
3,25,Agosto,Jueves,Invierno,249.797,93,0,4,8,5
24,28,Agosto,Martes,Invierno,249.797,93,0,4,8,3
34,28,Agosto,Martes,Invierno,249.797,93,0,4,8,3
15,28,Agosto,Jueves,Invierno,249.797,93,0,4,8,5
3,25,Agosto,Lunes,Invierno,249.797,93,0,4,8,2
1,23,Agosto,Martes,Invierno,249.797,93,0,4,8,3
3,23,Septiembre,Lunes,Invierno,261.756,87,0,4,9,2
28,23,Octubre,Martes,Primavera,284.853,91,0,4,10,3
28,23,Noviembre,Viernes,Primavera,268.519,93,0,4,11,6
33,14,Noviembre,Jueves,Primavera,268.519,93,0,4,11,5
10,14,Diciembre,Jueves,Primavera,280.549,98,0,4,12,5
3,10,Marzo,Lunes,Otono,222.196,99,0,4,3,2
14,28,Abril,Martes,Verano,246.288,91,0,4,4,3
5,26,Julio,Miercoles,Invierno,264.604,93,0,4,7,4
34,28,Julio,Lunes,Invierno,264.604,93,0,4,7,2
1,11,Julio,Martes,Invierno,264.604,93,0,4,7,3
34,23,Septiembre,Lunes,Invierno,241.476,92,0,3,9,2
3,23,Septiembre,Martes,Invierno,241.476,92,0,3,9,3
28,18,Septiembre,Miercoles,Primavera,241.476,92,0,3,9,4
3,23,Septiembre,Miercoles,Primavera,241.476,92,0,3,9,4
3,23,Septiembre,Viernes,Primavera,241.476,92,0,3,9,6
3,23,Octubre,Martes,Primavera,253.465,93,0,3,10,3
34,23,Octubre,Martes,Primavera,253.465,93,0,3,10,3
3,23,Octubre,Viernes,Primavera,253.465,93,0,3,10,6
28,23,Octubre,Viernes,Primavera,253.465,93,0,3,10,6
28,23,Octubre,Miercoles,Primavera,253.465,93,0,3,10,4
20,28,Octubre,Viernes,Primavera,253.465,93,0,3,10,6
28,23,Noviembre,Miercoles,Primavera,306.345,93,0,3,11,4
28,13,Noviembre,Viernes,Primavera,306.345,93,0,3,11,6
28,28,Noviembre,Martes,Primavera,306.345,93,0,3,11,3
15,23,Noviembre,Jueves,Primavera,306.345,93,0,3,11,5
28,28,Diciembre,Jueves,Primavera,261.306,97,0,3,12,5
20,28,Diciembre,Viernes,Primavera,261.306,97,0,3,12,6
11,22,Enero,Jueves,Otono,308.593,95,0,3,1,5
28,25,Febrero,Jueves,Otono,302.585,99,0,3,2,5
30,19,Marzo,Martes,Otono,343.253,95,0,3,3,3
33,14,Marzo,Viernes,Otono,343.253,95,0,3,3,6
3,13,Marzo,Miercoles,Verano,343.253,95,0,3,3,4
33,14,Marzo,Viernes,Verano,343.253,95,0,3,3,6
15,23,Abril,Viernes,Verano,326.452,96,0,3,4,6
1,7,Abril,Viernes,Verano,326.452,96,0,3,4,6
30,25,Julio,Lunes,Invierno,275.312,98,0,3,7,2
30,19,Agosto,Viernes,Invierno,265.615,94,0,3,8,6
36,13,Agosto,Jueves,Invierno,265.615,94,0,3,8,5
3,23,Septiembre,Viernes,Invierno,294.217,81,0,3,9,6
15,28,Septiembre,Martes,Invierno,294.217,81,0,3,9,3
15,28,Septiembre,Viernes,Primavera,294.217,81,0,3,9,6
34,7,Octubre,Lunes,Primavera,265.017,88,0,3,10,2
20,28,Octubre,Viernes,Primavera,265.017,88,0,3,10,6
20,28,Noviembre,Viernes,Primavera,284.031,97,0,3,11,6
34,11,Noviembre,Miercoles,Primavera,284.031,97,0,3,11,4
3,28,Noviembre,Jueves,Primavera,284.031,97,0,3,11,5
28,12,Diciembre,Lunes,Primavera,236.629,93,0,3,12,2
1,23,Diciembre,Lunes,Primavera,236.629,93,0,3,12,2
3,28,Diciembre,Lunes,Otono,236.629,93,0,3,12,2
3,27,Febrero,Miercoles,Otono,251.818,96,0,3,2,4
11,22,Febrero,Viernes,Otono,251.818,96,0,3,2,6
20,28,Febrero,Viernes,Otono,251.818,96,0,3,2,6
3,23,Febrero,Viernes,Otono,251.818,96,0,3,2,6
3,27,Febrero,Viernes,Otono,251.818,96,0,3,2,6
3,27,Febrero,Lunes,Otono,251.818,96,0,3,2,2
36,14,Marzo,Martes,Verano,244.387,98,0,3,3,3
20,28,Abril,Viernes,Verano,239.409,98,0,3,4,6
22,23,Mayo,Miercoles,Verano,246.074,99,0,3,5,4
20,28,Mayo,Viernes,Verano,246.074,99,0,3,5,6
17,8,Mayo,Lunes,Verano,246.074,99,0,3,5,2
28,25,Mayo,Miercoles,Verano,246.074,99,0,3,5,4
34,23,Junio,Lunes,Verano,253.957,95,0,3,6,2
3,28,Junio,Lunes,Verano,253.957,95,0,3,6,2
24,28,Junio,Martes,Verano,253.957,95,0,3,6,3
20,28,Agosto,Lunes,Invierno,249.797,93,0,3,8,2
34,28,Septiembre,Martes,Invierno,261.756,87,0,3,9,3
25,11,Octubre,Jueves,Primavera,284.853,91,0,3,10,5
32,14,Octubre,Miercoles,Primavera,284.853,91,0,3,10,4
13,23,Octubre,Martes,Primavera,284.853,91,0,3,10,3
3,28,Octubre,Miercoles,Primavera,284.853,91,0,3,10,4
28,10,Octubre,Viernes,Primavera,284.853,91,0,3,10,6
28,13,Octubre,Martes,Primavera,284.853,91,0,3,10,3
34,28,Noviembre,Miercoles,Primavera,268.519,93,0,3,11,4
28,14,Noviembre,Jueves,Primavera,268.519,93,0,3,11,5
28,23,Diciembre,Miercoles,Primavera,280.549,98,0,3,12,4
28,23,Diciembre,Viernes,Primavera,280.549,98,0,3,12,6
28,23,Diciembre,Jueves,Primavera,280.549,98,0,3,12,5
22,13,Enero,Lunes,Otono,313.532,96,0,3,1,2
17,18,Enero,Viernes,Otono,313.532,96,0,3,1,6
3,27,Enero,Miercoles,Otono,313.532,96,0,3,1,4
3,27,Enero,Jueves,Otono,313.532,96,0,3,1,5
28,23,Febrero,Martes,Otono,264.249,97,0,3,2,3
28,28,Febrero,Jueves,Otono,264.249,97,0,3,2,5
3,27,Febrero,Miercoles,Otono,264.249,97,0,3,2,4
3,27,Febrero,Jueves,Otono,264.249,97,0,3,2,5
28,25,Febrero,Jueves,Otono,264.249,97,0,3,2,5
3,27,Febrero,Viernes,Otono,264.249,97,0,3,2,6
12,12,Febrero,Miercoles,Otono,264.249,97,0,3,2,4
25,25,Febrero,Lunes,Otono,264.249,97,0,3,2,2
9,25,Marzo,Martes,Otono,222.196,99,0,3,3,3
33,25,Marzo,Martes,Otono,222.196,99,0,3,3,3
3,27,Marzo,Jueves,Otono,222.196,99,0,3,3,5
22,27,Marzo,Viernes,Otono,222.196,99,0,3,3,6
25,25,Marzo,Lunes,Otono,222.196,99,0,3,3,2
3,27,Marzo,Lunes,Otono,222.196,99,0,3,3,2
33,23,Marzo,Jueves,Otono,222.196,99,0,3,3,5
3,27,Marzo,Viernes,Otono,222.196,99,0,3,3,6
3,27,Marzo,Martes,Verano,222.196,99,0,3,3,3
3,27,Marzo,Miercoles,Verano,222.196,99,0,3,3,4
