ID,Reason_absence,Month_absence,Day_week,Seasons,Transportation_expense,Distance_Residence_Work,Service_time,Age,Work_load_Average_day,Hit_target,Disciplinary_failure,Education,Son,Social_drinker,Social_smoker,Pet,Weight,Height,Body_mass_index,Absenteeism_hours,Month_absence_order,Day_week_order
3,28,Marzo,Lunes,Otono,179,51,18,38,244.387,98,0,High school,0,1,0,0,89,170,31,16,3,2
5,13,Mayo,Lunes,Verano,235,20,13,43,246.074,99,0,High school,1,1,0,0,106,167,38,16,5,2
18,23,Agosto,Jueves,Invierno,330,16,4,28,249.797,93,0,Graduate,0,0,0,0,84,182,25,16,8,5
22,13,Diciembre,Martes,Primavera,179,26,9,30,280.549,98,0,Postgraduate,0,0,0,0,56,171,19,16,12,3
22,12,Enero,Jueves,Otono,179,26,9,30,313.532,96,0,Postgraduate,0,0,0,0,56,171,19,16,1,5
6,22,Julio,Martes,Invierno,189,29,13,33,264.604,93,0,High school,2,0,0,2,69,167,25,16,7,3
10,22,Julio,Viernes,Invierno,361,52,3,28,239.554,97,0,High school,1,1,0,4,80,172,27,8,7,6
1,22,Julio,Lunes,Invierno,235,11,14,37,239.554,97,0,Postgraduate,1,0,0,1,88,172,29,8,7,2
20,1,Julio,Lunes,Invierno,260,50,11,36,239.554,97,0,High school,4,1,0,0,65,168,23,8,7,2
20,1,Julio,Martes,Invierno,260,50,11,36,239.554,97,0,High school,4,1,0,0,65,168,23,8,7,3
20,11,Julio,Miercoles,Invierno,260,50,11,36,239.554,97,0,High school,4,1,0,0,65,168,23,8,7,4
24,14,Julio,Viernes,Invierno,246,25,16,41,239.554,97,0,High school,0,1,0,0,67,170,23,8,7,6
3,21,Julio,Lunes,Invierno,179,51,18,38,239.554,97,0,High school,0,1,0,0,89,170,31,8,7,2
6,11,Julio,Jueves,Invierno,189,29,13,33,239.554,97,0,High school,2,0,0,2,69,167,25,8,7,5
18,10,Agosto,Miercoles,Invierno,330,16,4,28,205.917,92,0,Graduate,0,0,0,0,84,182,25,8,8,4
11,18,Agosto,Lunes,Invierno,289,36,13,33,205.917,92,0,High school,2,1,0,1,90,172,30,8,8,2
11,18,Agosto,Miercoles,Invierno,289,36,13,33,205.917,92,0,High school,2,1,0,1,90,172,30,8,8,4
3,18,Agosto,Lunes,Invierno,179,51,18,38,205.917,92,0,High school,0,1,0,0,89,170,31,8,8,2
2,18,Agosto,Jueves,Invierno,235,29,12,48,205.917,92,0,High school,1,0,1,5,88,163,33,8,8,5
2,18,Agosto,Lunes,Invierno,235,29,12,48,205.917,92,0,High school,1,0,1,5,88,163,33,8,8,2
11,24,Agosto,Martes,Invierno,289,36,13,33,205.917,92,0,High school,2,1,0,1,90,172,30,8,8,3
2,28,Agosto,Viernes,Invierno,235,29,12,48,205.917,92,0,High school,1,0,1,5,88,163,33,8,8,6
5,19,Septiembre,Martes,Invierno,235,20,13,43,241.476,92,0,High school,1,1,0,0,106,167,38,8,9,3
20,22,Septiembre,Viernes,Invierno,260,50,11,36,241.476,92,0,High school,4,1,0,0,65,168,23,8,9,6
3,23,Octubre,Miercoles,Primavera,179,51,18,38,253.465,93,0,High school,0,1,0,0,89,170,31,8,10,4
15,14,Octubre,Martes,Primavera,291,31,12,40,253.465,93,0,High school,1,1,0,1,73,171,25,8,10,3
11,26,Octubre,Miercoles,Primavera,289,36,13,33,253.465,93,0,High school,2,1,0,1,90,172,30,8,10,4
3,13,Noviembre,Jueves,Primavera,179,51,18,38,306.345,93,0,High school,0,1,0,0,89,170,31,8,11,5
17,21,Noviembre,Jueves,Primavera,179,22,17,40,306.345,93,0,Graduate,2,0,1,0,63,170,22,8,11,5
6,22,Noviembre,Lunes,Primavera,189,29,13,33,306.345,93,0,High school,2,0,0,2,69,167,25,8,11,2
14,6,Noviembre,Viernes,Primavera,155,12,14,34,306.345,93,0,High school,2,1,0,0,95,196,25,8,11,6
17,21,Noviembre,Miercoles,Primavera,179,22,17,40,306.345,93,0,Graduate,2,0,1,0,63,170,22,8,11,4
1,26,Diciembre,Miercoles,Primavera,235,11,14,37,261.306,97,0,Postgraduate,1,0,0,1,88,172,29,8,12,4
20,26,Diciembre,Viernes,Primavera,260,50,11,36,261.306,97,0,High school,4,1,0,0,65,168,23,8,12,6
10,22,Diciembre,Miercoles,Primavera,361,52,3,28,261.306,97,0,High school,1,1,0,4,80,172,27,8,12,4
24,19,Diciembre,Viernes,Otono,246,25,16,41,261.306,97,0,High school,0,1,0,0,67,170,23,8,12,6
14,18,Enero,Martes,Otono,155,12,14,34,308.593,95,0,High school,2,1,0,0,95,196,25,8,1,3
22,18,Enero,Martes,Otono,179,26,9,30,308.593,95,0,Postgraduate,0,0,0,0,56,171,19,8,1,3
11,18,Enero,Martes,Otono,289,36,13,33,308.593,95,0,High school,2,1,0,1,90,172,30,8,1,3
24,1,Febrero,Miercoles,Otono,246,25,16,41,302.585,99,0,High school,0,1,0,0,67,170,23,8,2,4
3,11,Febrero,Miercoles,Otono,179,51,18,38,302.585,99,0,High school,0,1,0,0,89,170,31,8,2,4
6,23,Febrero,Jueves,Otono,189,29,13,33,302.585,99,0,High school,2,0,0,2,69,167,25,8,2,5
11,22,Febrero,Viernes,Otono,289,36,13,33,302.585,99,0,High school,2,1,0,1,90,172,30,8,2,6
31,11,Febrero,Lunes,Otono,388,15,9,50,302.585,99,0,High school,0,0,0,0,76,178,24,8,2,2
31,1,Febrero,Martes,Otono,388,15,9,50,302.585,99,0,High school,0,0,0,0,76,178,24,8,2,3
27,23,Febrero,Martes,Otono,184,42,7,27,302.585,99,0,High school,0,0,0,0,58,167,21,8,2,3
18,18,Febrero,Lunes,Otono,330,16,4,28,302.585,99,0,Graduate,0,0,0,0,84,182,25,8,2,2
6,19,Febrero,Jueves,Otono,189,29,13,33,302.585,99,0,High school,2,0,0,2,69,167,25,8,2,5
20,19,Marzo,Martes,Otono,260,50,11,36,343.253,95,0,High school,4,1,0,0,65,168,23,8,3,3
17,17,Marzo,Martes,Otono,179,22,17,40,343.253,95,0,Graduate,2,0,1,0,63,170,22,8,3,3
15,22,Marzo,Miercoles,Otono,291,31,12,40,343.253,95,0,High school,1,1,0,1,73,171,25,8,3,4
20,13,Marzo,Miercoles,Otono,260,50,11,36,343.253,95,0,High school,4,1,0,0,65,168,23,8,3,4
22,13,Marzo,Jueves,Otono,179,26,9,30,343.253,95,0,Postgraduate,0,0,0,0,56,171,19,8,3,5
14,13,Marzo,Martes,Otono,155,12,14,34,343.253,95,0,High school,2,1,0,0,95,196,25,8,3,3
11,6,Marzo,Jueves,Otono,289,36,13,33,343.253,95,0,High school,2,1,0,1,90,172,30,8,3,5
17,8,Marzo,Jueves,Otono,179,22,17,40,343.253,95,0,Graduate,2,0,1,0,63,170,22,8,3,5
7,14,Marzo,Lunes,Otono,279,5,14,39,343.253,95,0,High school,2,1,1,0,68,168,24,8,3,2
28,11,Marzo,Lunes,Verano,225,26,9,28,343.253,95,0,High school,1,0,0,2,69,169,24,8,3,2
28,11,Marzo,Martes,Verano,225,26,9,28,343.253,95,0,High school,1,0,0,2,69,169,24,8,3,3
24,14,Abril,Viernes,Verano,246,25,16,41,326.452,96,0,High school,0,1,0,0,67,170,23,8,4,6
33,28,Abril,Viernes,Verano,248,25,14,47,326.452,96,0,High school,2,0,0,1,86,165,32,8,4,6
11,19,Abril,Martes,Verano,289,36,13,33,326.452,96,0,High school,2,1,0,1,90,172,30,8,4,3
23,19,Abril,Miercoles,Verano,378,49,11,36,326.452,96,0,High school,2,0,1,4,65,174,21,8,4,4
11,13,Mayo,Miercoles,Verano,289,36,13,33,378.884,92,0,High school,2,1,0,1,90,172,30,8,5,4
3,18,Mayo,Martes,Verano,179,51,18,38,378.884,92,0,High school,0,1,0,0,89,170,31,8,5,3
28,19,Mayo,Martes,Verano,225,26,9,28,378.884,92,0,High school,1,0,0,2,69,169,24,8,5,3
10,22,Mayo,Viernes,Verano,361,52,3,28,378.884,92,0,High school,1,1,0,4,80,172,27,8,5,6
24,19,Junio,Lunes,Verano,246,25,16,41,377.55,94,0,High school,0,1,0,0,67,170,23,8,6,2
10,22,Junio,Lunes,Verano,361,52,3,28,377.55,94,0,High school,1,1,0,4,80,172,27,8,6,2
24,10,Junio,Viernes,Verano,246,25,16,41,377.55,94,0,High school,0,1,0,0,67,170,23,8,6,6
3,11,Junio,Lunes,Verano,179,51,18,38,377.55,94,0,High school,0,1,0,0,89,170,31,8,6,2
24,10,Junio,Lunes,Verano,246,25,16,41,377.55,94,0,High school,0,1,0,0,67,170,23,8,6,2
36,13,Junio,Miercoles,Verano,118,13,18,50,377.55,94,0,High school,1,1,0,0,98,178,31,8,6,4
23,22,Junio,Jueves,Verano,378,49,11,36,377.55,94,0,High school,2,0,1,4,65,174,21,8,6,5
36,1,Julio,Miercoles,Invierno,118,13,18,50,275.312,98,0,High school,1,1,0,0,98,178,31,8,7,4
34,5,Julio,Viernes,Invierno,118,10,10,37,275.312,98,0,High school,0,0,0,0,83,172,28,8,7,6
18,26,Julio,Martes,Invierno,330,16,4,28,275.312,98,0,Graduate,0,0,0,0,84,182,25,8,7,3
22,18,Julio,Jueves,Invierno,179,26,9,30,275.312,98,0,Postgraduate,0,0,0,0,56,171,19,8,7,5
18,1,Julio,Lunes,Invierno,330,16,4,28,275.312,98,0,Graduate,0,0,0,0,84,182,25,8,7,2
18,1,Julio,Martes,Invierno,330,16,4,28,275.312,98,0,Graduate,0,0,0,0,84,182,25,8,7,3
10,22,Julio,Martes,Invierno,361,52,3,28,275.312,98,0,High school,1,1,0,4,80,172,27,8,7,3
11,26,Julio,Miercoles,Invierno,289,36,13,33,275.312,98,0,High school,2,1,0,1,90,172,30,8,7,4
3,26,Julio,Jueves,Invierno,179,51,18,38,275.312,98,0,High school,0,1,0,0,89,170,31,8,7,5
11,19,Julio,Jueves,Invierno,289,36,13,33,275.312,98,0,High school,2,1,0,1,90,172,30,8,7,5
11,19,Agosto,Viernes,Invierno,289,36,13,33,265.615,94,0,High school,2,1,0,1,90,172,30,8,8,6
9,18,Agosto,Martes,Invierno,228,14,16,58,265.615,94,0,High school,2,0,0,1,65,172,22,8,8,3
21,11,Agosto,Jueves,Invierno,268,11,8,33,265.615,94,0,Graduate,0,0,0,0,79,178,25,8,8,5
1,19,Agosto,Jueves,Invierno,235,11,14,37,265.615,94,0,Postgraduate,1,0,0,1,88,172,29,8,8,5
10,8,Agosto,Martes,Invierno,361,52,3,28,265.615,94,0,High school,1,1,0,4,80,172,27,8,8,3
27,6,Agosto,Miercoles,Invierno,184,42,7,27,265.615,94,0,High school,0,0,0,0,58,167,21,8,8,4
3,11,Septiembre,Lunes,Invierno,179,51,18,38,294.217,81,0,High school,0,1,0,0,89,170,31,8,9,2
3,13,Septiembre,Miercoles,Invierno,179,51,18,38,294.217,81,0,High school,0,1,0,0,89,170,31,8,9,4
5,26,Septiembre,Miercoles,Primavera,235,20,13,43,294.217,81,0,High school,1,1,0,0,106,167,38,8,9,4
3,13,Septiembre,Lunes,Primavera,179,51,18,38,294.217,81,0,High school,0,1,0,0,89,170,31,8,9,2
11,24,Octubre,Lunes,Primavera,289,36,13,33,265.017,88,0,High school,2,1,0,1,90,172,30,8,10,2
11,26,Octubre,Lunes,Primavera,289,36,13,33,265.017,88,0,High school,2,1,0,1,90,172,30,8,10,2
11,22,Octubre,Viernes,Primavera,289,36,13,33,265.017,88,0,High school,2,1,0,1,90,172,30,8,10,6
22,1,Octubre,Lunes,Primavera,179,26,9,30,265.017,88,0,Postgraduate,0,0,0,0,56,171,19,8,10,2
13,22,Octubre,Lunes,Primavera,369,17,12,31,265.017,88,0,High school,3,1,0,0,70,169,25,8,10,2
10,10,Octubre,Lunes,Primavera,361,52,3,28,265.017,88,0,High school,1,1,0,4,80,172,27,8,10,2
34,11,Noviembre,Lunes,Primavera,118,10,10,37,284.031,97,0,High school,0,0,0,0,83,172,28,8,11,2
3,6,Noviembre,Martes,Primavera,179,51,18,38,284.031,97,0,High school,0,1,0,0,89,170,31,8,11,3
23,1,Noviembre,Lunes,Primavera,378,49,11,36,284.031,97,0,High school,2,0,1,4,65,174,21,8,11,2
5,26,Noviembre,Lunes,Primavera,235,20,13,43,284.031,97,0,High school,1,1,0,0,106,167,38,8,11,2
24,13,Noviembre,Viernes,Primavera,246,25,16,41,284.031,97,0,High school,0,1,0,0,67,170,23,8,11,6
24,13,Noviembre,Lunes,Primavera,246,25,16,41,284.031,97,0,High school,0,1,0,0,67,170,23,8,11,2
20,10,Noviembre,Miercoles,Primavera,260,50,11,36,284.031,97,0,High school,4,1,0,0,65,168,23,8,11,4
20,15,Noviembre,Viernes,Primavera,260,50,11,36,284.031,97,0,High school,4,1,0,0,65,168,23,8,11,6
24,4,Diciembre,Jueves,Primavera,246,25,16,41,236.629,93,0,High school,0,1,0,0,67,170,23,8,12,5
34,25,Diciembre,Martes,Primavera,118,10,10,37,236.629,93,0,High school,0,0,0,0,83,172,28,8,12,3
5,13,Diciembre,Martes,Otono,235,20,13,43,236.629,93,0,High school,1,1,0,0,106,167,38,8,12,3
20,26,Diciembre,Miercoles,Otono,260,50,11,36,236.629,93,0,High school,4,1,0,0,65,168,23,8,12,4
11,19,Diciembre,Lunes,Otono,289,36,13,33,236.629,93,0,High school,2,1,0,1,90,172,30,8,12,2
11,26,Enero,Lunes,Otono,289,36,13,33,330.061,100,0,High school,2,1,0,1,90,172,30,8,1,2
15,3,Enero,Miercoles,Otono,291,31,12,40,330.061,100,0,High school,1,1,0,1,73,171,25,8,1,4
5,26,Enero,Lunes,Otono,235,20,13,43,330.061,100,0,High school,1,1,0,0,106,167,38,8,1,2
3,10,Febrero,Jueves,Otono,179,51,18,38,251.818,96,0,High school,0,1,0,0,89,170,31,8,2,5
24,26,Febrero,Jueves,Otono,246,25,16,41,251.818,96,0,High school,0,1,0,0,67,170,23,8,2,5
6,22,Febrero,Lunes,Otono,189,29,13,33,251.818,96,0,High school,2,0,0,2,69,167,25,8,2,2
34,18,Marzo,Martes,Otono,118,10,10,37,244.387,98,0,High school,0,0,0,0,83,172,28,8,3,3
1,22,Marzo,Lunes,Otono,235,11,14,37,244.387,98,0,Postgraduate,1,0,0,1,88,172,29,8,3,2
17,22,Marzo,Martes,Otono,179,22,17,40,244.387,98,0,Graduate,2,0,1,0,63,170,22,8,3,3
23,22,Marzo,Martes,Otono,378,49,11,36,244.387,98,0,High school,2,0,1,4,65,174,21,8,3,3
10,22,Marzo,Miercoles,Otono,361,52,3,28,244.387,98,0,High school,1,1,0,4,80,172,27,8,3,4
1,21,Marzo,Jueves,Otono,235,11,14,37,244.387,98,0,Postgraduate,1,0,0,1,88,172,29,8,3,5
36,13,Marzo,Miercoles,Verano,118,13,18,50,244.387,98,0,High school,1,1,0,0,98,178,31,8,3,4
3,28,Marzo,Viernes,Verano,179,51,18,38,244.387,98,0,High school,0,1,0,0,89,170,31,8,3,6
11,22,Marzo,Viernes,Verano,289,36,13,33,244.387,98,0,High school,2,1,0,1,90,172,30,8,3,6
20,19,Marzo,Lunes,Verano,260,50,11,36,244.387,98,0,High school,4,1,0,0,65,168,23,8,3,2
18,23,Abril,Miercoles,Verano,330,16,4,28,239.409,98,0,Graduate,0,0,0,0,84,182,25,8,4,4
3,28,Abril,Miercoles,Verano,179,51,18,38,239.409,98,0,High school,0,1,0,0,89,170,31,8,4,4
26,28,Abril,Viernes,Verano,300,26,13,43,239.409,98,0,High school,2,1,1,1,77,175,25,8,4,6
13,10,Mayo,Lunes,Verano,369,17,12,31,246.074,99,0,High school,3,1,0,0,70,169,25,8,5,2
9,18,Mayo,Miercoles,Verano,228,14,16,58,246.074,99,0,High school,2,0,0,1,65,172,22,8,5,4
18,13,Mayo,Viernes,Verano,330,16,4,28,246.074,99,0,Graduate,0,0,0,0,84,182,25,8,5,6
1,1,Mayo,Lunes,Verano,235,11,14,37,246.074,99,0,Postgraduate,1,0,0,1,88,172,29,8,5,2
5,26,Junio,Martes,Verano,235,20,13,43,253.957,95,0,High school,1,1,0,0,106,167,38,8,6,3
3,5,Junio,Miercoles,Invierno,179,51,18,38,253.957,95,0,High school,0,1,0,0,89,170,31,8,6,4
1,13,Junio,Martes,Invierno,235,11,14,37,253.957,95,0,Postgraduate,1,0,0,1,88,172,29,8,6,3
20,13,Julio,Viernes,Invierno,260,50,11,36,230.29,92,0,High school,4,1,0,0,65,168,23,8,7,6
21,7,Julio,Lunes,Invierno,268,11,8,33,230.29,92,0,Graduate,0,0,0,0,79,178,25,8,7,2
18,25,Julio,Viernes,Invierno,330,16,4,28,230.29,92,0,Graduate,0,0,0,0,84,182,25,8,7,6
34,26,Julio,Viernes,Invierno,118,10,10,37,230.29,92,0,High school,0,0,0,0,83,172,28,8,7,6
34,28,Julio,Martes,Invierno,118,10,10,37,230.29,92,0,High school,0,0,0,0,83,172,28,8,7,3
26,15,Julio,Lunes,Invierno,300,26,13,43,230.29,92,0,High school,2,1,1,1,77,175,25,8,7,2
10,22,Julio,Viernes,Invierno,361,52,3,28,230.29,92,0,High school,1,1,0,4,80,172,27,8,7,6
11,22,Julio,Lunes,Invierno,289,36,13,33,230.29,92,0,High school,2,1,0,1,90,172,30,8,7,2
5,26,Julio,Lunes,Invierno,235,20,13,43,230.29,92,0,High school,1,1,0,0,106,167,38,8,7,2
11,26,Agosto,Martes,Invierno,289,36,13,33,249.797,93,0,High school,2,1,0,1,90,172,30,8,8,3
5,26,Agosto,Martes,Invierno,235,20,13,43,249.797,93,0,High school,1,1,0,0,106,167,38,8,8,3
17,25,Agosto,Martes,Invierno,179,22,17,40,249.797,93,0,Graduate,2,0,1,0,63,170,22,8,8,3
22,23,Septiembre,Viernes,Invierno,179,26,9,30,261.756,87,0,Postgraduate,0,0,0,0,56,171,19,8,9,6
13,23,Septiembre,Martes,Primavera,369,17,12,31,261.756,87,0,High school,3,1,0,0,70,169,25,8,9,3
10,22,Septiembre,Martes,Primavera,361,52,3,28,261.756,87,0,High school,1,1,0,4,80,172,27,8,9,3
24,26,Octubre,Viernes,Primavera,246,25,16,41,284.853,91,0,High school,0,1,0,0,67,170,23,8,10,6
13,23,Octubre,Martes,Primavera,369,17,12,31,284.853,91,0,High school,3,1,0,0,70,169,25,8,10,3
13,26,Octubre,Martes,Primavera,369,17,12,31,284.853,91,0,High school,3,1,0,0,70,169,25,8,10,3
13,10,Octubre,Jueves,Primavera,369,17,12,31,284.853,91,0,High school,3,1,0,0,70,169,25,8,10,5
13,10,Octubre,Viernes,Primavera,369,17,12,31,284.853,91,0,High school,3,1,0,0,70,169,25,8,10,6
6,23,Octubre,Lunes,Primavera,189,29,13,33,284.853,91,0,High school,2,0,0,2,69,167,25,8,10,2
25,6,Octubre,Lunes,Primavera,235,16,8,32,284.853,91,0,Postgraduate,0,0,0,0,75,178,25,8,10,2
33,10,Octubre,Lunes,Primavera,248,25,14,47,284.853,91,0,High school,2,0,0,1,86,165,32,8,10,2
34,9,Noviembre,Martes,Primavera,118,10,10,37,268.519,93,0,High school,0,0,0,0,83,172,28,8,11,3
11,24,Noviembre,Miercoles,Primavera,289,36,13,33,268.519,93,0,High school,2,1,0,1,90,172,30,8,11,4
25,1,Noviembre,Viernes,Primavera,235,16,8,32,268.519,93,0,Postgraduate,0,0,0,0,75,178,25,8,11,6
10,22,Noviembre,Martes,Primavera,361,52,3,28,268.519,93,0,High school,1,1,0,4,80,172,27,8,11,3
34,23,Noviembre,Lunes,Primavera,118,10,10,37,268.519,93,0,High school,0,0,0,0,83,172,28,8,11,2
34,8,Noviembre,Martes,Primavera,118,10,10,37,268.519,93,0,High school,0,0,0,0,83,172,28,8,11,3
13,26,Noviembre,Viernes,Primavera,369,17,12,31,268.519,93,0,High school,3,1,0,0,70,169,25,8,11,6
5,26,Diciembre,Viernes,Primavera,235,20,13,43,280.549,98,0,High school,1,1,0,0,106,167,38,8,12,6
12,18,Diciembre,Lunes,Primavera,233,51,1,31,280.549,98,0,Graduate,1,1,0,8,68,178,21,8,12,2
32,10,Enero,Jueves,Otono,289,48,29,49,313.532,96,0,High school,0,0,0,2,108,172,36,8,1,5
14,18,Enero,Martes,Otono,155,12,14,34,313.532,96,0,High school,2,1,0,0,95,196,25,8,1,3
11,13,Enero,Miercoles,Otono,289,36,13,33,313.532,96,0,High school,2,1,0,1,90,172,30,8,1,4
3,13,Febrero,Martes,Otono,179,51,18,38,264.249,97,0,High school,0,1,0,0,89,170,31,8,2,3
33,1,Febrero,Miercoles,Otono,248,25,14,47,264.249,97,0,High school,2,0,0,1,86,165,32,8,2,4
28,7,Febrero,Martes,Otono,225,26,9,28,264.249,97,0,High school,1,0,0,2,69,169,24,8,2,3
3,13,Febrero,Jueves,Otono,179,51,18,38,264.249,97,0,High school,0,1,0,0,89,170,31,8,2,5
10,19,Marzo,Lunes,Otono,361,52,3,28,222.196,99,0,High school,1,1,0,4,80,172,27,8,3,2
