id,age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,deposit,no_previous_contact,had_previous_contact,age_group,housing_score,loan_score,vinculacion,productos_detalle,education_rank,education_label,job_profile,week_of_month,campaign_group,segment,segment_label
71,60.0,services,single,primary,no,313,yes,no,unknown,15,May,920,2,-1,0,unknown,1,1,0,Mediana edad (55-64),1,0,2,Hipoteca + Depósito,1.0,Primary,Blue Collar,3,0-3,Cluster_0,Adultos consolidados
72,29.0,management,married,tertiary,no,10576,no,no,unknown,15,May,1224,2,-1,0,unknown,1,1,0,Jovenes adultos (25-34),0,0,1,Depósito,3.0,Tertiary,White Collar,3,0-3,Cluster_2,Profesionales estudios superiores
73,41.0,retired,divorced,primary,no,-233,yes,no,unknown,15,May,1156,2,-1,0,unknown,1,1,0,Adultos iniciales (35-44),1,0,2,Hipoteca + Depósito,1.0,Primary,Retired,3,0-3,Retired,Jubilados
74,41.0,blue-collar,married,primary,no,2453,yes,no,unknown,15,May,1052,1,-1,0,unknown,1,1,0,Adultos iniciales (35-44),1,0,2,Hipoteca + Depósito,1.0,Primary,Blue Collar,3,0-3,Cluster_3,Jovenes en consolidación
75,42.0,technician,single,secondary,no,1364,yes,no,unknown,15,May,1373,6,-1,0,unknown,1,1,0,Adultos iniciales (35-44),1,0,2,Hipoteca + Depósito,2.0,Secondary,White Collar,3,4-10,Cluster_3,Jovenes en consolidación
76,36.0,services,single,unknown,no,281,yes,no,unknown,16,May,515,1,-1,0,unknown,1,1,0,Adultos iniciales (35-44),1,0,2,Hipoteca + Depósito,,Unknown,Blue Collar,3,0-3,Cluster_3,Jovenes en consolidación
77,39.0,technician,married,tertiary,no,94,yes,yes,unknown,16,May,813,1,-1,0,unknown,1,1,0,Adultos iniciales (35-44),1,1,3,Hipoteca + Préstamo + Depósito,3.0,Tertiary,White Collar,3,0-3,Cluster_2,Profesionales estudios superiores
78,31.0,self-employed,single,tertiary,no,144,yes,no,unknown,16,May,676,1,-1,0,unknown,1,1,0,Jovenes adultos (25-34),1,0,2,Hipoteca + Depósito,3.0,Tertiary,Self-Employed,3,0-3,Cluster_1,Trabajadores técnicos
79,26.0,blue-collar,married,secondary,no,246,yes,no,unknown,16,May,1143,3,-1,0,unknown,1,1,0,Jovenes adultos (25-34),1,0,2,Hipoteca + Depósito,2.0,Secondary,Blue Collar,3,0-3,Cluster_1,Trabajadores técnicos
80,31.0,blue-collar,married,secondary,no,92,yes,no,unknown,16,May,688,1,-1,0,unknown,1,1,0,Jovenes adultos (25-34),1,0,2,Hipoteca + Depósito,2.0,Secondary,Blue Collar,3,0-3,Cluster_1,Trabajadores técnicos
81,29.0,admin.,single,secondary,no,163,yes,yes,unknown,16,May,803,1,-1,0,unknown,1,1,0,Jovenes adultos (25-34),1,1,3,Hipoteca + Préstamo + Depósito,2.0,Secondary,White Collar,3,0-3,Cluster_1,Trabajadores técnicos
82,37.0,services,divorced,secondary,no,49,yes,no,unknown,16,May,619,2,-1,0,unknown,1,1,0,Adultos iniciales (35-44),1,0,2,Hipoteca + Depósito,2.0,Secondary,Blue Collar,3,0-3,Cluster_3,Jovenes en consolidación
83,33.0,blue-collar,single,secondary,no,-416,yes,no,unknown,16,May,767,2,-1,0,unknown,1,1,0,Jovenes adultos (25-34),1,0,2,Hipoteca + Depósito,2.0,Secondary,Blue Collar,3,0-3,Cluster_1,Trabajadores técnicos
84,24.0,technician,single,secondary,no,409,yes,no,unknown,16,May,912,1,-1,0,unknown,1,1,0,Jovenes (18-24),1,0,2,Hipoteca + Depósito,2.0,Secondary,White Collar,3,0-3,Cluster_1,Trabajadores técnicos
85,50.0,admin.,divorced,secondary,no,363,yes,no,unknown,16,May,1340,1,-1,0,unknown,1,1,0,Adultos maduros (45-54),1,0,2,Hipoteca + Depósito,2.0,Secondary,White Collar,3,0-3,Cluster_0,Adultos consolidados
86,27.0,technician,single,tertiary,no,3706,yes,no,unknown,16,May,897,1,-1,0,unknown,1,1,0,Jovenes adultos (25-34),1,0,2,Hipoteca + Depósito,3.0,Tertiary,White Collar,3,0-3,Cluster_1,Trabajadores técnicos
87,54.0,management,single,tertiary,no,4393,yes,no,unknown,16,May,1297,3,-1,0,unknown,1,1,0,Adultos maduros (45-54),1,0,2,Hipoteca + Depósito,3.0,Tertiary,White Collar,3,0-3,Cluster_0,Adultos consolidados
88,30.0,technician,single,secondary,no,863,yes,no,unknown,16,May,1193,5,-1,0,unknown,1,1,0,Jovenes adultos (25-34),1,0,2,Hipoteca + Depósito,2.0,Secondary,White Collar,3,4-10,Cluster_1,Trabajadores técnicos
89,34.0,blue-collar,married,primary,no,695,yes,yes,unknown,16,May,1064,4,-1,0,unknown,1,1,0,Jovenes adultos (25-34),1,1,3,Hipoteca + Préstamo + Depósito,1.0,Primary,Blue Collar,3,4-10,Cluster_3,Jovenes en consolidación
90,37.0,management,single,secondary,no,792,yes,no,unknown,16,May,1187,4,-1,0,unknown,1,1,0,Adultos iniciales (35-44),1,0,2,Hipoteca + Depósito,2.0,Secondary,White Collar,3,4-10,Cluster_1,Trabajadores técnicos
91,41.0,admin.,single,secondary,no,1020,yes,no,unknown,19,May,882,1,-1,0,unknown,1,1,0,Adultos iniciales (35-44),1,0,2,Hipoteca + Depósito,2.0,Secondary,White Collar,3,0-3,Cluster_3,Jovenes en consolidación
92,47.0,blue-collar,married,secondary,no,863,yes,no,unknown,19,May,943,2,-1,0,unknown,1,1,0,Adultos maduros (45-54),1,0,2,Hipoteca + Depósito,2.0,Secondary,Blue Collar,3,0-3,Cluster_3,Jovenes en consolidación
93,31.0,admin.,married,secondary,no,97,yes,no,unknown,19,May,607,1,-1,0,unknown,1,1,0,Jovenes adultos (25-34),1,0,2,Hipoteca + Depósito,2.0,Secondary,White Collar,3,0-3,Cluster_1,Trabajadores técnicos
94,31.0,blue-collar,married,secondary,no,754,yes,no,unknown,19,May,1022,4,-1,0,unknown,1,1,0,Jovenes adultos (25-34),1,0,2,Hipoteca + Depósito,2.0,Secondary,Blue Collar,3,4-10,Cluster_1,Trabajadores técnicos
95,43.0,services,divorced,secondary,no,1040,yes,no,unknown,19,May,552,3,-1,0,unknown,1,1,0,Adultos iniciales (35-44),1,0,2,Hipoteca + Depósito,2.0,Secondary,Blue Collar,3,0-3,Cluster_3,Jovenes en consolidación
96,37.0,management,divorced,tertiary,no,122,yes,no,unknown,19,May,1373,2,-1,0,unknown,1,1,0,Adultos iniciales (35-44),1,0,2,Hipoteca + Depósito,3.0,Tertiary,White Collar,3,0-3,Cluster_2,Profesionales estudios superiores
97,30.0,technician,single,tertiary,no,880,yes,yes,unknown,19,May,967,6,-1,0,unknown,1,1,0,Jovenes adultos (25-34),1,1,3,Hipoteca + Préstamo + Depósito,3.0,Tertiary,White Collar,3,4-10,Cluster_1,Trabajadores técnicos
98,41.0,technician,married,secondary,no,501,yes,no,unknown,19,May,579,5,-1,0,unknown,1,1,0,Adultos iniciales (35-44),1,0,2,Hipoteca + Depósito,2.0,Secondary,White Collar,3,4-10,Cluster_3,Jovenes en consolidación
99,36.0,blue-collar,married,secondary,no,4438,yes,no,unknown,20,May,446,1,-1,0,unknown,1,1,0,Adultos iniciales (35-44),1,0,2,Hipoteca + Depósito,2.0,Secondary,Blue Collar,3,0-3,Cluster_3,Jovenes en consolidación
100,35.0,blue-collar,divorced,secondary,no,0,yes,no,unknown,20,May,1205,1,-1,0,unknown,1,1,0,Adultos iniciales (35-44),1,0,2,Hipoteca + Depósito,2.0,Secondary,Blue Collar,3,0-3,Cluster_3,Jovenes en consolidación
101,29.0,services,single,secondary,no,271,yes,no,unknown,20,May,1373,2,-1,0,unknown,1,1,0,Jovenes adultos (25-34),1,0,2,Hipoteca + Depósito,2.0,Secondary,Blue Collar,3,0-3,Cluster_1,Trabajadores técnicos
102,35.0,blue-collar,married,primary,no,102,yes,no,unknown,20,May,1334,1,-1,0,unknown,1,1,0,Adultos iniciales (35-44),1,0,2,Hipoteca + Depósito,1.0,Primary,Blue Collar,3,0-3,Cluster_3,Jovenes en consolidación
103,31.0,blue-collar,married,secondary,no,2,yes,no,unknown,20,May,182,2,-1,0,unknown,1,1,0,Jovenes adultos (25-34),1,0,2,Hipoteca + Depósito,2.0,Secondary,Blue Collar,3,0-3,Cluster_1,Trabajadores técnicos
104,35.0,services,married,secondary,no,4170,yes,no,unknown,20,May,1373,1,-1,0,unknown,1,1,0,Adultos iniciales (35-44),1,0,2,Hipoteca + Depósito,2.0,Secondary,Blue Collar,3,0-3,Cluster_3,Jovenes en consolidación
105,34.0,technician,single,secondary,no,85,yes,no,unknown,20,May,1182,4,-1,0,unknown,1,1,0,Jovenes adultos (25-34),1,0,2,Hipoteca + Depósito,2.0,Secondary,White Collar,3,4-10,Cluster_1,Trabajadores técnicos
106,31.0,admin.,single,secondary,no,431,yes,yes,unknown,20,May,1045,1,-1,0,unknown,1,1,0,Jovenes adultos (25-34),1,1,3,Hipoteca + Préstamo + Depósito,2.0,Secondary,White Collar,3,0-3,Cluster_1,Trabajadores técnicos
107,44.0,technician,divorced,secondary,no,982,yes,no,unknown,20,May,650,3,-1,0,unknown,1,1,0,Adultos iniciales (35-44),1,0,2,Hipoteca + Depósito,2.0,Secondary,White Collar,3,0-3,Cluster_3,Jovenes en consolidación
108,36.0,blue-collar,married,primary,no,408,yes,yes,unknown,20,May,1063,2,-1,0,unknown,1,1,0,Adultos iniciales (35-44),1,1,3,Hipoteca + Préstamo + Depósito,1.0,Primary,Blue Collar,3,0-3,Cluster_3,Jovenes en consolidación
109,35.0,blue-collar,married,unknown,no,4822,yes,no,unknown,20,May,843,2,-1,0,unknown,1,1,0,Adultos iniciales (35-44),1,0,2,Hipoteca + Depósito,,Unknown,Blue Collar,3,0-3,Cluster_3,Jovenes en consolidación
110,41.0,blue-collar,married,primary,no,1250,yes,no,unknown,20,May,1373,2,-1,0,unknown,1,1,0,Adultos iniciales (35-44),1,0,2,Hipoteca + Depósito,1.0,Primary,Blue Collar,3,0-3,Cluster_3,Jovenes en consolidación
111,31.0,blue-collar,single,primary,no,216,yes,no,unknown,21,May,565,1,-1,0,unknown,1,1,0,Jovenes adultos (25-34),1,0,2,Hipoteca + Depósito,1.0,Primary,Blue Collar,3,0-3,Cluster_1,Trabajadores técnicos
112,34.0,blue-collar,married,secondary,no,1207,yes,no,unknown,21,May,905,1,-1,0,unknown,1,1,0,Jovenes adultos (25-34),1,0,2,Hipoteca + Depósito,2.0,Secondary,Blue Collar,3,0-3,Cluster_3,Jovenes en consolidación
