id,age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,deposit,no_previous_contact,had_previous_contact,age_group,default_score,housing_score,loan_score,financial_burden,financial_burden_label,education_rank,education_label,job_profile
65,59.0,blue-collar,married,primary,no,320,yes,no,unknown,15,may,695,1,-1,0,unknown,1,1,0,Middle-Aged (51-65),0,1,0,1,Low burden,1.0,Primary,Blue Collar
66,44.0,blue-collar,married,unknown,no,146,yes,no,unknown,15,may,483,1,-1,0,unknown,1,1,0,Adult (36-50),0,1,0,1,Low burden,,Unknown,Blue Collar
67,49.0,unknown,married,primary,no,341,yes,yes,unknown,15,may,520,2,-1,0,unknown,1,1,0,Adult (36-50),0,1,1,2,Medium burden,1.0,Primary,Unemployed/Unknown
68,40.0,services,married,primary,no,-9,yes,no,unknown,15,may,920,2,-1,0,unknown,1,1,0,Adult (36-50),0,1,0,1,Low burden,1.0,Primary,Blue Collar
69,41.0,admin.,married,primary,no,-306,yes,no,unknown,15,may,500,1,-1,0,unknown,1,1,0,Adult (36-50),0,1,0,1,Low burden,1.0,Primary,White Collar
70,44.0,technician,married,tertiary,no,4580,yes,no,unknown,15,may,911,2,-1,0,unknown,1,1,0,Adult (36-50),0,1,0,1,Low burden,3.0,Tertiary,White Collar
71,60.0,services,single,primary,no,313,yes,no,unknown,15,may,920,2,-1,0,unknown,1,1,0,Middle-Aged (51-65),0,1,0,1,Low burden,1.0,Primary,Blue Collar
74,41.0,blue-collar,married,primary,no,2453,yes,no,unknown,15,may,1052,1,-1,0,unknown,1,1,0,Adult (36-50),0,1,0,1,Low burden,1.0,Primary,Blue Collar
76,36.0,services,single,unknown,no,281,yes,no,unknown,16,may,515,1,-1,0,unknown,1,1,0,Adult (36-50),0,1,0,1,Low burden,,Unknown,Blue Collar
77,39.0,technician,married,tertiary,no,94,yes,yes,unknown,16,may,813,1,-1,0,unknown,1,1,0,Adult (36-50),0,1,1,2,Medium burden,3.0,Tertiary,White Collar
78,31.0,self-employed,single,tertiary,no,144,yes,no,unknown,16,may,676,1,-1,0,unknown,1,1,0,Young Adult (26-35),0,1,0,1,Low burden,3.0,Tertiary,Self-Employed
80,31.0,blue-collar,married,secondary,no,92,yes,no,unknown,16,may,688,1,-1,0,unknown,1,1,0,Young Adult (26-35),0,1,0,1,Low burden,2.0,Secondary,Blue Collar
81,29.0,admin.,single,secondary,no,163,yes,yes,unknown,16,may,803,1,-1,0,unknown,1,1,0,Young Adult (26-35),0,1,1,2,Medium burden,2.0,Secondary,White Collar
82,37.0,services,divorced,secondary,no,49,yes,no,unknown,16,may,619,2,-1,0,unknown,1,1,0,Adult (36-50),0,1,0,1,Low burden,2.0,Secondary,Blue Collar
83,33.0,blue-collar,single,secondary,no,-416,yes,no,unknown,16,may,767,2,-1,0,unknown,1,1,0,Young Adult (26-35),0,1,0,1,Low burden,2.0,Secondary,Blue Collar
84,24.0,technician,single,secondary,no,409,yes,no,unknown,16,may,912,1,-1,0,unknown,1,1,0,Young (18-25),0,1,0,1,Low burden,2.0,Secondary,White Collar
86,27.0,technician,single,tertiary,no,3706,yes,no,unknown,16,may,897,1,-1,0,unknown,1,1,0,Young Adult (26-35),0,1,0,1,Low burden,3.0,Tertiary,White Collar
91,41.0,admin.,single,secondary,no,1020,yes,no,unknown,19,may,882,1,-1,0,unknown,1,1,0,Adult (36-50),0,1,0,1,Low burden,2.0,Secondary,White Collar
92,47.0,blue-collar,married,secondary,no,863,yes,no,unknown,19,may,943,2,-1,0,unknown,1,1,0,Adult (36-50),0,1,0,1,Low burden,2.0,Secondary,Blue Collar
93,31.0,admin.,married,secondary,no,97,yes,no,unknown,19,may,607,1,-1,0,unknown,1,1,0,Young Adult (26-35),0,1,0,1,Low burden,2.0,Secondary,White Collar
94,31.0,blue-collar,married,secondary,no,754,yes,no,unknown,19,may,1022,4,-1,0,unknown,1,1,0,Young Adult (26-35),0,1,0,1,Low burden,2.0,Secondary,Blue Collar
95,43.0,services,divorced,secondary,no,1040,yes,no,unknown,19,may,552,3,-1,0,unknown,1,1,0,Adult (36-50),0,1,0,1,Low burden,2.0,Secondary,Blue Collar
97,30.0,technician,single,tertiary,no,880,yes,yes,unknown,19,may,967,6,-1,0,unknown,1,1,0,Young Adult (26-35),0,1,1,2,Medium burden,3.0,Tertiary,White Collar
98,41.0,technician,married,secondary,no,501,yes,no,unknown,19,may,579,5,-1,0,unknown,1,1,0,Adult (36-50),0,1,0,1,Low burden,2.0,Secondary,White Collar
99,36.0,blue-collar,married,secondary,no,4438,yes,no,unknown,20,may,446,1,-1,0,unknown,1,1,0,Adult (36-50),0,1,0,1,Low burden,2.0,Secondary,Blue Collar
103,31.0,blue-collar,married,secondary,no,2,yes,no,unknown,20,may,182,2,-1,0,unknown,1,1,0,Young Adult (26-35),0,1,0,1,Low burden,2.0,Secondary,Blue Collar
106,31.0,admin.,single,secondary,no,431,yes,yes,unknown,20,may,1045,1,-1,0,unknown,1,1,0,Young Adult (26-35),0,1,1,2,Medium burden,2.0,Secondary,White Collar
107,44.0,technician,divorced,secondary,no,982,yes,no,unknown,20,may,650,3,-1,0,unknown,1,1,0,Adult (36-50),0,1,0,1,Low burden,2.0,Secondary,White Collar
108,36.0,blue-collar,married,primary,no,408,yes,yes,unknown,20,may,1063,2,-1,0,unknown,1,1,0,Adult (36-50),0,1,1,2,Medium burden,1.0,Primary,Blue Collar
109,35.0,blue-collar,married,unknown,no,4822,yes,no,unknown,20,may,843,2,-1,0,unknown,1,1,0,Young Adult (26-35),0,1,0,1,Low burden,,Unknown,Blue Collar
111,31.0,blue-collar,single,primary,no,216,yes,no,unknown,21,may,565,1,-1,0,unknown,1,1,0,Young Adult (26-35),0,1,0,1,Low burden,1.0,Primary,Blue Collar
112,34.0,blue-collar,married,secondary,no,1207,yes,no,unknown,21,may,905,1,-1,0,unknown,1,1,0,Young Adult (26-35),0,1,0,1,Low burden,2.0,Secondary,Blue Collar
113,32.0,technician,married,secondary,no,791,yes,no,unknown,21,may,783,2,-1,0,unknown,1,1,0,Young Adult (26-35),0,1,0,1,Low burden,2.0,Secondary,White Collar
114,36.0,management,married,tertiary,no,849,yes,yes,unknown,21,may,958,2,-1,0,unknown,1,1,0,Adult (36-50),0,1,1,2,Medium burden,3.0,Tertiary,White Collar
115,30.0,blue-collar,single,secondary,yes,239,yes,no,unknown,21,may,412,1,-1,0,unknown,1,1,0,Young Adult (26-35),1,1,0,2,Medium burden,2.0,Secondary,Blue Collar
116,37.0,technician,single,secondary,no,1211,yes,no,unknown,21,may,795,1,-1,0,unknown,1,1,0,Adult (36-50),0,1,0,1,Low burden,2.0,Secondary,White Collar
117,36.0,blue-collar,married,primary,no,599,yes,no,unknown,21,may,649,2,-1,0,unknown,1,1,0,Adult (36-50),0,1,0,1,Low burden,1.0,Primary,Blue Collar
118,31.0,management,single,tertiary,no,825,yes,no,unknown,21,may,506,2,-1,0,unknown,1,1,0,Young Adult (26-35),0,1,0,1,Low burden,3.0,Tertiary,White Collar
119,27.0,technician,married,secondary,no,2183,yes,yes,unknown,21,may,857,1,-1,0,unknown,1,1,0,Young Adult (26-35),0,1,1,2,Medium burden,2.0,Secondary,White Collar
122,32.0,technician,single,tertiary,no,4665,yes,no,unknown,21,may,860,2,-1,0,unknown,1,1,0,Young Adult (26-35),0,1,0,1,Low burden,3.0,Tertiary,White Collar
123,37.0,technician,single,secondary,no,3326,yes,no,unknown,21,may,799,1,-1,0,unknown,1,1,0,Adult (36-50),0,1,0,1,Low burden,2.0,Secondary,White Collar
124,32.0,blue-collar,married,secondary,no,783,yes,no,unknown,21,may,923,3,-1,0,unknown,1,1,0,Young Adult (26-35),0,1,0,1,Low burden,2.0,Secondary,Blue Collar
125,33.0,blue-collar,married,secondary,no,0,yes,no,unknown,21,may,521,3,-1,0,unknown,1,1,0,Young Adult (26-35),0,1,0,1,Low burden,2.0,Secondary,Blue Collar
127,35.0,self-employed,divorced,tertiary,no,1354,yes,no,unknown,23,may,736,2,-1,0,unknown,1,1,0,Young Adult (26-35),0,1,0,1,Low burden,3.0,Tertiary,Self-Employed
128,30.0,blue-collar,single,secondary,no,239,yes,no,unknown,23,may,785,1,-1,0,unknown,1,1,0,Young Adult (26-35),0,1,0,1,Low burden,2.0,Secondary,Blue Collar
129,45.0,blue-collar,divorced,primary,no,-311,yes,no,unknown,23,may,1030,1,-1,0,unknown,1,1,0,Adult (36-50),0,1,0,1,Low burden,1.0,Primary,Blue Collar
130,45.0,admin.,married,secondary,no,149,yes,no,unknown,23,may,893,3,-1,0,unknown,1,1,0,Adult (36-50),0,1,0,1,Low burden,2.0,Secondary,White Collar
131,33.0,blue-collar,married,secondary,no,1464,yes,no,unknown,23,may,588,3,-1,0,unknown,1,1,0,Young Adult (26-35),0,1,0,1,Low burden,2.0,Secondary,Blue Collar
132,44.0,management,divorced,tertiary,no,5773,no,no,unknown,23,may,597,6,-1,0,unknown,1,1,0,Adult (36-50),0,0,0,0,No burden,3.0,Tertiary,White Collar
133,40.0,blue-collar,married,primary,no,278,yes,no,unknown,23,may,1015,3,-1,0,unknown,1,1,0,Adult (36-50),0,1,0,1,Low burden,1.0,Primary,Blue Collar
135,30.0,technician,married,tertiary,no,541,yes,no,unknown,26,may,414,2,-1,0,unknown,1,1,0,Young Adult (26-35),0,1,0,1,Low burden,3.0,Tertiary,White Collar
137,34.0,services,married,secondary,no,-538,yes,no,unknown,26,may,682,1,-1,0,unknown,1,1,0,Young Adult (26-35),0,1,0,1,Low burden,2.0,Secondary,Blue Collar
138,37.0,blue-collar,married,secondary,no,125,no,no,unknown,26,may,679,2,-1,0,unknown,1,1,0,Adult (36-50),0,0,0,0,No burden,2.0,Secondary,Blue Collar
141,37.0,blue-collar,divorced,secondary,no,316,yes,no,unknown,26,may,642,2,-1,0,unknown,1,1,0,Adult (36-50),0,1,0,1,Low burden,2.0,Secondary,Blue Collar
142,34.0,management,married,tertiary,no,2287,yes,no,unknown,26,may,895,4,-1,0,unknown,1,1,0,Young Adult (26-35),0,1,0,1,Low burden,3.0,Tertiary,White Collar
143,38.0,admin.,divorced,secondary,no,198,yes,no,unknown,26,may,431,2,-1,0,unknown,1,1,0,Adult (36-50),0,1,0,1,Low burden,2.0,Secondary,White Collar
144,28.0,admin.,single,secondary,no,460,yes,no,unknown,26,may,741,6,-1,0,unknown,1,1,0,Young Adult (26-35),0,1,0,1,Low burden,2.0,Secondary,White Collar
146,59.0,services,married,secondary,no,-22,yes,no,unknown,26,may,748,3,-1,0,unknown,1,1,0,Middle-Aged (51-65),0,1,0,1,Low burden,2.0,Secondary,Blue Collar
147,24.0,blue-collar,married,secondary,no,685,yes,no,unknown,26,may,896,3,-1,0,unknown,1,1,0,Young (18-25),0,1,0,1,Low burden,2.0,Secondary,Blue Collar
148,26.0,services,single,secondary,no,901,yes,no,unknown,26,may,764,2,-1,0,unknown,1,1,0,Young Adult (26-35),0,1,0,1,Low burden,2.0,Secondary,Blue Collar
149,59.0,retired,single,secondary,no,351,yes,no,unknown,27,may,1063,5,-1,0,unknown,1,1,0,Middle-Aged (51-65),0,1,0,1,Low burden,2.0,Secondary,Retired
150,30.0,entrepreneur,single,primary,no,0,yes,yes,unknown,27,may,1051,1,-1,0,unknown,1,1,0,Young Adult (26-35),0,1,1,2,Medium burden,1.0,Primary,Self-Employed
151,37.0,admin.,married,secondary,no,274,yes,no,unknown,27,may,731,3,-1,0,unknown,1,1,0,Adult (36-50),0,1,0,1,Low burden,2.0,Secondary,White Collar
152,30.0,admin.,single,secondary,no,-213,yes,yes,unknown,27,may,751,1,-1,0,unknown,1,1,0,Young Adult (26-35),0,1,1,2,Medium burden,2.0,Secondary,White Collar
153,25.0,blue-collar,married,secondary,no,97,yes,no,unknown,27,may,709,1,-1,0,unknown,1,1,0,Young (18-25),0,1,0,1,Low burden,2.0,Secondary,Blue Collar
155,29.0,management,married,tertiary,no,314,no,no,unknown,28,may,938,2,-1,0,unknown,1,1,0,Young Adult (26-35),0,0,0,0,No burden,3.0,Tertiary,White Collar
157,26.0,technician,single,secondary,no,668,yes,no,unknown,28,may,576,3,-1,0,unknown,1,1,0,Young Adult (26-35),0,1,0,1,Low burden,2.0,Secondary,White Collar
158,27.0,services,single,secondary,no,54,yes,no,unknown,28,may,543,2,-1,0,unknown,1,1,0,Young Adult (26-35),0,1,0,1,Low burden,2.0,Secondary,Blue Collar
159,25.0,self-employed,single,secondary,no,1242,yes,no,unknown,28,may,615,2,-1,0,unknown,1,1,0,Young (18-25),0,1,0,1,Low burden,2.0,Secondary,Self-Employed
160,28.0,management,married,secondary,no,292,yes,no,unknown,28,may,507,1,-1,0,unknown,1,1,0,Young Adult (26-35),0,1,0,1,Low burden,2.0,Secondary,White Collar
162,34.0,management,single,tertiary,no,1058,yes,no,unknown,28,may,864,2,-1,0,unknown,1,1,0,Young Adult (26-35),0,1,0,1,Low burden,3.0,Tertiary,White Collar
165,35.0,blue-collar,married,secondary,no,0,yes,yes,unknown,29,may,543,1,-1,0,unknown,1,1,0,Young Adult (26-35),0,1,1,2,Medium burden,2.0,Secondary,Blue Collar
166,35.0,admin.,married,secondary,no,404,yes,no,unknown,29,may,539,1,-1,0,unknown,1,1,0,Young Adult (26-35),0,1,0,1,Low burden,2.0,Secondary,White Collar
167,56.0,blue-collar,married,secondary,no,249,yes,no,unknown,29,may,791,2,-1,0,unknown,1,1,0,Middle-Aged (51-65),0,1,0,1,Low burden,2.0,Secondary,Blue Collar
168,45.0,unemployed,divorced,secondary,no,3354,yes,no,unknown,29,may,746,1,-1,0,unknown,1,1,0,Adult (36-50),0,1,0,1,Low burden,2.0,Secondary,Unemployed/Unknown
170,56.0,technician,married,secondary,no,589,yes,no,unknown,29,may,535,2,-1,0,unknown,1,1,0,Middle-Aged (51-65),0,1,0,1,Low burden,2.0,Secondary,White Collar
171,27.0,management,single,tertiary,no,12956,yes,no,unknown,29,may,789,3,-1,0,unknown,1,1,0,Young Adult (26-35),0,1,0,1,Low burden,3.0,Tertiary,White Collar
172,30.0,admin.,married,secondary,no,873,yes,no,unknown,29,may,792,3,-1,0,unknown,1,1,0,Young Adult (26-35),0,1,0,1,Low burden,2.0,Secondary,White Collar
173,45.0,blue-collar,divorced,primary,no,594,yes,no,unknown,29,may,833,2,-1,0,unknown,1,1,0,Adult (36-50),0,1,0,1,Low burden,1.0,Primary,Blue Collar
174,29.0,blue-collar,single,secondary,no,-20,yes,no,unknown,29,may,814,2,-1,0,unknown,1,1,0,Young Adult (26-35),0,1,0,1,Low burden,2.0,Secondary,Blue Collar
177,44.0,blue-collar,single,primary,no,1593,yes,no,unknown,29,may,828,3,-1,0,unknown,1,1,0,Adult (36-50),0,1,0,1,Low burden,1.0,Primary,Blue Collar
178,36.0,management,single,tertiary,no,7606,yes,no,unknown,30,may,917,1,-1,0,unknown,1,1,0,Adult (36-50),0,1,0,1,Low burden,3.0,Tertiary,White Collar
179,38.0,technician,married,secondary,no,226,yes,no,unknown,30,may,762,3,-1,0,unknown,1,1,0,Adult (36-50),0,1,0,1,Low burden,2.0,Secondary,White Collar
181,37.0,management,divorced,secondary,no,16,yes,no,unknown,30,may,638,1,-1,0,unknown,1,1,0,Adult (36-50),0,1,0,1,Low burden,2.0,Secondary,White Collar
182,35.0,management,single,tertiary,no,565,yes,no,unknown,30,may,763,1,-1,0,unknown,1,1,0,Young Adult (26-35),0,1,0,1,Low burden,3.0,Tertiary,White Collar
183,38.0,admin.,divorced,secondary,no,19,yes,no,unknown,30,may,604,2,-1,0,unknown,1,1,0,Adult (36-50),0,1,0,1,Low burden,2.0,Secondary,White Collar
184,40.0,services,married,primary,no,1082,yes,no,unknown,30,may,854,2,-1,0,unknown,1,1,0,Adult (36-50),0,1,0,1,Low burden,1.0,Primary,Blue Collar
185,42.0,unemployed,divorced,secondary,no,1713,yes,no,unknown,30,may,855,2,-1,0,unknown,1,1,0,Adult (36-50),0,1,0,1,Low burden,2.0,Secondary,Unemployed/Unknown
190,50.0,unemployed,married,secondary,no,3674,yes,no,unknown,30,may,886,3,-1,0,unknown,1,1,0,Adult (36-50),0,1,0,1,Low burden,2.0,Secondary,Unemployed/Unknown
192,36.0,technician,single,secondary,no,4136,yes,no,unknown,30,may,812,3,-1,0,unknown,1,1,0,Adult (36-50),0,1,0,1,Low burden,2.0,Secondary,White Collar
194,46.0,management,single,tertiary,no,2904,yes,no,unknown,30,may,984,2,-1,0,unknown,1,1,0,Adult (36-50),0,1,0,1,Low burden,3.0,Tertiary,White Collar
195,26.0,management,single,tertiary,no,1004,yes,no,unknown,30,may,228,2,-1,0,unknown,1,1,0,Young Adult (26-35),0,1,0,1,Low burden,3.0,Tertiary,White Collar
196,45.0,technician,single,secondary,no,410,yes,no,unknown,30,may,891,4,-1,0,unknown,1,1,0,Adult (36-50),0,1,0,1,Low burden,2.0,Secondary,White Collar
199,53.0,entrepreneur,single,secondary,no,62,yes,no,unknown,30,may,1044,5,-1,0,unknown,1,1,0,Middle-Aged (51-65),0,1,0,1,Low burden,2.0,Secondary,Self-Employed
201,39.0,management,married,tertiary,no,2763,yes,no,unknown,2,jun,526,2,-1,0,unknown,1,1,0,Adult (36-50),0,1,0,1,Low burden,3.0,Tertiary,White Collar
202,36.0,services,married,secondary,no,2984,yes,no,unknown,2,jun,394,1,-1,0,unknown,1,1,0,Adult (36-50),0,1,0,1,Low burden,2.0,Secondary,Blue Collar
203,41.0,blue-collar,married,primary,no,143,yes,yes,unknown,2,jun,659,2,-1,0,unknown,1,1,0,Adult (36-50),0,1,1,2,Medium burden,1.0,Primary,Blue Collar
204,36.0,services,married,primary,no,0,yes,no,unknown,2,jun,1036,1,-1,0,unknown,1,1,0,Adult (36-50),0,1,0,1,Low burden,1.0,Primary,Blue Collar
205,32.0,technician,married,secondary,no,696,yes,no,unknown,2,jun,815,1,-1,0,unknown,1,1,0,Young Adult (26-35),0,1,0,1,Low burden,2.0,Secondary,White Collar
206,35.0,services,married,secondary,no,152,yes,no,unknown,2,jun,563,1,-1,0,unknown,1,1,0,Young Adult (26-35),0,1,0,1,Low burden,2.0,Secondary,Blue Collar
208,35.0,management,married,tertiary,no,867,yes,no,unknown,2,jun,230,3,-1,0,unknown,1,1,0,Young Adult (26-35),0,1,0,1,Low burden,3.0,Tertiary,White Collar
209,30.0,blue-collar,single,secondary,no,953,yes,no,unknown,2,jun,747,2,-1,0,unknown,1,1,0,Young Adult (26-35),0,1,0,1,Low burden,2.0,Secondary,Blue Collar
210,42.0,blue-collar,married,secondary,no,443,yes,no,unknown,2,jun,671,5,-1,0,unknown,1,1,0,Adult (36-50),0,1,0,1,Low burden,2.0,Secondary,Blue Collar
211,42.0,technician,single,secondary,yes,-1129,yes,no,unknown,2,jun,555,5,-1,0,unknown,1,1,0,Adult (36-50),1,1,0,2,Medium burden,2.0,Secondary,White Collar
212,32.0,blue-collar,married,primary,no,415,yes,no,unknown,2,jun,777,4,-1,0,unknown,1,1,0,Young Adult (26-35),0,1,0,1,Low burden,1.0,Primary,Blue Collar
214,44.0,management,divorced,tertiary,yes,-411,yes,no,unknown,2,jun,432,4,-1,0,unknown,1,1,0,Adult (36-50),1,1,0,2,Medium burden,3.0,Tertiary,White Collar
216,31.0,unemployed,married,secondary,no,86,yes,yes,unknown,3,jun,963,2,-1,0,unknown,1,1,0,Young Adult (26-35),0,1,1,2,Medium burden,2.0,Secondary,Unemployed/Unknown
