id,age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,deposit,no_previous_contact,had_previous_contact,age_group,housing_score,loan_score,vinculacion,productos_detalle,education_rank,education_label,job_profile,week_of_month,campaign_group,2076,2075,2074,2073,2072,2071,2070,2069,2068,2067,2066,2065,2064,2063,2062,2061,2060,2059,2058,2057,2056,2055,2054,2053,2052,2051,2050,2049,2048,2047,2046,2045,2044,2043,2042,2041,2040,2039,2038,2037,2036,2035,2034,2033,2032,2031,2030,2029,2028,2027,2026
13,29.0,management,married,tertiary,no,199,yes,yes,unknown,7,May,1373,4,-1,0,unknown,1,1,0,Jovenes adultos (25-34),1,1,3,Hipoteca + Préstamo + Depósito,3.0,Tertiary,White Collar,1,4-10,585528.684068,588083.738584,590083.214554,591397.93242,591976.65778,591814.546979,590959.678287,589056.908178,586670.626727,583902.389761,580862.565193,577659.710416,574384.191595,571103.019552,567871.250192,564726.739659,561689.747895,558777.571318,556022.700631,553474.558125,551224.490823,550644.875602,547654.146511,548023.463503,560057.58323,564894.115505,568489.462448,583886.113638,597130.017659,616936.967255,634213.575321,642845.880215,649124.129181,645368.062899,669615.305627,680661.38095,690482.038471,697665.303094,716218.919016,700210.708841,698536.326868,685209.046552,678017.876342,665788.576667,643416.809896,632426.639002,627410.732708,604429.593839,580081.756681,575773.714632,557162.0
14,46.0,blue-collar,single,tertiary,no,460,yes,no,unknown,7,May,1102,2,-1,0,unknown,1,1,0,Adultos maduros (45-54),1,0,2,Hipoteca + Depósito,3.0,Tertiary,Blue Collar,1,0-3,670933.138138,668070.996234,665346.62749,662834.414059,661771.814041,658852.689643,658838.842715,669488.590891,673502.790574,676597.902784,690457.82252,701933.534698,719507.928579,734687.71671,742120.257197,747486.919289,743926.528115,765975.873498,775984.762717,784502.050563,790783.689646,807722.664735,791735.646091,788730.100875,776386.680935,769624.576351,758982.244241,739798.62705,731414.113884,727591.034344,710724.396771,693867.24031,694920.383382,684357.935098,679933.546199,679516.45548,686219.393459,692247.775079,682484.925886,681056.001228,680840.55737,681688.338187,679309.552493,683196.509484,691325.720029,703412.419289,712274.799372,737241.434612,755385.13406,779472.971697,790432.0
15,31.0,technician,single,tertiary,no,703,yes,no,unknown,8,May,943,2,-1,0,unknown,1,1,0,Jovenes adultos (25-34),1,0,2,Hipoteca + Depósito,3.0,Tertiary,White Collar,2,0-3,609488.40828,610788.11752,611423.613405,611323.706887,610513.380622,608643.342394,606280.357556,603536.508426,600529.450573,597370.286756,594147.34642,590922.217983,587742.631777,584638.733761,581624.322547,578712.323253,575933.545366,573338.601407,571022.324924,570339.245291,567340.628598,567629.544407,579430.110603,584126.71406,587637.342747,602788.204752,615736.306438,635169.453985,652079.631514,660481.515644,666568.073415,662795.909433,686651.854968,697511.334726,707132.907281,714251.63715,732720.004111,716965.190778,715445.993796,702835.185118,696418.058465,685305.01799,664451.567361,654926.046733,650998.309676,630010.31398,607724.281074,604610.613255,587204.272618,576703.697143,569777.0
16,35.0,management,divorced,tertiary,no,3837,yes,no,unknown,8,May,1084,1,-1,0,unknown,1,1,0,Adultos iniciales(35-44),1,0,2,Hipoteca + Depósito,3.0,Tertiary,White Collar,2,0-3,643683.097025,641912.090851,639683.129521,637051.23113,634121.458576,631012.699619,627826.766793,624636.463252,621494.420969,618429.381736,615449.031561,612557.471998,609776.541839,607149.695919,604767.829519,603944.550923,600955.024527,601109.843296,612481.680682,616909.973818,620246.092622,634934.86518,647359.313535,666146.428334,682453.065546,690512.668848,696335.43813,692605.065885,715800.225818,726310.273668,735481.812472,742256.159097,760176.075225,744341.864154,742394.040687,730105.860816,723954.25747,713575.22291,694087.216239,685931.644707,683107.438253,664896.628222,645978.458139,645671.711389,631946.234413,624373.247431,619956.335542,621471.838955,622379.118596,605884.937187,599627.0
17,32.0,blue-collar,single,primary,no,611,yes,no,unknown,8,May,541,3,-1,0,unknown,1,1,0,Jovenes adultos (25-34),1,0,2,Hipoteca + Depósito,1.0,Primary,Blue Collar,2,0-3,619772.844429,620379.212879,620306.434987,619534.655485,617698.9107,615358.719457,612629.075014,609632.671515,606484.966099,603276.638611,600069.573142,596909.676175,593824.300982,590823.948089,587918.526838,585136.669907,582527.915264,580187.423122,579460.088396,576458.982258,576708.806513,588394.100676,593020.423998,596487.467042,611518.653935,624328.78669,643589.519758,660335.271461,668639.700319,674647.057466,670875.882503,694544.850708,705303.733418,714803.584339,721840.85612,740189.333065,724456.606215,722887.070959,710457.05676,704229.566727,693455.604026,673130.833492,664138.532798,660646.856716,640549.781869,619278.83377,616940.743412,600465.177743,590536.531391,583905.11335,583324.0
18,49.0,services,married,secondary,no,-8,yes,no,unknown,8,May,1119,1,-1,0,unknown,1,1,0,Adultos maduros (45-54),1,0,2,Hipoteca + Depósito,2.0,Secondary,Blue Collar,2,0-3,670040.691781,668938.025628,666055.446002,666021.987565,676523.38807,680445.065686,683481.572692,697160.721984,708442.461538,725772.863137,740735.078013,748057.651335,753351.014247,749848.308967,771667.691517,781581.169194,789972.531267,796160.235427,812900.21401,796924.244192,793746.074922,781436.963848,774597.715804,763946.142332,744856.78803,736424.178254,732364.345705,715650.172714,698992.614859,700000.662163,689624.948161,685269.707736,684956.263053,691841.161982,698013.508908,688685.682028,687521.978661,687744.490369,689118.370154,687548.213059,692311.515154,701332.763409,714312.193115,724233.648172,749576.192983,768584.71017,792660.055883,804190.417147,829234.071864,832170.546097,839091.0
19,41.0,admin.,married,secondary,no,55,yes,no,unknown,8,May,1120,2,-1,0,unknown,1,1,0,Adultos iniciales(35-44),1,0,2,Hipoteca + Depósito,2.0,Secondary,White Collar,2,0-3,665539.311217,662426.79285,659350.489489,656307.58027,653305.723518,650361.511658,647510.431318,644806.01089,642343.46981,641388.909321,638463.942875,638535.596303,649482.622878,653658.532135,656833.091494,670998.984529,682818.154487,700843.342954,716442.223459,724104.052977,729641.414543,726009.374983,748521.267684,758733.425687,767504.997085,773968.601926,791273.831159,775284.807534,772625.987873,760239.939406,753665.485002,743101.716964,723823.253257,715625.151619,712365.808309,695285.302998,678080.212836,679186.614411,668134.253077,663323.393149,662283.755027,667988.742154,672910.512633,661257.178657,658140.139921,655733.067695,654191.829997,648897.254939,650004.143846,655896.188792,666610.0
20,49.0,admin.,divorced,secondary,no,168,yes,yes,unknown,8,May,513,1,-1,0,unknown,1,1,0,Adultos maduros (45-54),1,1,3,Hipoteca + Préstamo + Depósito,2.0,Secondary,White Collar,2,0-3,670040.691781,668938.025628,666055.446002,666021.987565,676523.38807,680445.065686,683481.572692,697160.721984,708442.461538,725772.863137,740735.078013,748057.651335,753351.014247,749848.308967,771667.691517,781581.169194,789972.531267,796160.235427,812900.21401,796924.244192,793746.074922,781436.963848,774597.715804,763946.142332,744856.78803,736424.178254,732364.345705,715650.172714,698992.614859,700000.662163,689624.948161,685269.707736,684956.263053,691841.161982,698013.508908,688685.682028,687521.978661,687744.490369,689118.370154,687548.213059,692311.515154,701332.763409,714312.193115,724233.648172,749576.192983,768584.71017,792660.055883,804190.417147,829234.071864,832170.546097,839091.0
21,28.0,admin.,divorced,secondary,no,785,yes,no,unknown,8,May,442,2,-1,0,unknown,1,1,0,Jovenes adultos (25-34),1,0,2,Hipoteca + Depósito,2.0,Secondary,White Collar,2,0-3,572024.424502,575088.357117,577689.691486,579672.458368,580957.558467,581514.006643,581340.530363,580481.122689,578571.133201,576172.898084,573385.01944,570317.61242,567081.550234,563770.884562,560457.060761,557199.464207,554039.406505,550999.374251,548097.209348,545364.680699,542849.096915,540639.09268,540115.848334,537127.75434,537535.978947,549685.291971,554591.833925,558230.645887,573755.247381,587160.733254,607171.308005,624651.190804,633415.900527,639801.102121,636051.320497,660479.181688,671580.497387,681439.128803,688557.281671,707018.596847,690726.711086,688795.361799,674885.017231,667076.119089,654057.672606,630714.312566,618852.33009,613306.454458,589385.489915,564214.198609,559789.0
22,43.0,management,single,tertiary,no,2067,yes,no,unknown,8,May,756,1,-1,0,unknown,1,1,0,Adultos iniciales(35-44),1,0,2,Hipoteca + Depósito,3.0,Tertiary,White Collar,2,0-3,668790.46519,665748.772676,662772.660104,659844.484818,656988.752381,654260.367101,651761.079297,650751.430667,647827.332571,647866.946519,658695.38409,662810.063,665956.259636,679995.067098,691667.065831,709496.813698,724911.22693,732468.132719,737925.869165,734318.069805,756631.833477,766757.367163,775422.113622,781810.696992,798963.547694,782971.804455,780160.087312,767783.472686,761116.723351,750503.575518,731247.027435,722952.741239,719439.696469,702447.614158,685403.26064,686519.003894,675732.727179,671171.867872,670517.052535,676807.621149,682388.619823,671758.684362,669577.086324,668320.433152,667976.004687,664048.791842,666353.909756,673038.679381,683949.01087,691806.405527,717240.0
23,43.0,management,divorced,tertiary,no,388,yes,no,unknown,8,May,1373,2,-1,0,unknown,1,1,0,Adultos iniciales(35-44),1,0,2,Hipoteca + Depósito,3.0,Tertiary,White Collar,2,0-3,668790.46519,665748.772676,662772.660104,659844.484818,656988.752381,654260.367101,651761.079297,650751.430667,647827.332571,647866.946519,658695.38409,662810.063,665956.259636,679995.067098,691667.065831,709496.813698,724911.22693,732468.132719,737925.869165,734318.069805,756631.833477,766757.367163,775422.113622,781810.696992,798963.547694,782971.804455,780160.087312,767783.472686,761116.723351,750503.575518,731247.027435,722952.741239,719439.696469,702447.614158,685403.26064,686519.003894,675732.727179,671171.867872,670517.052535,676807.621149,682388.619823,671758.684362,669577.086324,668320.433152,667976.004687,664048.791842,666353.909756,673038.679381,683949.01087,691806.405527,717240.0
24,43.0,blue-collar,married,primary,no,-192,yes,no,unknown,8,May,1120,2,-1,0,unknown,1,1,0,Adultos iniciales(35-44),1,0,2,Hipoteca + Depósito,1.0,Primary,Blue Collar,2,0-3,668790.46519,665748.772676,662772.660104,659844.484818,656988.752381,654260.367101,651761.079297,650751.430667,647827.332571,647866.946519,658695.38409,662810.063,665956.259636,679995.067098,691667.065831,709496.813698,724911.22693,732468.132719,737925.869165,734318.069805,756631.833477,766757.367163,775422.113622,781810.696992,798963.547694,782971.804455,780160.087312,767783.472686,761116.723351,750503.575518,731247.027435,722952.741239,719439.696469,702447.614158,685403.26064,686519.003894,675732.727179,671171.867872,670517.052535,676807.621149,682388.619823,671758.684362,669577.086324,668320.433152,667976.004687,664048.791842,666353.909756,673038.679381,683949.01087,691806.405527,717240.0
25,37.0,unemployed,single,secondary,no,381,yes,no,unknown,8,May,985,2,-1,0,unknown,1,1,0,Adultos iniciales(35-44),1,0,2,Hipoteca + Depósito,2.0,Secondary,Unemployed,2,0-3,653676.403778,651069.633545,648209.981142,645165.743023,642020.659034,638846.804615,635703.507889,632627.751881,629633.703173,626728.979751,623935.769986,621295.701412,618896.735674,618031.919062,615066.426611,615183.962242,626388.409746,630710.32541,633973.221454,648459.506448,660653.76841,679158.310075,695205.592523,703122.928407,708845.647832,705154.390108,728098.839193,738493.550564,747504.554611,754146.242656,771818.677413,755900.413896,753669.744764,741341.243881,735051.356918,724652.016098,705328.726832,697287.494152,694469.968601,676907.605486,658905.96524,659428.10164,647030.292048,640793.880816,637901.540737,641182.616962,643605.000811,628732.885257,623079.170718,618107.804335,614688.0
26,35.0,blue-collar,single,secondary,no,40,yes,no,unknown,9,May,617,4,-1,0,unknown,1,1,0,Adultos iniciales(35-44),1,0,2,Hipoteca + Depósito,2.0,Secondary,Blue Collar,2,4-10,643683.097025,641912.090851,639683.129521,637051.23113,634121.458576,631012.699619,627826.766793,624636.463252,621494.420969,618429.381736,615449.031561,612557.471998,609776.541839,607149.695919,604767.829519,603944.550923,600955.024527,601109.843296,612481.680682,616909.973818,620246.092622,634934.86518,647359.313535,666146.428334,682453.065546,690512.668848,696335.43813,692605.065885,715800.225818,726310.273668,735481.812472,742256.159097,760176.075225,744341.864154,742394.040687,730105.860816,723954.25747,713575.22291,694087.216239,685931.644707,683107.438253,664896.628222,645978.458139,645671.711389,631946.234413,624373.247431,619956.335542,621471.838955,622379.118596,605884.937187,599627.0
27,31.0,technician,single,tertiary,no,22,yes,no,unknown,9,May,483,3,-1,0,unknown,1,1,0,Jovenes adultos (25-34),1,0,2,Hipoteca + Depósito,3.0,Tertiary,White Collar,2,0-3,609488.40828,610788.11752,611423.613405,611323.706887,610513.380622,608643.342394,606280.357556,603536.508426,600529.450573,597370.286756,594147.34642,590922.217983,587742.631777,584638.733761,581624.322547,578712.323253,575933.545366,573338.601407,571022.324924,570339.245291,567340.628598,567629.544407,579430.110603,584126.71406,587637.342747,602788.204752,615736.306438,635169.453985,652079.631514,660481.515644,666568.073415,662795.909433,686651.854968,697511.334726,707132.907281,714251.63715,732720.004111,716965.190778,715445.993796,702835.185118,696418.058465,685305.01799,664451.567361,654926.046733,650998.309676,630010.31398,607724.281074,604610.613255,587204.272618,576703.697143,569777.0
28,43.0,blue-collar,single,secondary,no,3,yes,no,unknown,9,May,929,3,-1,0,unknown,1,1,0,Adultos iniciales(35-44),1,0,2,Hipoteca + Depósito,2.0,Secondary,Blue Collar,2,0-3,668790.46519,665748.772676,662772.660104,659844.484818,656988.752381,654260.367101,651761.079297,650751.430667,647827.332571,647866.946519,658695.38409,662810.063,665956.259636,679995.067098,691667.065831,709496.813698,724911.22693,732468.132719,737925.869165,734318.069805,756631.833477,766757.367163,775422.113622,781810.696992,798963.547694,782971.804455,780160.087312,767783.472686,761116.723351,750503.575518,731247.027435,722952.741239,719439.696469,702447.614158,685403.26064,686519.003894,675732.727179,671171.867872,670517.052535,676807.621149,682388.619823,671758.684362,669577.086324,668320.433152,667976.004687,664048.791842,666353.909756,673038.679381,683949.01087,691806.405527,717240.0
29,31.0,admin.,married,secondary,no,307,yes,no,unknown,9,May,538,1,-1,0,unknown,1,1,0,Jovenes adultos (25-34),1,0,2,Hipoteca + Depósito,2.0,Secondary,White Collar,2,0-3,609488.40828,610788.11752,611423.613405,611323.706887,610513.380622,608643.342394,606280.357556,603536.508426,600529.450573,597370.286756,594147.34642,590922.217983,587742.631777,584638.733761,581624.322547,578712.323253,575933.545366,573338.601407,571022.324924,570339.245291,567340.628598,567629.544407,579430.110603,584126.71406,587637.342747,602788.204752,615736.306438,635169.453985,652079.631514,660481.515644,666568.073415,662795.909433,686651.854968,697511.334726,707132.907281,714251.63715,732720.004111,716965.190778,715445.993796,702835.185118,696418.058465,685305.01799,664451.567361,654926.046733,650998.309676,630010.31398,607724.281074,604610.613255,587204.272618,576703.697143,569777.0
30,28.0,blue-collar,single,secondary,no,759,yes,no,unknown,9,May,710,1,-1,0,unknown,1,1,0,Jovenes adultos (25-34),1,0,2,Hipoteca + Depósito,2.0,Secondary,Blue Collar,2,0-3,572024.424502,575088.357117,577689.691486,579672.458368,580957.558467,581514.006643,581340.530363,580481.122689,578571.133201,576172.898084,573385.01944,570317.61242,567081.550234,563770.884562,560457.060761,557199.464207,554039.406505,550999.374251,548097.209348,545364.680699,542849.096915,540639.09268,540115.848334,537127.75434,537535.978947,549685.291971,554591.833925,558230.645887,573755.247381,587160.733254,607171.308005,624651.190804,633415.900527,639801.102121,636051.320497,660479.181688,671580.497387,681439.128803,688557.281671,707018.596847,690726.711086,688795.361799,674885.017231,667076.119089,654057.672606,630714.312566,618852.33009,613306.454458,589385.489915,564214.198609,559789.0
31,32.0,blue-collar,married,secondary,yes,-1,yes,no,unknown,9,May,653,1,-1,0,unknown,1,1,0,Jovenes adultos (25-34),1,0,2,Hipoteca + Depósito,2.0,Secondary,Blue Collar,2,0-3,619772.844429,620379.212879,620306.434987,619534.655485,617698.9107,615358.719457,612629.075014,609632.671515,606484.966099,603276.638611,600069.573142,596909.676175,593824.300982,590823.948089,587918.526838,585136.669907,582527.915264,580187.423122,579460.088396,576458.982258,576708.806513,588394.100676,593020.423998,596487.467042,611518.653935,624328.78669,643589.519758,660335.271461,668639.700319,674647.057466,670875.882503,694544.850708,705303.733418,714803.584339,721840.85612,740189.333065,724456.606215,722887.070959,710457.05676,704229.566727,693455.604026,673130.833492,664138.532798,660646.856716,640549.781869,619278.83377,616940.743412,600465.177743,590536.531391,583905.11335,583324.0
32,60.0,technician,married,primary,no,65,yes,no,unknown,9,May,1028,2,-1,0,unknown,1,1,0,Mediana edad (55-64),1,0,2,Hipoteca + Depósito,1.0,Primary,White Collar,2,0-3,738726.931053,743718.902616,740365.193997,761340.290393,770888.789117,778839.183435,784705.525154,800753.542891,784915.246387,781230.206202,769092.405201,762048.313998,751424.004993,732739.708541,724217.486703,719485.755984,703379.255719,687482.146805,688411.996395,678748.58059,674701.052248,674728.860608,682034.475429,688430.999344,680147.4524,679264.302228,679962.08442,681744.140353,681046.370845,686435.819394,695788.589257,708878.197566,719355.979045,743746.152868,763335.557922,786960.786051,800264.325946,826054.675437,830909.320293,839867.763524,829428.506709,820286.825718,797852.041887,790303.061076,775304.914836,761073.768917,749776.352126,739472.901217,741256.552328,721091.270048,712950.0
