id,age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,deposit,no_previous_contact,had_previous_contact,age_group,financial_burden,financial_burden_label,education_rank,education_label,job_profile,week_of_month,campaign_group
33,26.0,blue-collar,single,secondary,no,82,yes,no,unknown,9,May,654,1,-1,0,unknown,1,1,0,Young Adult (26-35),1,Low burden,2.0,Secondary,Blue Collar,2,0-3
34,40.0,blue-collar,married,secondary,no,10,yes,no,unknown,9,May,1381,2,-1,0,unknown,1,1,0,Adult (36-50),1,Low burden,2.0,Secondary,Blue Collar,2,0-3
35,33.0,blue-collar,divorced,primary,no,390,yes,no,unknown,9,May,665,2,-1,0,unknown,1,1,0,Young Adult (26-35),1,Low burden,1.0,Primary,Blue Collar,2,0-3
36,32.0,management,single,tertiary,no,311,no,no,unknown,12,May,757,2,-1,0,unknown,1,1,0,Young Adult (26-35),0,No burden,3.0,Tertiary,White Collar,2,0-3
37,35.0,blue-collar,married,primary,no,414,no,no,unknown,13,May,504,4,-1,0,unknown,1,1,0,Young Adult (26-35),0,No burden,1.0,Primary,Blue Collar,2,4-10
38,33.0,management,divorced,secondary,no,5,yes,no,unknown,13,May,1346,1,-1,0,unknown,1,1,0,Young Adult (26-35),1,Low burden,2.0,Secondary,White Collar,2,0-3
39,38.0,management,married,tertiary,no,119,yes,no,unknown,13,May,568,4,-1,0,unknown,1,1,0,Adult (36-50),1,Low burden,3.0,Tertiary,White Collar,2,4-10
40,23.0,entrepreneur,single,primary,no,4,yes,no,unknown,13,May,395,2,-1,0,unknown,1,1,0,Young (18-25),1,Low burden,1.0,Primary,Self-Employed,2,0-3
41,60.0,blue-collar,married,primary,no,1262,yes,yes,unknown,13,May,1015,1,-1,0,unknown,1,1,0,Middle-Aged (51-65),2,High burden,1.0,Primary,Blue Collar,2,0-3
42,48.0,management,married,tertiary,no,1949,yes,no,unknown,13,May,683,2,-1,0,unknown,1,1,0,Adult (36-50),1,Low burden,3.0,Tertiary,White Collar,2,0-3
43,45.0,entrepreneur,divorced,tertiary,no,-395,yes,no,unknown,13,May,470,1,-1,0,unknown,1,1,0,Adult (36-50),1,Low burden,3.0,Tertiary,Self-Employed,2,0-3
44,36.0,blue-collar,married,secondary,no,1165,yes,no,unknown,13,May,1001,4,-1,0,unknown,1,1,0,Adult (36-50),1,Low burden,2.0,Secondary,Blue Collar,2,4-10
45,52.0,management,married,unknown,no,2240,yes,no,unknown,13,May,845,1,-1,0,unknown,1,1,0,Middle-Aged (51-65),1,Low burden,,Unknown,White Collar,2,0-3
46,35.0,blue-collar,divorced,primary,no,300,yes,no,unknown,13,May,945,2,-1,0,unknown,1,1,0,Young Adult (26-35),1,Low burden,1.0,Primary,Blue Collar,2,0-3
47,43.0,technician,married,secondary,no,3285,yes,no,unknown,13,May,1381,2,-1,0,unknown,1,1,0,Adult (36-50),1,Low burden,2.0,Secondary,White Collar,2,0-3
48,52.0,housemaid,married,secondary,no,3923,yes,no,unknown,14,May,942,3,-1,0,unknown,1,1,0,Middle-Aged (51-65),1,Low burden,2.0,Secondary,Blue Collar,2,0-3
49,53.0,technician,divorced,primary,no,1443,yes,no,unknown,14,May,476,1,-1,0,unknown,1,1,0,Middle-Aged (51-65),1,Low burden,1.0,Primary,White Collar,2,0-3
50,48.0,blue-collar,divorced,primary,no,24,yes,no,unknown,14,May,832,1,-1,0,unknown,1,1,0,Adult (36-50),1,Low burden,1.0,Primary,Blue Collar,2,0-3
51,41.0,blue-collar,single,primary,no,1618,yes,no,unknown,14,May,1381,1,-1,0,unknown,1,1,0,Adult (36-50),1,Low burden,1.0,Primary,Blue Collar,2,0-3
52,39.0,management,divorced,tertiary,no,517,yes,yes,unknown,14,May,1328,1,-1,0,unknown,1,1,0,Adult (36-50),2,High burden,3.0,Tertiary,White Collar,2,0-3
53,59.0,retired,married,secondary,no,1521,yes,yes,unknown,14,May,1125,2,-1,0,unknown,1,1,0,Middle-Aged (51-65),2,High burden,2.0,Secondary,Retired,2,0-3
54,41.0,blue-collar,married,secondary,no,2823,yes,no,unknown,14,May,858,1,-1,0,unknown,1,1,0,Adult (36-50),1,Low burden,2.0,Secondary,Blue Collar,2,0-3
55,48.0,blue-collar,married,secondary,no,1405,yes,no,unknown,14,May,629,2,-1,0,unknown,1,1,0,Adult (36-50),1,Low burden,2.0,Secondary,Blue Collar,2,0-3
56,40.0,admin.,married,secondary,no,1535,yes,no,unknown,14,May,704,1,-1,0,unknown,1,1,0,Adult (36-50),1,Low burden,2.0,Secondary,White Collar,2,0-3
57,48.0,blue-collar,married,secondary,no,1596,yes,no,unknown,14,May,760,1,-1,0,unknown,1,1,0,Adult (36-50),1,Low burden,2.0,Secondary,Blue Collar,2,0-3
58,60.0,retired,married,primary,no,1542,yes,no,unknown,14,May,930,1,-1,0,unknown,1,1,0,Middle-Aged (51-65),1,Low burden,1.0,Primary,Retired,2,0-3
59,40.0,technician,single,unknown,no,3652,yes,no,unknown,14,May,1028,2,-1,0,unknown,1,1,0,Adult (36-50),1,Low burden,,Unknown,White Collar,2,0-3
60,57.0,technician,married,tertiary,no,-1,no,no,unknown,14,May,850,2,-1,0,unknown,1,1,0,Middle-Aged (51-65),0,No burden,3.0,Tertiary,White Collar,2,0-3
61,51.0,blue-collar,married,secondary,no,7180,yes,no,unknown,14,May,927,1,-1,0,unknown,1,1,0,Middle-Aged (51-65),1,Low burden,2.0,Secondary,Blue Collar,2,0-3
62,41.0,blue-collar,divorced,secondary,no,5291,yes,no,unknown,14,May,1381,3,-1,0,unknown,1,1,0,Adult (36-50),1,Low burden,2.0,Secondary,Blue Collar,2,0-3
63,41.0,blue-collar,married,secondary,no,1384,yes,no,unknown,15,May,1162,4,-1,0,unknown,1,1,0,Adult (36-50),1,Low burden,2.0,Secondary,Blue Collar,3,4-10
64,52.0,blue-collar,divorced,primary,no,-191,yes,no,unknown,15,May,755,1,-1,0,unknown,1,1,0,Middle-Aged (51-65),1,Low burden,1.0,Primary,Blue Collar,3,0-3
65,59.0,blue-collar,married,primary,no,320,yes,no,unknown,15,May,695,1,-1,0,unknown,1,1,0,Middle-Aged (51-65),1,Low burden,1.0,Primary,Blue Collar,3,0-3
66,44.0,blue-collar,married,unknown,no,146,yes,no,unknown,15,May,483,1,-1,0,unknown,1,1,0,Adult (36-50),1,Low burden,,Unknown,Blue Collar,3,0-3
67,49.0,unknown,married,primary,no,341,yes,yes,unknown,15,May,520,2,-1,0,unknown,1,1,0,Adult (36-50),2,High burden,1.0,Primary,Unknown,3,0-3
68,40.0,services,married,primary,no,-9,yes,no,unknown,15,May,920,2,-1,0,unknown,1,1,0,Adult (36-50),1,Low burden,1.0,Primary,Blue Collar,3,0-3
69,41.0,admin.,married,primary,no,-306,yes,no,unknown,15,May,500,1,-1,0,unknown,1,1,0,Adult (36-50),1,Low burden,1.0,Primary,White Collar,3,0-3
70,44.0,technician,married,tertiary,no,4580,yes,no,unknown,15,May,911,2,-1,0,unknown,1,1,0,Adult (36-50),1,Low burden,3.0,Tertiary,White Collar,3,0-3
71,60.0,services,single,primary,no,313,yes,no,unknown,15,May,920,2,-1,0,unknown,1,1,0,Middle-Aged (51-65),1,Low burden,1.0,Primary,Blue Collar,3,0-3
72,29.0,management,married,tertiary,no,10576,no,no,unknown,15,May,1224,2,-1,0,unknown,1,1,0,Young Adult (26-35),0,No burden,3.0,Tertiary,White Collar,3,0-3
73,41.0,retired,divorced,primary,no,-233,yes,no,unknown,15,May,1156,2,-1,0,unknown,1,1,0,Adult (36-50),1,Low burden,1.0,Primary,Retired,3,0-3
74,41.0,blue-collar,married,primary,no,2453,yes,no,unknown,15,May,1052,1,-1,0,unknown,1,1,0,Adult (36-50),1,Low burden,1.0,Primary,Blue Collar,3,0-3
75,42.0,technician,single,secondary,no,1364,yes,no,unknown,15,May,1381,6,-1,0,unknown,1,1,0,Adult (36-50),1,Low burden,2.0,Secondary,White Collar,3,4-10
76,36.0,services,single,unknown,no,281,yes,no,unknown,16,May,515,1,-1,0,unknown,1,1,0,Adult (36-50),1,Low burden,,Unknown,Blue Collar,3,0-3
77,39.0,technician,married,tertiary,no,94,yes,yes,unknown,16,May,813,1,-1,0,unknown,1,1,0,Adult (36-50),2,High burden,3.0,Tertiary,White Collar,3,0-3
78,31.0,self-employed,single,tertiary,no,144,yes,no,unknown,16,May,676,1,-1,0,unknown,1,1,0,Young Adult (26-35),1,Low burden,3.0,Tertiary,Self-Employed,3,0-3
79,26.0,blue-collar,married,secondary,no,246,yes,no,unknown,16,May,1143,3,-1,0,unknown,1,1,0,Young Adult (26-35),1,Low burden,2.0,Secondary,Blue Collar,3,0-3
80,31.0,blue-collar,married,secondary,no,92,yes,no,unknown,16,May,688,1,-1,0,unknown,1,1,0,Young Adult (26-35),1,Low burden,2.0,Secondary,Blue Collar,3,0-3
81,29.0,admin.,single,secondary,no,163,yes,yes,unknown,16,May,803,1,-1,0,unknown,1,1,0,Young Adult (26-35),2,High burden,2.0,Secondary,White Collar,3,0-3
82,37.0,services,divorced,secondary,no,49,yes,no,unknown,16,May,619,2,-1,0,unknown,1,1,0,Adult (36-50),1,Low burden,2.0,Secondary,Blue Collar,3,0-3
83,33.0,blue-collar,single,secondary,no,-416,yes,no,unknown,16,May,767,2,-1,0,unknown,1,1,0,Young Adult (26-35),1,Low burden,2.0,Secondary,Blue Collar,3,0-3
84,24.0,technician,single,secondary,no,409,yes,no,unknown,16,May,912,1,-1,0,unknown,1,1,0,Young (18-25),1,Low burden,2.0,Secondary,White Collar,3,0-3
85,50.0,admin.,divorced,secondary,no,363,yes,no,unknown,16,May,1340,1,-1,0,unknown,1,1,0,Adult (36-50),1,Low burden,2.0,Secondary,White Collar,3,0-3
86,27.0,technician,single,tertiary,no,3706,yes,no,unknown,16,May,897,1,-1,0,unknown,1,1,0,Young Adult (26-35),1,Low burden,3.0,Tertiary,White Collar,3,0-3
87,54.0,management,single,tertiary,no,4393,yes,no,unknown,16,May,1297,3,-1,0,unknown,1,1,0,Middle-Aged (51-65),1,Low burden,3.0,Tertiary,White Collar,3,0-3
88,30.0,technician,single,secondary,no,863,yes,no,unknown,16,May,1193,5,-1,0,unknown,1,1,0,Young Adult (26-35),1,Low burden,2.0,Secondary,White Collar,3,4-10
89,34.0,blue-collar,married,primary,no,695,yes,yes,unknown,16,May,1064,4,-1,0,unknown,1,1,0,Young Adult (26-35),2,High burden,1.0,Primary,Blue Collar,3,4-10
90,37.0,management,single,secondary,no,792,yes,no,unknown,16,May,1187,4,-1,0,unknown,1,1,0,Adult (36-50),1,Low burden,2.0,Secondary,White Collar,3,4-10
91,41.0,admin.,single,secondary,no,1020,yes,no,unknown,19,May,882,1,-1,0,unknown,1,1,0,Adult (36-50),1,Low burden,2.0,Secondary,White Collar,3,0-3
92,47.0,blue-collar,married,secondary,no,863,yes,no,unknown,19,May,943,2,-1,0,unknown,1,1,0,Adult (36-50),1,Low burden,2.0,Secondary,Blue Collar,3,0-3
93,31.0,admin.,married,secondary,no,97,yes,no,unknown,19,May,607,1,-1,0,unknown,1,1,0,Young Adult (26-35),1,Low burden,2.0,Secondary,White Collar,3,0-3
94,31.0,blue-collar,married,secondary,no,754,yes,no,unknown,19,May,1022,4,-1,0,unknown,1,1,0,Young Adult (26-35),1,Low burden,2.0,Secondary,Blue Collar,3,4-10
95,43.0,services,divorced,secondary,no,1040,yes,no,unknown,19,May,552,3,-1,0,unknown,1,1,0,Adult (36-50),1,Low burden,2.0,Secondary,Blue Collar,3,0-3
96,37.0,management,divorced,tertiary,no,122,yes,no,unknown,19,May,1381,2,-1,0,unknown,1,1,0,Adult (36-50),1,Low burden,3.0,Tertiary,White Collar,3,0-3
97,30.0,technician,single,tertiary,no,880,yes,yes,unknown,19,May,967,6,-1,0,unknown,1,1,0,Young Adult (26-35),2,High burden,3.0,Tertiary,White Collar,3,4-10
98,41.0,technician,married,secondary,no,501,yes,no,unknown,19,May,579,5,-1,0,unknown,1,1,0,Adult (36-50),1,Low burden,2.0,Secondary,White Collar,3,4-10
99,36.0,blue-collar,married,secondary,no,4438,yes,no,unknown,20,May,446,1,-1,0,unknown,1,1,0,Adult (36-50),1,Low burden,2.0,Secondary,Blue Collar,3,0-3
100,35.0,blue-collar,divorced,secondary,no,0,yes,no,unknown,20,May,1205,1,-1,0,unknown,1,1,0,Young Adult (26-35),1,Low burden,2.0,Secondary,Blue Collar,3,0-3
101,29.0,services,single,secondary,no,271,yes,no,unknown,20,May,1381,2,-1,0,unknown,1,1,0,Young Adult (26-35),1,Low burden,2.0,Secondary,Blue Collar,3,0-3
102,35.0,blue-collar,married,primary,no,102,yes,no,unknown,20,May,1334,1,-1,0,unknown,1,1,0,Young Adult (26-35),1,Low burden,1.0,Primary,Blue Collar,3,0-3
103,31.0,blue-collar,married,secondary,no,2,yes,no,unknown,20,May,182,2,-1,0,unknown,1,1,0,Young Adult (26-35),1,Low burden,2.0,Secondary,Blue Collar,3,0-3
104,35.0,services,married,secondary,no,4170,yes,no,unknown,20,May,1381,1,-1,0,unknown,1,1,0,Young Adult (26-35),1,Low burden,2.0,Secondary,Blue Collar,3,0-3
105,34.0,technician,single,secondary,no,85,yes,no,unknown,20,May,1182,4,-1,0,unknown,1,1,0,Young Adult (26-35),1,Low burden,2.0,Secondary,White Collar,3,4-10
106,31.0,admin.,single,secondary,no,431,yes,yes,unknown,20,May,1045,1,-1,0,unknown,1,1,0,Young Adult (26-35),2,High burden,2.0,Secondary,White Collar,3,0-3
107,44.0,technician,divorced,secondary,no,982,yes,no,unknown,20,May,650,3,-1,0,unknown,1,1,0,Adult (36-50),1,Low burden,2.0,Secondary,White Collar,3,0-3
108,36.0,blue-collar,married,primary,no,408,yes,yes,unknown,20,May,1063,2,-1,0,unknown,1,1,0,Adult (36-50),2,High burden,1.0,Primary,Blue Collar,3,0-3
109,35.0,blue-collar,married,unknown,no,4822,yes,no,unknown,20,May,843,2,-1,0,unknown,1,1,0,Young Adult (26-35),1,Low burden,,Unknown,Blue Collar,3,0-3
110,41.0,blue-collar,married,primary,no,1250,yes,no,unknown,20,May,1381,2,-1,0,unknown,1,1,0,Adult (36-50),1,Low burden,1.0,Primary,Blue Collar,3,0-3
111,31.0,blue-collar,single,primary,no,216,yes,no,unknown,21,May,565,1,-1,0,unknown,1,1,0,Young Adult (26-35),1,Low burden,1.0,Primary,Blue Collar,3,0-3
112,34.0,blue-collar,married,secondary,no,1207,yes,no,unknown,21,May,905,1,-1,0,unknown,1,1,0,Young Adult (26-35),1,Low burden,2.0,Secondary,Blue Collar,3,0-3
113,32.0,technician,married,secondary,no,791,yes,no,unknown,21,May,783,2,-1,0,unknown,1,1,0,Young Adult (26-35),1,Low burden,2.0,Secondary,White Collar,3,0-3
114,36.0,management,married,tertiary,no,849,yes,yes,unknown,21,May,958,2,-1,0,unknown,1,1,0,Adult (36-50),2,High burden,3.0,Tertiary,White Collar,3,0-3
115,30.0,blue-collar,single,secondary,yes,239,yes,no,unknown,21,May,412,1,-1,0,unknown,1,1,0,Young Adult (26-35),1,Low burden,2.0,Secondary,Blue Collar,3,0-3
116,37.0,technician,single,secondary,no,1211,yes,no,unknown,21,May,795,1,-1,0,unknown,1,1,0,Adult (36-50),1,Low burden,2.0,Secondary,White Collar,3,0-3
117,36.0,blue-collar,married,primary,no,599,yes,no,unknown,21,May,649,2,-1,0,unknown,1,1,0,Adult (36-50),1,Low burden,1.0,Primary,Blue Collar,3,0-3
118,31.0,management,single,tertiary,no,825,yes,no,unknown,21,May,506,2,-1,0,unknown,1,1,0,Young Adult (26-35),1,Low burden,3.0,Tertiary,White Collar,3,0-3
119,27.0,technician,married,secondary,no,2183,yes,yes,unknown,21,May,857,1,-1,0,unknown,1,1,0,Young Adult (26-35),2,High burden,2.0,Secondary,White Collar,3,0-3
120,34.0,retired,married,primary,no,4499,no,no,unknown,21,May,1381,1,-1,0,unknown,1,1,0,Young Adult (26-35),0,No burden,1.0,Primary,Retired,3,0-3
121,30.0,technician,single,tertiary,no,1289,yes,no,unknown,21,May,1381,2,-1,0,unknown,1,1,0,Young Adult (26-35),1,Low burden,3.0,Tertiary,White Collar,3,0-3
122,32.0,technician,single,tertiary,no,4665,yes,no,unknown,21,May,860,2,-1,0,unknown,1,1,0,Young Adult (26-35),1,Low burden,3.0,Tertiary,White Collar,3,0-3
123,37.0,technician,single,secondary,no,3326,yes,no,unknown,21,May,799,1,-1,0,unknown,1,1,0,Adult (36-50),1,Low burden,2.0,Secondary,White Collar,3,0-3
124,32.0,blue-collar,married,secondary,no,783,yes,no,unknown,21,May,923,3,-1,0,unknown,1,1,0,Young Adult (26-35),1,Low burden,2.0,Secondary,Blue Collar,3,0-3
125,33.0,blue-collar,married,secondary,no,0,yes,no,unknown,21,May,521,3,-1,0,unknown,1,1,0,Young Adult (26-35),1,Low burden,2.0,Secondary,Blue Collar,3,0-3
126,35.0,blue-collar,married,primary,no,994,yes,no,unknown,23,May,1349,8,-1,0,unknown,1,1,0,Young Adult (26-35),1,Low burden,1.0,Primary,Blue Collar,4,4-10
127,35.0,self-employed,divorced,tertiary,no,1354,yes,no,unknown,23,May,736,2,-1,0,unknown,1,1,0,Young Adult (26-35),1,Low burden,3.0,Tertiary,Self-Employed,4,0-3
128,30.0,blue-collar,single,secondary,no,239,yes,no,unknown,23,May,785,1,-1,0,unknown,1,1,0,Young Adult (26-35),1,Low burden,2.0,Secondary,Blue Collar,4,0-3
129,45.0,blue-collar,divorced,primary,no,-311,yes,no,unknown,23,May,1030,1,-1,0,unknown,1,1,0,Adult (36-50),1,Low burden,1.0,Primary,Blue Collar,4,0-3
130,45.0,admin.,married,secondary,no,149,yes,no,unknown,23,May,893,3,-1,0,unknown,1,1,0,Adult (36-50),1,Low burden,2.0,Secondary,White Collar,4,0-3
131,33.0,blue-collar,married,secondary,no,1464,yes,no,unknown,23,May,588,3,-1,0,unknown,1,1,0,Young Adult (26-35),1,Low burden,2.0,Secondary,Blue Collar,4,0-3
132,44.0,management,divorced,tertiary,no,5773,no,no,unknown,23,May,597,6,-1,0,unknown,1,1,0,Adult (36-50),0,No burden,3.0,Tertiary,White Collar,4,4-10
133,40.0,blue-collar,married,primary,no,278,yes,no,unknown,23,May,1015,3,-1,0,unknown,1,1,0,Adult (36-50),1,Low burden,1.0,Primary,Blue Collar,4,0-3
134,31.0,blue-collar,married,secondary,no,2910,yes,no,unknown,23,May,1381,2,-1,0,unknown,1,1,0,Young Adult (26-35),1,Low burden,2.0,Secondary,Blue Collar,4,0-3
135,30.0,technician,married,tertiary,no,541,yes,no,unknown,26,May,414,2,-1,0,unknown,1,1,0,Young Adult (26-35),1,Low burden,3.0,Tertiary,White Collar,4,0-3
136,44.0,technician,divorced,secondary,no,1262,yes,no,unknown,26,May,788,10,-1,0,unknown,1,1,0,Adult (36-50),1,Low burden,2.0,Secondary,White Collar,4,4-10
137,34.0,services,married,secondary,no,-538,yes,no,unknown,26,May,682,1,-1,0,unknown,1,1,0,Young Adult (26-35),1,Low burden,2.0,Secondary,Blue Collar,4,0-3
138,37.0,blue-collar,married,secondary,no,125,no,no,unknown,26,May,679,2,-1,0,unknown,1,1,0,Adult (36-50),0,No burden,2.0,Secondary,Blue Collar,4,0-3
139,28.0,self-employed,single,tertiary,no,0,yes,no,unknown,26,May,1381,2,-1,0,unknown,1,1,0,Young Adult (26-35),1,Low burden,3.0,Tertiary,Self-Employed,4,0-3
140,32.0,admin.,single,secondary,no,620,yes,no,unknown,26,May,1234,3,-1,0,unknown,1,1,0,Young Adult (26-35),1,Low burden,2.0,Secondary,White Collar,4,0-3
141,37.0,blue-collar,divorced,secondary,no,316,yes,no,unknown,26,May,642,2,-1,0,unknown,1,1,0,Adult (36-50),1,Low burden,2.0,Secondary,Blue Collar,4,0-3
142,34.0,management,married,tertiary,no,2287,yes,no,unknown,26,May,895,4,-1,0,unknown,1,1,0,Young Adult (26-35),1,Low burden,3.0,Tertiary,White Collar,4,4-10
143,38.0,admin.,divorced,secondary,no,198,yes,no,unknown,26,May,431,2,-1,0,unknown,1,1,0,Adult (36-50),1,Low burden,2.0,Secondary,White Collar,4,0-3
144,28.0,admin.,single,secondary,no,460,yes,no,unknown,26,May,741,6,-1,0,unknown,1,1,0,Young Adult (26-35),1,Low burden,2.0,Secondary,White Collar,4,4-10
145,31.0,management,divorced,tertiary,no,1145,yes,no,unknown,26,May,1272,4,-1,0,unknown,1,1,0,Young Adult (26-35),1,Low burden,3.0,Tertiary,White Collar,4,4-10
146,59.0,services,married,secondary,no,-22,yes,no,unknown,26,May,748,3,-1,0,unknown,1,1,0,Middle-Aged (51-65),1,Low burden,2.0,Secondary,Blue Collar,4,0-3
147,24.0,blue-collar,married,secondary,no,685,yes,no,unknown,26,May,896,3,-1,0,unknown,1,1,0,Young (18-25),1,Low burden,2.0,Secondary,Blue Collar,4,0-3
148,26.0,services,single,secondary,no,901,yes,no,unknown,26,May,764,2,-1,0,unknown,1,1,0,Young Adult (26-35),1,Low burden,2.0,Secondary,Blue Collar,4,0-3
149,59.0,retired,single,secondary,no,351,yes,no,unknown,27,May,1063,5,-1,0,unknown,1,1,0,Middle-Aged (51-65),1,Low burden,2.0,Secondary,Retired,4,4-10
150,30.0,entrepreneur,single,primary,no,0,yes,yes,unknown,27,May,1051,1,-1,0,unknown,1,1,0,Young Adult (26-35),2,High burden,1.0,Primary,Self-Employed,4,0-3
151,37.0,admin.,married,secondary,no,274,yes,no,unknown,27,May,731,3,-1,0,unknown,1,1,0,Adult (36-50),1,Low burden,2.0,Secondary,White Collar,4,0-3
152,30.0,admin.,single,secondary,no,-213,yes,yes,unknown,27,May,751,1,-1,0,unknown,1,1,0,Young Adult (26-35),2,High burden,2.0,Secondary,White Collar,4,0-3
