id;age;job;marital;education;default;balance;housing;loan;contact;day;month;duration;campaign;pdays;previous;poutcome;deposit;age_group;age_clusters;job_cat;education_level;Cluster
15;31.0;technician;single;tertiary;no;703;yes;no;unknown;8;may;943;2;-1;0;unknown;yes;18-34;Generation Z y Millenials;cuenta ajena;Universitaria;1
16;35.0;management;divorced;tertiary;no;3837;yes;no;unknown;8;may;1084;1;-1;0;unknown;yes;35-44;Generation X;cuenta ajena;Universitaria;0
17;32.0;blue-collar;single;primary;no;611;yes;no;unknown;8;may;541;3;-1;0;unknown;yes;18-34;Generation Z y Millenials;cuenta ajena;Primaria;1
18;49.0;services;married;secondary;no;-8;yes;no;unknown;8;may;1119;1;-1;0;unknown;yes;45-54;Generation X;cuenta ajena;Secundaria;0
19;41.0;administrative;married;secondary;no;55;yes;no;unknown;8;may;1120;2;-1;0;unknown;yes;35-44;Generation X;cuenta ajena;Secundaria;0
20;49.0;administrative;divorced;secondary;no;168;yes;yes;unknown;8;may;513;1;-1;0;unknown;yes;45-54;Generation X;cuenta ajena;Secundaria;0
21;28.0;administrative;divorced;secondary;no;785;yes;no;unknown;8;may;442;2;-1;0;unknown;yes;18-34;Generation Z y Millenials;cuenta ajena;Secundaria;0
22;43.0;management;single;tertiary;no;2067;yes;no;unknown;8;may;756;1;-1;0;unknown;yes;35-44;Generation X;cuenta ajena;Universitaria;1
23;43.0;management;divorced;tertiary;no;388;yes;no;unknown;8;may;2087;2;-1;0;unknown;yes;35-44;Generation X;cuenta ajena;Universitaria;0
24;43.0;blue-collar;married;primary;no;-192;yes;no;unknown;8;may;1120;2;-1;0;unknown;yes;35-44;Generation X;cuenta ajena;Primaria;0
25;37.0;unemployed;single;secondary;no;381;yes;no;unknown;8;may;985;2;-1;0;unknown;yes;35-44;Generation X;desempleo;Secundaria;0
26;35.0;blue-collar;single;secondary;no;40;yes;no;unknown;9;may;617;4;-1;0;unknown;yes;35-44;Generation X;cuenta ajena;Secundaria;0
27;31.0;technician;single;tertiary;no;22;yes;no;unknown;9;may;483;3;-1;0;unknown;yes;18-34;Generation Z y Millenials;cuenta ajena;Universitaria;1
28;43.0;blue-collar;single;secondary;no;3;yes;no;unknown;9;may;929;3;-1;0;unknown;yes;35-44;Generation X;cuenta ajena;Secundaria;0
29;31.0;administrative;married;secondary;no;307;yes;no;unknown;9;may;538;1;-1;0;unknown;yes;18-34;Generation Z y Millenials;cuenta ajena;Secundaria;0
30;28.0;blue-collar;single;secondary;no;759;yes;no;unknown;9;may;710;1;-1;0;unknown;yes;18-34;Generation Z y Millenials;cuenta ajena;Secundaria;1
31;32.0;blue-collar;married;secondary;yes;-1;yes;no;unknown;9;may;653;1;-1;0;unknown;yes;18-34;Generation Z y Millenials;cuenta ajena;Secundaria;0
32;60.0;technician;married;primary;no;65;yes;no;unknown;9;may;1028;2;-1;0;unknown;yes;55-64;Baby Boomers;cuenta ajena;Primaria;2
33;26.0;blue-collar;single;secondary;no;82;yes;no;unknown;9;may;654;1;-1;0;unknown;yes;18-34;Generation Z y Millenials;cuenta ajena;Secundaria;1
34;40.0;blue-collar;married;secondary;no;10;yes;no;unknown;9;may;1692;2;-1;0;unknown;yes;35-44;Generation X;cuenta ajena;Secundaria;0
35;33.0;blue-collar;divorced;primary;no;390;yes;no;unknown;9;may;665;2;-1;0;unknown;yes;18-34;Generation Z y Millenials;cuenta ajena;Primaria;1
36;32.0;management;single;tertiary;no;311;no;no;unknown;12;may;757;2;-1;0;unknown;yes;18-34;Generation Z y Millenials;cuenta ajena;Universitaria;1
37;35.0;blue-collar;married;primary;no;414;no;no;unknown;13;may;504;4;-1;0;unknown;yes;35-44;Generation X;cuenta ajena;Primaria;0
38;33.0;management;divorced;secondary;no;5;yes;no;unknown;13;may;1346;1;-1;0;unknown;yes;18-34;Generation Z y Millenials;cuenta ajena;Secundaria;0
39;38.0;management;married;tertiary;no;119;yes;no;unknown;13;may;568;4;-1;0;unknown;yes;35-44;Generation X;cuenta ajena;Universitaria;0
40;23.0;entrepreneur;single;primary;no;4;yes;no;unknown;13;may;395;2;-1;0;unknown;yes;18-34;Generation Z y Millenials;cuenta propia;Primaria;1
41;60.0;blue-collar;married;primary;no;1262;yes;yes;unknown;13;may;1015;1;-1;0;unknown;yes;55-64;Baby Boomers;cuenta ajena;Primaria;2
42;48.0;management;married;tertiary;no;1949;yes;no;unknown;13;may;683;2;-1;0;unknown;yes;45-54;Generation X;cuenta ajena;Universitaria;0
43;45.0;entrepreneur;divorced;tertiary;no;-395;yes;no;unknown;13;may;470;1;-1;0;unknown;yes;45-54;Generation X;cuenta propia;Universitaria;0
44;36.0;blue-collar;married;secondary;no;1165;yes;no;unknown;13;may;1001;4;-1;0;unknown;yes;35-44;Generation X;cuenta ajena;Secundaria;0
45;52.0;management;married;tertiary;no;2240;yes;no;unknown;13;may;845;1;-1;0;unknown;yes;45-54;Generation X;cuenta ajena;Universitaria;0
46;35.0;blue-collar;divorced;primary;no;300;yes;no;unknown;13;may;945;2;-1;0;unknown;yes;35-44;Generation X;cuenta ajena;Primaria;0
47;43.0;technician;married;secondary;no;3285;yes;no;unknown;13;may;1721;2;-1;0;unknown;yes;35-44;Generation X;cuenta ajena;Secundaria;0
48;52.0;housemaid;married;secondary;no;3923;yes;no;unknown;14;may;942;3;-1;0;unknown;yes;45-54;Generation X;otros inactivos;Secundaria;0
49;53.0;technician;divorced;primary;no;1443;yes;no;unknown;14;may;476;1;-1;0;unknown;yes;45-54;Generation X;cuenta ajena;Primaria;0
50;48.0;blue-collar;divorced;primary;no;24;yes;no;unknown;14;may;832;1;-1;0;unknown;yes;45-54;Generation X;cuenta ajena;Primaria;0
51;41.0;blue-collar;single;primary;no;1618;yes;no;unknown;14;may;1553;1;-1;0;unknown;yes;35-44;Generation X;cuenta ajena;Primaria;0
52;39.0;management;divorced;tertiary;no;517;yes;yes;unknown;14;may;1328;1;-1;0;unknown;yes;35-44;Generation X;cuenta ajena;Universitaria;0
53;59.0;retired;married;secondary;no;1521;yes;yes;unknown;14;may;1125;2;-1;0;unknown;yes;55-64;Baby Boomers;jubilación;Secundaria;2
54;41.0;blue-collar;married;secondary;no;2823;yes;no;unknown;14;may;858;1;-1;0;unknown;yes;35-44;Generation X;cuenta ajena;Secundaria;0
55;48.0;blue-collar;married;secondary;no;1405;yes;no;unknown;14;may;629;2;-1;0;unknown;yes;45-54;Generation X;cuenta ajena;Secundaria;0
56;40.0;administrative;married;secondary;no;1535;yes;no;unknown;14;may;704;1;-1;0;unknown;yes;35-44;Generation X;cuenta ajena;Secundaria;0
57;48.0;blue-collar;married;secondary;no;1596;yes;no;unknown;14;may;760;1;-1;0;unknown;yes;45-54;Generation X;cuenta ajena;Secundaria;0
58;60.0;retired;married;primary;no;1542;yes;no;unknown;14;may;930;1;-1;0;unknown;yes;55-64;Baby Boomers;jubilación;Primaria;2
59;40.0;technician;single;secondary;no;3652;yes;no;unknown;14;may;1028;2;-1;0;unknown;yes;35-44;Generation X;cuenta ajena;Secundaria;0
60;57.0;technician;married;tertiary;no;-1;no;no;unknown;14;may;850;2;-1;0;unknown;yes;55-64;Baby Boomers;cuenta ajena;Universitaria;0
61;51.0;blue-collar;married;secondary;no;7180;yes;no;unknown;14;may;927;1;-1;0;unknown;yes;45-54;Generation X;cuenta ajena;Secundaria;0
62;41.0;blue-collar;divorced;secondary;no;5291;yes;no;unknown;14;may;1423;3;-1;0;unknown;yes;35-44;Generation X;cuenta ajena;Secundaria;0
63;41.0;blue-collar;married;secondary;no;1384;yes;no;unknown;15;may;1162;4;-1;0;unknown;yes;35-44;Generation X;cuenta ajena;Secundaria;0
64;52.0;blue-collar;divorced;primary;no;-191;yes;no;unknown;15;may;755;1;-1;0;unknown;yes;45-54;Generation X;cuenta ajena;Primaria;0
65;59.0;blue-collar;married;primary;no;320;yes;no;unknown;15;may;695;1;-1;0;unknown;yes;55-64;Baby Boomers;cuenta ajena;Primaria;2
66;44.0;blue-collar;married;secondary;no;146;yes;no;unknown;15;may;483;1;-1;0;unknown;yes;35-44;Generation X;cuenta ajena;Secundaria;0
67;49.0;blue-collar;married;primary;no;341;yes;yes;unknown;15;may;520;2;-1;0;unknown;yes;45-54;Generation X;cuenta ajena;Primaria;0
68;40.0;services;married;primary;no;-9;yes;no;unknown;15;may;920;2;-1;0;unknown;yes;35-44;Generation X;cuenta ajena;Primaria;0
69;41.0;administrative;married;primary;no;-306;yes;no;unknown;15;may;500;1;-1;0;unknown;yes;35-44;Generation X;cuenta ajena;Primaria;0
70;44.0;technician;married;tertiary;no;4580;yes;no;unknown;15;may;911;2;-1;0;unknown;yes;35-44;Generation X;cuenta ajena;Universitaria;0
71;60.0;services;single;primary;no;313;yes;no;unknown;15;may;920;2;-1;0;unknown;yes;55-64;Baby Boomers;cuenta ajena;Primaria;1
72;29.0;management;married;tertiary;no;10576;no;no;unknown;15;may;1224;2;-1;0;unknown;yes;18-34;Generation Z y Millenials;cuenta ajena;Universitaria;1
73;41.0;retired;divorced;primary;no;-233;yes;no;unknown;15;may;1156;2;-1;0;unknown;yes;35-44;Generation X;jubilación;Primaria;2
74;41.0;blue-collar;married;primary;no;2453;yes;no;unknown;15;may;1052;1;-1;0;unknown;yes;35-44;Generation X;cuenta ajena;Primaria;0
75;42.0;technician;single;secondary;no;1364;yes;no;unknown;15;may;1867;6;-1;0;unknown;yes;35-44;Generation X;cuenta ajena;Secundaria;0
76;36.0;services;single;secondary;no;281;yes;no;unknown;16;may;515;1;-1;0;unknown;yes;35-44;Generation X;cuenta ajena;Secundaria;0
77;39.0;technician;married;tertiary;no;94;yes;yes;unknown;16;may;813;1;-1;0;unknown;yes;35-44;Generation X;cuenta ajena;Universitaria;0
78;31.0;self-employed;single;tertiary;no;144;yes;no;unknown;16;may;676;1;-1;0;unknown;yes;18-34;Generation Z y Millenials;cuenta propia;Universitaria;1
79;26.0;blue-collar;married;secondary;no;246;yes;no;unknown;16;may;1143;3;-1;0;unknown;yes;18-34;Generation Z y Millenials;cuenta ajena;Secundaria;0
80;31.0;blue-collar;married;secondary;no;92;yes;no;unknown;16;may;688;1;-1;0;unknown;yes;18-34;Generation Z y Millenials;cuenta ajena;Secundaria;0
81;29.0;administrative;single;secondary;no;163;yes;yes;unknown;16;may;803;1;-1;0;unknown;yes;18-34;Generation Z y Millenials;cuenta ajena;Secundaria;1
82;37.0;services;divorced;secondary;no;49;yes;no;unknown;16;may;619;2;-1;0;unknown;yes;35-44;Generation X;cuenta ajena;Secundaria;0
83;33.0;blue-collar;single;secondary;no;-416;yes;no;unknown;16;may;767;2;-1;0;unknown;yes;18-34;Generation Z y Millenials;cuenta ajena;Secundaria;1
84;24.0;technician;single;secondary;no;409;yes;no;unknown;16;may;912;1;-1;0;unknown;yes;18-34;Generation Z y Millenials;cuenta ajena;Secundaria;1
85;50.0;administrative;divorced;secondary;no;363;yes;no;unknown;16;may;1340;1;-1;0;unknown;yes;45-54;Generation X;cuenta ajena;Secundaria;0
86;27.0;technician;single;tertiary;no;3706;yes;no;unknown;16;may;897;1;-1;0;unknown;yes;18-34;Generation Z y Millenials;cuenta ajena;Universitaria;1
87;54.0;management;single;tertiary;no;4393;yes;no;unknown;16;may;1297;3;-1;0;unknown;yes;45-54;Generation X;cuenta ajena;Universitaria;1
88;30.0;technician;single;secondary;no;863;yes;no;unknown;16;may;1193;5;-1;0;unknown;yes;18-34;Generation Z y Millenials;cuenta ajena;Secundaria;1
89;34.0;blue-collar;married;primary;no;695;yes;yes;unknown;16;may;1064;4;-1;0;unknown;yes;18-34;Generation Z y Millenials;cuenta ajena;Primaria;0
90;37.0;management;single;secondary;no;792;yes;no;unknown;16;may;1187;4;-1;0;unknown;yes;35-44;Generation X;cuenta ajena;Secundaria;0
91;41.0;administrative;single;secondary;no;1020;yes;no;unknown;19;may;882;1;-1;0;unknown;yes;35-44;Generation X;cuenta ajena;Secundaria;0
92;47.0;blue-collar;married;secondary;no;863;yes;no;unknown;19;may;943;2;-1;0;unknown;yes;45-54;Generation X;cuenta ajena;Secundaria;0
93;31.0;administrative;married;secondary;no;97;yes;no;unknown;19;may;607;1;-1;0;unknown;yes;18-34;Generation Z y Millenials;cuenta ajena;Secundaria;0
94;31.0;blue-collar;married;secondary;no;754;yes;no;unknown;19;may;1022;4;-1;0;unknown;yes;18-34;Generation Z y Millenials;cuenta ajena;Secundaria;0
95;43.0;services;divorced;secondary;no;1040;yes;no;unknown;19;may;552;3;-1;0;unknown;yes;35-44;Generation X;cuenta ajena;Secundaria;0
96;37.0;management;divorced;tertiary;no;122;yes;no;unknown;19;may;1622;2;-1;0;unknown;yes;35-44;Generation X;cuenta ajena;Universitaria;0
97;30.0;technician;single;tertiary;no;880;yes;yes;unknown;19;may;967;6;-1;0;unknown;yes;18-34;Generation Z y Millenials;cuenta ajena;Universitaria;1
98;41.0;technician;married;secondary;no;501;yes;no;unknown;19;may;579;5;-1;0;unknown;yes;35-44;Generation X;cuenta ajena;Secundaria;0
99;36.0;blue-collar;married;secondary;no;4438;yes;no;unknown;20;may;446;1;-1;0;unknown;yes;35-44;Generation X;cuenta ajena;Secundaria;0
100;35.0;blue-collar;divorced;secondary;no;0;yes;no;unknown;20;may;1205;1;-1;0;unknown;yes;35-44;Generation X;cuenta ajena;Secundaria;0
101;29.0;services;single;secondary;no;271;yes;no;unknown;20;may;1882;2;-1;0;unknown;yes;18-34;Generation Z y Millenials;cuenta ajena;Secundaria;1
102;35.0;blue-collar;married;primary;no;102;yes;no;unknown;20;may;1334;1;-1;0;unknown;yes;35-44;Generation X;cuenta ajena;Primaria;0
103;31.0;blue-collar;married;secondary;no;2;yes;no;unknown;20;may;182;2;-1;0;unknown;yes;18-34;Generation Z y Millenials;cuenta ajena;Secundaria;0
104;35.0;services;married;secondary;no;4170;yes;no;unknown;20;may;1777;1;-1;0;unknown;yes;35-44;Generation X;cuenta ajena;Secundaria;0
105;34.0;technician;single;secondary;no;85;yes;no;unknown;20;may;1182;4;-1;0;unknown;yes;18-34;Generation Z y Millenials;cuenta ajena;Secundaria;1
106;31.0;administrative;single;secondary;no;431;yes;yes;unknown;20;may;1045;1;-1;0;unknown;yes;18-34;Generation Z y Millenials;cuenta ajena;Secundaria;1
107;44.0;technician;divorced;secondary;no;982;yes;no;unknown;20;may;650;3;-1;0;unknown;yes;35-44;Generation X;cuenta ajena;Secundaria;0
108;36.0;blue-collar;married;primary;no;408;yes;yes;unknown;20;may;1063;2;-1;0;unknown;yes;35-44;Generation X;cuenta ajena;Primaria;0
109;35.0;blue-collar;married;secondary;no;4822;yes;no;unknown;20;may;843;2;-1;0;unknown;yes;35-44;Generation X;cuenta ajena;Secundaria;0
110;41.0;blue-collar;married;primary;no;1250;yes;no;unknown;20;may;1392;2;-1;0;unknown;yes;35-44;Generation X;cuenta ajena;Primaria;0
111;31.0;blue-collar;single;primary;no;216;yes;no;unknown;21;may;565;1;-1;0;unknown;yes;18-34;Generation Z y Millenials;cuenta ajena;Primaria;1
112;34.0;blue-collar;married;secondary;no;1207;yes;no;unknown;21;may;905;1;-1;0;unknown;yes;18-34;Generation Z y Millenials;cuenta ajena;Secundaria;0
113;32.0;technician;married;secondary;no;791;yes;no;unknown;21;may;783;2;-1;0;unknown;yes;18-34;Generation Z y Millenials;cuenta ajena;Secundaria;0
114;36.0;management;married;tertiary;no;849;yes;yes;unknown;21;may;958;2;-1;0;unknown;yes;35-44;Generation X;cuenta ajena;Universitaria;0
115;30.0;blue-collar;single;secondary;yes;239;yes;no;unknown;21;may;412;1;-1;0;unknown;yes;18-34;Generation Z y Millenials;cuenta ajena;Secundaria;1
116;37.0;technician;single;secondary;no;1211;yes;no;unknown;21;may;795;1;-1;0;unknown;yes;35-44;Generation X;cuenta ajena;Secundaria;0
117;36.0;blue-collar;married;primary;no;599;yes;no;unknown;21;may;649;2;-1;0;unknown;yes;35-44;Generation X;cuenta ajena;Primaria;0
118;31.0;management;single;tertiary;no;825;yes;no;unknown;21;may;506;2;-1;0;unknown;yes;18-34;Generation Z y Millenials;cuenta ajena;Universitaria;1
119;27.0;technician;married;secondary;no;2183;yes;yes;unknown;21;may;857;1;-1;0;unknown;yes;18-34;Generation Z y Millenials;cuenta ajena;Secundaria;0
120;34.0;retired;married;primary;no;4499;no;no;unknown;21;may;1681;1;-1;0;unknown;yes;18-34;Generation Z y Millenials;jubilación;Primaria;2
121;30.0;technician;single;tertiary;no;1289;yes;no;unknown;21;may;1697;2;-1;0;unknown;yes;18-34;Generation Z y Millenials;cuenta ajena;Universitaria;1
122;32.0;technician;single;tertiary;no;4665;yes;no;unknown;21;may;860;2;-1;0;unknown;yes;18-34;Generation Z y Millenials;cuenta ajena;Universitaria;1
123;37.0;technician;single;secondary;no;3326;yes;no;unknown;21;may;799;1;-1;0;unknown;yes;35-44;Generation X;cuenta ajena;Secundaria;0
124;32.0;blue-collar;married;secondary;no;783;yes;no;unknown;21;may;923;3;-1;0;unknown;yes;18-34;Generation Z y Millenials;cuenta ajena;Secundaria;0
125;33.0;blue-collar;married;secondary;no;0;yes;no;unknown;21;may;521;3;-1;0;unknown;yes;18-34;Generation Z y Millenials;cuenta ajena;Secundaria;0
126;35.0;blue-collar;married;primary;no;994;yes;no;unknown;23;may;1349;8;-1;0;unknown;yes;35-44;Generation X;cuenta ajena;Primaria;0
127;35.0;self-employed;divorced;tertiary;no;1354;yes;no;unknown;23;may;736;2;-1;0;unknown;yes;35-44;Generation X;cuenta propia;Universitaria;0
128;30.0;blue-collar;single;secondary;no;239;yes;no;unknown;23;may;785;1;-1;0;unknown;yes;18-34;Generation Z y Millenials;cuenta ajena;Secundaria;1
129;45.0;blue-collar;divorced;primary;no;-311;yes;no;unknown;23;may;1030;1;-1;0;unknown;yes;45-54;Generation X;cuenta ajena;Primaria;0
130;45.0;administrative;married;secondary;no;149;yes;no;unknown;23;may;893;3;-1;0;unknown;yes;45-54;Generation X;cuenta ajena;Secundaria;0
131;33.0;blue-collar;married;secondary;no;1464;yes;no;unknown;23;may;588;3;-1;0;unknown;yes;18-34;Generation Z y Millenials;cuenta ajena;Secundaria;0
132;44.0;management;divorced;tertiary;no;5773;no;no;unknown;23;may;597;6;-1;0;unknown;yes;35-44;Generation X;cuenta ajena;Universitaria;0
133;40.0;blue-collar;married;primary;no;278;yes;no;unknown;23;may;1015;3;-1;0;unknown;yes;35-44;Generation X;cuenta ajena;Primaria;0
134;31.0;blue-collar;married;secondary;no;2910;yes;no;unknown;23;may;1392;2;-1;0;unknown;yes;18-34;Generation Z y Millenials;cuenta ajena;Secundaria;0
135;30.0;technician;married;tertiary;no;541;yes;no;unknown;26;may;414;2;-1;0;unknown;yes;18-34;Generation Z y Millenials;cuenta ajena;Universitaria;1
136;44.0;technician;divorced;secondary;no;1262;yes;no;unknown;26;may;788;11;-1;0;unknown;yes;35-44;Generation X;cuenta ajena;Secundaria;0
137;34.0;services;married;secondary;no;-538;yes;no;unknown;26;may;682;1;-1;0;unknown;yes;18-34;Generation Z y Millenials;cuenta ajena;Secundaria;0
138;37.0;blue-collar;married;secondary;no;125;no;no;unknown;26;may;679;2;-1;0;unknown;yes;35-44;Generation X;cuenta ajena;Secundaria;0
139;28.0;self-employed;single;tertiary;no;0;yes;no;unknown;26;may;1560;2;-1;0;unknown;yes;18-34;Generation Z y Millenials;cuenta propia;Universitaria;1
140;32.0;administrative;single;secondary;no;620;yes;no;unknown;26;may;1234;3;-1;0;unknown;yes;18-34;Generation Z y Millenials;cuenta ajena;Secundaria;1
141;37.0;blue-collar;divorced;secondary;no;316;yes;no;unknown;26;may;642;2;-1;0;unknown;yes;35-44;Generation X;cuenta ajena;Secundaria;0
142;34.0;management;married;tertiary;no;2287;yes;no;unknown;26;may;895;4;-1;0;unknown;yes;18-34;Generation Z y Millenials;cuenta ajena;Universitaria;1
143;38.0;administrative;divorced;secondary;no;198;yes;no;unknown;26;may;431;2;-1;0;unknown;yes;35-44;Generation X;cuenta ajena;Secundaria;0
144;28.0;administrative;single;secondary;no;460;yes;no;unknown;26;may;741;6;-1;0;unknown;yes;18-34;Generation Z y Millenials;cuenta ajena;Secundaria;1
145;31.0;management;divorced;tertiary;no;1145;yes;no;unknown;26;may;1272;4;-1;0;unknown;yes;18-34;Generation Z y Millenials;cuenta ajena;Universitaria;1
146;59.0;services;married;secondary;no;-22;yes;no;unknown;26;may;748;3;-1;0;unknown;yes;55-64;Baby Boomers;cuenta ajena;Secundaria;0
147;24.0;blue-collar;married;secondary;no;685;yes;no;unknown;26;may;896;3;-1;0;unknown;yes;18-34;Generation Z y Millenials;cuenta ajena;Secundaria;0
148;26.0;services;single;secondary;no;901;yes;no;unknown;26;may;764;2;-1;0;unknown;yes;18-34;Generation Z y Millenials;cuenta ajena;Secundaria;1
149;59.0;retired;single;secondary;no;351;yes;no;unknown;27;may;1063;5;-1;0;unknown;yes;55-64;Baby Boomers;jubilación;Secundaria;2
150;30.0;entrepreneur;single;primary;no;0;yes;yes;unknown;27;may;1051;1;-1;0;unknown;yes;18-34;Generation Z y Millenials;cuenta propia;Primaria;1
151;37.0;administrative;married;secondary;no;274;yes;no;unknown;27;may;731;3;-1;0;unknown;yes;35-44;Generation X;cuenta ajena;Secundaria;0
152;30.0;administrative;single;secondary;no;-213;yes;yes;unknown;27;may;751;1;-1;0;unknown;yes;18-34;Generation Z y Millenials;cuenta ajena;Secundaria;1
153;25.0;blue-collar;married;secondary;no;97;yes;no;unknown;27;may;709;1;-1;0;unknown;yes;18-34;Generation Z y Millenials;cuenta ajena;Secundaria;0
154;44.0;services;divorced;secondary;no;51;yes;yes;unknown;27;may;3094;2;-1;0;unknown;yes;35-44;Generation X;cuenta ajena;Secundaria;0
155;29.0;management;married;tertiary;no;314;no;no;unknown;28;may;938;2;-1;0;unknown;yes;18-34;Generation Z y Millenials;cuenta ajena;Universitaria;1
156;26.0;management;single;tertiary;no;6840;yes;no;unknown;28;may;1560;2;-1;0;unknown;yes;18-34;Generation Z y Millenials;cuenta ajena;Universitaria;1
157;26.0;technician;single;secondary;no;668;yes;no;unknown;28;may;576;3;-1;0;unknown;yes;18-34;Generation Z y Millenials;cuenta ajena;Secundaria;1
158;27.0;services;single;secondary;no;54;yes;no;unknown;28;may;543;2;-1;0;unknown;yes;18-34;Generation Z y Millenials;cuenta ajena;Secundaria;1
159;25.0;self-employed;single;secondary;no;1242;yes;no;unknown;28;may;615;2;-1;0;unknown;yes;18-34;Generation Z y Millenials;cuenta propia;Secundaria;1
160;28.0;management;married;secondary;no;292;yes;no;unknown;28;may;507;1;-1;0;unknown;yes;18-34;Generation Z y Millenials;cuenta ajena;Secundaria;0
161;23.0;services;single;secondary;no;665;yes;no;unknown;28;may;1183;1;-1;0;unknown;yes;18-34;Generation Z y Millenials;cuenta ajena;Secundaria;1
162;34.0;management;single;tertiary;no;1058;yes;no;unknown;28;may;864;2;-1;0;unknown;yes;18-34;Generation Z y Millenials;cuenta ajena;Universitaria;1
163;28.0;student;single;secondary;no;949;yes;no;unknown;28;may;1730;1;-1;0;unknown;yes;18-34;Generation Z y Millenials;otros inactivos;Secundaria;1
164;51.0;entrepreneur;married;secondary;no;606;yes;no;unknown;28;may;560;9;-1;0;unknown;yes;45-54;Generation X;cuenta propia;Secundaria;0
165;35.0;blue-collar;married;secondary;no;0;yes;yes;unknown;29;may;543;1;-1;0;unknown;yes;35-44;Generation X;cuenta ajena;Secundaria;0
166;35.0;administrative;married;secondary;no;404;yes;no;unknown;29;may;539;1;-1;0;unknown;yes;35-44;Generation X;cuenta ajena;Secundaria;0
167;56.0;blue-collar;married;secondary;no;249;yes;no;unknown;29;may;791;2;-1;0;unknown;yes;55-64;Baby Boomers;cuenta ajena;Secundaria;0
168;45.0;unemployed;divorced;secondary;no;3354;yes;no;unknown;29;may;746;1;-1;0;unknown;yes;45-54;Generation X;desempleo;Secundaria;0
169;60.0;blue-collar;divorced;secondary;no;0;yes;no;unknown;29;may;1207;1;-1;0;unknown;yes;55-64;Baby Boomers;cuenta ajena;Secundaria;0
170;56.0;technician;married;secondary;no;589;yes;no;unknown;29;may;535;2;-1;0;unknown;yes;55-64;Baby Boomers;cuenta ajena;Secundaria;0
171;27.0;management;single;tertiary;no;12956;yes;no;unknown;29;may;789;3;-1;0;unknown;yes;18-34;Generation Z y Millenials;cuenta ajena;Universitaria;1
172;30.0;administrative;married;secondary;no;873;yes;no;unknown;29;may;792;3;-1;0;unknown;yes;18-34;Generation Z y Millenials;cuenta ajena;Secundaria;0
173;45.0;blue-collar;divorced;primary;no;594;yes;no;unknown;29;may;833;2;-1;0;unknown;yes;45-54;Generation X;cuenta ajena;Primaria;0
174;29.0;blue-collar;single;secondary;no;-20;yes;no;unknown;29;may;814;2;-1;0;unknown;yes;18-34;Generation Z y Millenials;cuenta ajena;Secundaria;1
175;38.0;management;divorced;tertiary;no;4692;yes;no;unknown;29;may;1363;2;-1;0;unknown;yes;35-44;Generation X;cuenta ajena;Universitaria;0
176;30.0;blue-collar;married;secondary;no;486;yes;no;unknown;29;may;1109;3;-1;0;unknown;yes;18-34;Generation Z y Millenials;cuenta ajena;Secundaria;0
177;44.0;blue-collar;single;primary;no;1593;yes;no;unknown;29;may;828;3;-1;0;unknown;yes;35-44;Generation X;cuenta ajena;Primaria;0
178;36.0;management;single;tertiary;no;7606;yes;no;unknown;30;may;917;1;-1;0;unknown;yes;35-44;Generation X;cuenta ajena;Universitaria;1
